gamma_phi_ps_inv,dephasing_time_ps,initial_state,ensemble_minimum_survival_probability,time_of_ensemble_minimum_survival_ps,time_average_ensemble_survival,final_ensemble_survival,maximum_ensemble_transfer_out,maximum_ensemble_other_high_population,time_of_maximum_other_high_population_ps,maximum_ensemble_PYR5_population,time_of_maximum_PYR5_population_ps,time_average_l1_coherence,time_integrated_l1_coherence,mean_frame_minimum_survival,maximum_single_frame_transfer_out,mean_l1_coherence_at_0p5ps,mean_l1_coherence_at_1ps,mean_l1_coherence_at_2ps,mean_l1_coherence_at_5ps,mean_l1_coherence_at_10ps,mean_l1_coherence_at_20ps,maximum_ensemble_PYR2_bright,time_of_maximum_PYR2_bright_ps,time_average_PYR2_bright,final_PYR2_bright,maximum_ensemble_PYR3_bright,time_of_maximum_PYR3_bright_ps,time_average_PYR3_bright,final_PYR3_bright,maximum_ensemble_PYR4_bright,time_of_maximum_PYR4_bright_ps,time_average_PYR4_bright,final_PYR4_bright,maximum_ensemble_PYR5_bright,time_of_maximum_PYR5_bright_ps,time_average_PYR5_bright,final_PYR5_bright
1.0,1.0,PYR2_bright,0.658586472230666,20.0,0.7552863291491788,0.658586472230666,0.341413527769334,0.34134320328045564,20.0,7.032448885806308e-05,20.0,0.1694481964037629,3.3901021860123373,0.6454487002770604,0.8118527267124601,0.38453102408702966,0.31166308648497615,0.25305312326671425,0.1879275584762235,0.14931731916741678,0.11124480539161716,1.0,0.0,0.7552863291491788,0.658586472230666,0.22978298266970543,20.0,0.17298482234596965,0.22978298266970543,0.1115602206107502,20.0,0.07170011890807894,0.1115602206107502,7.032448885806308e-05,20.0,2.8729596762501234e-05,7.032448885806308e-05
1.0,1.0,PYR3_bright,0.5712997932891887,20.0,0.6801293188076969,0.5712997932891887,0.4287002067108113,0.42853975506171627,20.0,0.0001604516490765256,20.0,0.18888000134879043,3.7790047794068675,0.5593862719404287,0.8413186472196515,0.49702405127044147,0.39713198307778924,0.32085031568104877,0.2242312765623565,0.1531764650391144,0.09680951648574891,0.22978298266970562,20.0,0.1729848223459699,0.22978298266970562,1.0,0.0,0.6801293188076969,0.5712997932891887,0.19875677239201067,20.0,0.14681250368758222,0.19875677239201067,0.0001604516490765256,20.0,7.335515874200644e-05,0.0001604516490765256
1.0,1.0,PYR4_bright,0.6889606263963908,20.0,0.7810900625587509,0.6889606263963908,0.3110393736036092,0.31031699300276094,20.0,0.0007223806008285902,20.0,0.1700613606864457,3.402349919445582,0.682084419655955,0.8111743613359989,0.3469637030671717,0.2844238344209423,0.24410351114767492,0.190426978760193,0.1520382535152176,0.11558157803923202,0.11156022061075048,20.0,0.0717001189080791,0.11156022061075048,0.19875677239201045,20.0,0.14681250368758217,0.19875677239201045,1.0,0.0,0.7810900625587509,0.6889606263963908,0.0007223806008285902,20.0,0.0003973148455789084,0.0007223806008285902
1.0,1.0,PYR5_bright,0.9990468432612166,20.0,0.9995006003989069,0.9990468432612166,0.0009531567387833784,0.0009531567387631482,20.0,1.0,0.0,0.011920960179589747,0.23847906338277391,0.9990468432612166,0.0011599490330105322,0.01264513209310383,0.012405498488316184,0.012016097711404211,0.011808208197740158,0.011825525209840471,0.011869962163382033,7.032448885805813e-05,20.0,2.8729596762498215e-05,7.032448885805813e-05,0.0001604516490765208,20.0,7.335515874200258e-05,0.0001604516490765208,0.0007223806008285693,20.0,0.00039731484557888703,0.0007223806008285693,1.0,0.0,0.9995006003989069,0.9990468432612166
2.0,0.5,PYR2_bright,0.573202293864024,20.0,0.6889535839145015,0.573202293864024,0.426797706135976,0.42660863059175236,20.0,0.00018907554419242406,20.0,0.13149864594234098,2.6309027394968147,0.5682512117959843,0.7405549286086229,0.33186625769474826,0.2575694759071619,0.2063918892776406,0.15101155819583328,0.11342802931245181,0.07703316188560838,1.0,0.0,0.6889535839145015,0.573202293864024,0.2698868157956947,20.0,0.21196202728945798,0.2698868157956947,0.15672181479605768,20.0,0.0990099665556495,0.15672181479605768,0.00018907554419242406,20.0,7.442224037802196e-05,0.00018907554419242406
2.0,0.5,PYR3_bright,0.49309463459388697,20.0,0.6052875181764719,0.49309463459388697,0.5069053654061131,0.5065350872786392,20.0,0.00037027812744296274,20.0,0.1333908493163932,2.6688410104459614,0.48674204753783895,0.7706682697612055,0.43114528019472526,0.32221113622812775,0.2510908954108432,0.1546651973184238,0.09728513180719603,0.061976875013238446,0.26988681579569473,20.0,0.211962027289458,0.26988681579569473,1.0,0.0,0.6052875181764719,0.49309463459388697,0.23664827148294446,20.0,0.18258289354128066,0.23664827148294446,0.00037027812744296274,20.0,0.00016756099277672934,0.00037027812744296274
2.0,0.5,PYR4_bright,0.6053298000819507,20.0,0.7176962261320617,0.6053298000819507,0.3946701999180493,0.3933700862790015,20.0,0.0013001136390174998,20.0,0.134692411552484,2.6947825216178947,0.6017449085608904,0.7421503098570774,0.30370984096726733,0.24448706389043545,0.20428619800460607,0.1544177144706138,0.11821944582028576,0.08252670946210768,0.15672181479605712,20.0,0.0990099665556492,0.15672181479605712,0.23664827148294437,20.0,0.1825828935412806,0.23664827148294437,1.0,0.0,0.7176962261320617,0.6053298000819507,0.0013001136390174998,20.0,0.0007109137709947884,0.0013001136390174998
2.0,0.5,PYR5_bright,0.9981405326893145,20.0,0.999047102995837,0.9981405326893145,0.0018594673106855364,0.0018594673106528898,20.0,1.0,0.0,0.011908996316064291,0.2382393482767789,0.9981405326893145,0.0022622808783909765,0.011961272360558526,0.011882171210936035,0.011813511138035526,0.011825912473500873,0.011871293120080197,0.011933601533512648,0.00018907554419242504,20.0,7.442224037802246e-05,0.00018907554419242504,0.00037027812744296404,20.0,0.00016756099277672964,0.00037027812744296404,0.0013001136390175007,20.0,0.0007109137709947914,0.0013001136390175007,1.0,0.0,0.999047102995837,0.9981405326893145
5.0,0.2,PYR2_bright,0.4655062081940321,20.0,0.5962688302754651,0.4655062081940321,0.5344937918059679,0.5338190086048901,20.0,0.0006747832010941437,20.0,0.08737739877915769,1.7482232720931894,0.4655062081940321,0.667070590010941,0.255660336318707,0.20289057988857878,0.1550253255432762,0.10527642562922604,0.07008807876820548,0.0396954955511949,1.0,0.0,0.5962688302754651,0.4655062081940321,0.31198819234515074,20.0,0.25926125124220434,0.31198819234515074,0.22183081625973933,20.0,0.14420691106395622,0.22183081625973933,0.0006747832010941437,20.0,0.0002630074183809012,0.0006747832010941437
5.0,0.2,PYR3_bright,0.4025501982585686,20.0,0.5107743863860313,0.4025501982585686,0.5974498017414314,0.5963515823791607,20.0,0.0010982193622853665,20.0,0.07984783119663212,1.597617983528922,0.4025501982585686,0.6670942664788073,0.34278575964201125,0.23664170675750834,0.16449319661843181,0.08599681110380579,0.05294414732377657,0.02742374313738638,0.31198819234514946,20.0,0.2592612512422041,0.31198819234514946,1.0,0.0,0.5107743863860313,0.4025501982585686,0.28436339003401134,20.0,0.22946688588543002,0.28436339003401134,0.0010982193622853665,20.0,0.000497476486341267,0.0010982193622853665
