hydrogen_node,attached_heavy,attached_heavy_element,hydrogen_role,end,angle_1_deg,angle_2_deg,minimum_angle_deg,maximum_angle_deg,violation_count,coordinate_modified_in_Gate3P2
H4:LOWER:0094:0,BR4:LOWER:10:1,B,BRIDGE_PASSIVANT_H,LOWER,135.7371638011581,105.66496444779318,105.66496444779318,135.7371638011581,0,False
H4:LOWER:0095:0,BR4:LOWER:10:2,N,BRIDGE_PASSIVANT_H,LOWER,117.40585684552148,108.13907620676801,108.13907620676801,117.40585684552148,0,False
H4:LOWER:0096:0,BR4:LOWER:10:3,B,BRIDGE_PASSIVANT_H,LOWER,106.43420855802732,134.51620802978155,106.43420855802732,134.51620802978155,0,False
H4:LOWER:0097:0,BR4:LOWER:10:4,N,BRIDGE_PASSIVANT_H,LOWER,124.66710359774892,109.45729426978095,109.45729426978095,124.66710359774892,0,False
H4:LOWER:0098:0,BR4:LOWER:11:1,B,BRIDGE_PASSIVANT_H,LOWER,82.29465578708749,131.0586145265988,82.29465578708749,131.0586145265988,0,False
H4:LOWER:0099:0,BR4:LOWER:11:2,N,BRIDGE_PASSIVANT_H,LOWER,126.65688246830739,104.36209808305082,104.36209808305082,126.65688246830739,0,False
H4:LOWER:0100:0,BR4:LOWER:11:3,B,BRIDGE_PASSIVANT_H,LOWER,92.94285352686805,123.59718922735132,92.94285352686805,123.59718922735132,0,False
H4:LOWER:0101:0,BR4:LOWER:11:4,N,BRIDGE_PASSIVANT_H,LOWER,143.02136111645697,76.52865781228415,76.52865781228415,143.02136111645697,0,False
H4:LOWER:0102:0,BR4:LOWER:12:1,B,BRIDGE_PASSIVANT_H,LOWER,133.24662520140592,90.00097930499477,90.00097930499477,133.24662520140592,0,False
H4:LOWER:0103:0,BR4:LOWER:12:2,N,BRIDGE_PASSIVANT_H,LOWER,107.30243894079992,130.7972502300726,107.30243894079992,130.7972502300726,0,False
H4:LOWER:0104:0,BR4:LOWER:12:3,B,BRIDGE_PASSIVANT_H,LOWER,110.95578997925708,112.11219313675795,110.95578997925708,112.11219313675795,0,False
H4:LOWER:0105:0,BR4:LOWER:12:4,N,BRIDGE_PASSIVANT_H,LOWER,134.29211603532104,105.53988008546128,105.53988008546128,134.29211603532104,0,False
H4:LOWER:0106:0,BR4:LOWER:13:1,B,BRIDGE_PASSIVANT_H,LOWER,93.25307031312369,134.48278870729908,93.25307031312369,134.48278870729908,0,False
H4:LOWER:0107:0,BR4:LOWER:13:2,N,BRIDGE_PASSIVANT_H,LOWER,119.21063611576886,80.5517270522328,80.5517270522328,119.21063611576886,0,False
H4:LOWER:0108:0,BR4:LOWER:13:3,B,BRIDGE_PASSIVANT_H,LOWER,99.6612396647785,104.59119355713389,99.6612396647785,104.59119355713389,0,False
H4:LOWER:0109:0,BR4:LOWER:13:4,N,BRIDGE_PASSIVANT_H,LOWER,76.09081346996433,123.23515725722245,76.09081346996433,123.23515725722245,0,False
H4:LOWER:0110:0,BR4:LOWER:14:1,B,BRIDGE_PASSIVANT_H,LOWER,108.688862795081,135.31120009048723,108.688862795081,135.31120009048723,0,False
H4:LOWER:0111:0,BR4:LOWER:14:2,N,BRIDGE_PASSIVANT_H,LOWER,132.99140539534838,91.65804949340185,91.65804949340185,132.99140539534838,0,False
H4:LOWER:0112:0,BR4:LOWER:14:3,B,BRIDGE_PASSIVANT_H,LOWER,144.20123688725252,87.16970663588715,87.16970663588715,144.20123688725252,0,False
