file,line_number,section
parameters/phase1A/accepted/pyrene_gromacs/pyrene.top,306,system
parameters/phase1A/accepted/pyrene_gromacs/pyrene.top,310,molecules
parameters/phase1A/accepted/water_tip4p2005/tip4p2005.itp,5,moleculetype
parameters/phase1A/accepted/water_tip4p2005/tip4p2005.itp,9,atoms
parameters/phase1A/accepted/water_tip4p2005/tip4p2005.itp,16,settles
parameters/phase1A/accepted/water_tip4p2005/tip4p2005.itp,20,virtual_sites3
parameters/phase1A/accepted/water_tip4p2005/tip4p2005.itp,24,exclusions
parameters/phase1A/accepted/water_tip4p2005/tip4p2005_atomtypes.itp,2,atomtypes
parameters/phase1A/hybrid_dry_gromacs/hbn_fixed_dummy.itp,4,moleculetype
parameters/phase1A/hybrid_dry_gromacs/hbn_fixed_dummy.itp,8,atoms
parameters/phase1A/hybrid_dry_gromacs/hbn_pyrene_4_dry.top,4,defaults
parameters/phase1A/hybrid_dry_gromacs/hbn_pyrene_4_dry.top,8,atomtypes
parameters/phase1A/hybrid_dry_gromacs/hbn_pyrene_4_dry.top,21,system
parameters/phase1A/hybrid_dry_gromacs/hbn_pyrene_4_dry.top,24,molecules
parameters/phase1A/hybrid_dry_gromacs/pyrene.itp,1,moleculetype
parameters/phase1A/hybrid_dry_gromacs/pyrene.itp,5,atoms
parameters/phase1A/hybrid_dry_gromacs/pyrene.itp,35,bonds
parameters/phase1A/hybrid_dry_gromacs/pyrene.itp,67,pairs
parameters/phase1A/hybrid_dry_gromacs/pyrene.itp,134,angles
parameters/phase1A/hybrid_dry_gromacs/pyrene.itp,185,dihedrals
parameters/phase1A/hybrid_hydrated_gromacs/hbn_fixed_dummy.itp,4,moleculetype
parameters/phase1A/hybrid_hydrated_gromacs/hbn_fixed_dummy.itp,8,atoms
parameters/phase1A/hybrid_hydrated_gromacs/hbn_fixed_dummy.itp,1692,position_restraints
parameters/phase1A/hybrid_hydrated_gromacs/hbn_pyrene_4_hydratable.top,4,defaults
parameters/phase1A/hybrid_hydrated_gromacs/hbn_pyrene_4_hydratable.top,8,atomtypes
parameters/phase1A/hybrid_hydrated_gromacs/hbn_pyrene_4_hydratable.top,26,system
parameters/phase1A/hybrid_hydrated_gromacs/hbn_pyrene_4_hydratable.top,29,molecules
parameters/phase1A/hybrid_hydrated_gromacs/hbn_pyrene_4_hydratable_clean.top,4,defaults
parameters/phase1A/hybrid_hydrated_gromacs/hbn_pyrene_4_hydratable_clean.top,8,atomtypes
parameters/phase1A/hybrid_hydrated_gromacs/hbn_pyrene_4_hydratable_clean.top,26,system
parameters/phase1A/hybrid_hydrated_gromacs/hbn_pyrene_4_hydratable_clean.top,29,molecules
parameters/phase1A/hybrid_hydrated_gromacs/hbn_pyrene_4_hydratable_clean032.top,4,defaults
parameters/phase1A/hybrid_hydrated_gromacs/hbn_pyrene_4_hydratable_clean032.top,8,atomtypes
parameters/phase1A/hybrid_hydrated_gromacs/hbn_pyrene_4_hydratable_clean032.top,26,system
parameters/phase1A/hybrid_hydrated_gromacs/hbn_pyrene_4_hydratable_clean032.top,29,molecules
parameters/phase1A/hybrid_hydrated_gromacs/hbn_pyrene_4_hydratable_gap45_clean032.top,4,defaults
parameters/phase1A/hybrid_hydrated_gromacs/hbn_pyrene_4_hydratable_gap45_clean032.top,8,atomtypes
parameters/phase1A/hybrid_hydrated_gromacs/hbn_pyrene_4_hydratable_gap45_clean032.top,26,system
parameters/phase1A/hybrid_hydrated_gromacs/hbn_pyrene_4_hydratable_gap45_clean032.top,29,molecules
parameters/phase1A/hybrid_hydrated_gromacs/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032.top,4,defaults
