time_ps,temperature_K,potential_kJ_mol,total_energy_kJ_mol,CAP_SOL_LJ_kJ_mol
4.65,299.121063232422,-767249.6875,-643660.4375,28.656688690186
4.7,298.809509277344,-767313.25,-643852.6875,29.839277267456
4.75,300.546600341797,-768809.9375,-644631.6875,32.327499389648
4.8,301.302703857422,-768007.3125,-643516.625,57.639377593994
4.85,302.788604736328,-768024.1875,-642919.5625,37.488285064697
4.9,298.772033691406,-766692.0,-643246.9375,37.138671875
4.95,301.9541015625,-767136.9375,-642377.125,48.586723327637
5.0,300.215576171875,-766886.0,-642844.5,35.046211242676
5.05,299.527801513672,-767339.75,-643582.4375,31.077987670898
5.1,301.105133056641,-768146.1875,-643737.125,20.481983184814
5.15,299.186859130859,-768021.375,-644404.9375,18.270797729492
5.2,300.183685302734,-768476.5625,-644448.25,23.077125549316
5.25,298.940185546875,-767725.0625,-644210.5,29.889709472656
5.3,301.562072753906,-768360.125,-643762.3125,28.48021697998
5.35,301.327056884766,-768298.9375,-643798.1875,22.049613952637
5.4,298.564270019531,-767745.4375,-644386.25,21.902191162109
5.45,300.2568359375,-768827.125,-644768.5625,34.018871307373
5.5,300.928436279297,-768194.8125,-643858.75,35.482177734375
5.55,299.070617675781,-767595.9375,-644027.5,35.413124084473
5.6,298.461761474609,-767594.3125,-644277.4375,25.858400344849
5.65,299.750030517578,-767701.875,-643852.75,31.477788925171
5.7,302.417938232422,-768422.625,-643471.1875,17.579048156738
5.75,302.480010986328,-768225.9375,-643248.8125,16.386306762695
5.8,299.235046386719,-767931.375,-644295.0,18.075813293457
5.85,301.234313964844,-767912.5,-643450.125,24.825887680054
5.9,300.513916015625,-767712.5,-643547.75,24.677392959595
5.95,299.167663574219,-766829.875,-643221.375,33.712562561035
6.0,299.964721679688,-767065.5,-643127.625,35.995643615723
6.05,301.526672363281,-767789.5,-643206.3125,34.235565185547
6.1,300.519897460938,-767811.0,-643643.75,28.395351409912
6.15,300.865020751953,-767488.5,-643178.6875,23.721527099609
6.2,300.189788818359,-767050.25,-643019.4375,30.373537063599
6.25,299.624572753906,-767760.125,-643962.8125,29.894567489624
6.3,300.135894775391,-767927.75,-643919.1875,32.389629364014
6.35,298.900604248047,-767334.375,-643836.1875,35.35277557373
6.4,301.127471923828,-767612.75,-643194.5,46.627559661865
6.45,298.542083740234,-767218.125,-643868.0625,45.595386505127
6.5,300.549743652344,-767477.8125,-643298.25,37.256561279297
6.55,299.720855712891,-767088.4375,-643251.375,27.067213058472
6.6,302.187103271484,-767261.0625,-642405.0,26.149684906006
6.65,302.329284667969,-767395.0,-642480.1875,21.476589202881
6.7,299.353240966797,-766570.75,-642885.5625,21.296306610107
6.75,300.417144775391,-767417.375,-643292.625,19.407814025879
6.8,300.321563720703,-767328.875,-643243.625,17.768001556396
6.85,300.795745849609,-767739.3125,-643458.125,17.916164398193
6.9,299.954162597656,-767735.9375,-643802.4375,20.137630462646
6.95,300.164398193359,-767750.875,-643730.5,30.611402511597
7.0,300.370208740234,-767816.875,-643711.5,52.763034820557
7.05,298.922668457031,-766945.625,-643438.3125,30.647413253784
7.1,300.467193603516,-767541.6875,-643396.25,25.745719909668
7.15,298.566802978516,-767833.9375,-644473.6875,18.197280883789
7.2,299.401641845703,-768018.1875,-644313.0,27.627891540527
7.25,301.116546630859,-768480.25,-644066.5,20.857051849365
7.3,300.286071777344,-768894.8125,-644824.1875,23.964336395264
7.35,299.768432617188,-768552.0625,-644695.3125,26.056709289551
7.4,296.918029785156,-767718.375,-645039.375,31.442844390869
7.45,300.634674072266,-768122.9375,-643908.25,23.072849273682
7.5,300.183258056641,-769029.9375,-645001.8125,25.390508651733
7.55,298.397094726562,-768292.375,-645002.25,24.742580413818
7.6,301.016784667969,-768580.6875,-644208.125,24.72709274292
7.65,299.025482177734,-767993.75,-644444.0,35.924156188965
7.7,300.149810791016,-768519.3125,-644505.0,33.136848449707
7.75,299.187805175781,-768669.875,-645053.0,34.806007385254
7.8,298.530517578125,-768304.9375,-644959.6875,33.125839233398
7.85,298.394439697266,-768615.1875,-645326.125,38.742649078369
7.9,299.112396240234,-768723.0,-645137.3125,34.42626953125
7.95,299.267700195312,-769344.6875,-645694.8125,33.104793548584
8.0,297.710144042969,-768164.125,-645157.8125,40.409408569336
8.05,299.408386230469,-768441.1875,-644733.1875,31.175621032715
8.1,300.268768310547,-768632.25,-644568.75,24.891479492188
8.15,301.732360839844,-769534.1875,-644866.0,31.03689956665
8.2,298.411468505859,-767853.8125,-644557.75,30.136791229248
8.25,300.646423339844,-768661.125,-644441.625,32.435829162598
8.3,301.383392333984,-768546.1875,-644022.1875,26.301948547363
8.35,300.367034912109,-768608.375,-644504.3125,17.83829498291
8.4,300.697875976562,-769034.75,-644794.0,19.163217544556
8.45,299.866729736328,-769289.0,-645391.625,26.181888580322
8.5,299.594757080078,-769363.8125,-645578.8125,23.207931518555
8.55,299.208892822266,-769801.875,-646176.3125,24.284397125244
8.6,299.504638671875,-769481.9375,-645734.1875,34.79195022583
8.65,296.482055664062,-768360.4375,-645861.5625,31.175176620483
8.7,300.685760498047,-769287.625,-645051.875,34.937683105469
8.75,300.981262207031,-768894.0625,-644536.1875,31.893810272217
8.8,303.051239013672,-769811.5,-644598.375,31.895801544189
8.85,300.208862304688,-768809.4375,-644770.75,32.417850494385
8.9,300.174407958984,-768936.6875,-644912.1875,28.947658538818
8.95,300.985382080078,-768712.125,-644352.5625,29.491588592529
9.0,299.816284179688,-768476.0,-644599.5,34.794696807861
9.05,300.371215820312,-769075.3125,-644969.5,28.759971618652
9.1,298.601531982422,-768699.25,-645324.625,26.061389923096
9.15,301.103912353516,-769531.125,-645122.625,20.245700836182
9.2,299.887084960938,-769276.5,-645370.75,14.171118736267
9.25,300.506286621094,-769175.4375,-645013.8125,24.225009918213
9.3,298.334808349609,-768909.25,-645644.875,28.355213165283
9.35,299.673767089844,-769348.0,-645530.375,21.478355407715
9.4,300.089172363281,-769041.0,-645051.75,21.243993759155
9.45,298.616790771484,-768639.875,-645258.9375,25.353366851807
9.5,300.264831542969,-768716.25,-644654.375,24.587154388428
9.55,300.193908691406,-768559.5,-644526.9375,26.096601486206
9.6,301.899810791016,-767926.625,-643189.25,22.929210662842
9.65,303.742950439453,-768018.875,-642519.9375,23.683494567871
9.7,301.447326660156,-767570.1875,-643019.75,32.503597259521
9.75,300.035095214844,-767310.1875,-643343.25,32.946411132812
9.8,299.502258300781,-768119.4375,-644372.6875,28.430801391602
9.85,301.348999023438,-768366.9375,-643857.125,22.995559692383
9.9,299.579742431641,-768454.1875,-644675.375,21.759738922119
9.95,299.337188720703,-767774.875,-644096.3125,32.192928314209
10.0,301.495361328125,-768353.8125,-643783.5625,44.661178588867
10.05,301.282470703125,-767699.125,-643216.8125,36.594985961914
10.1,299.222473144531,-767432.5625,-643801.375,30.389276504517
10.15,300.491485595703,-768144.6875,-643989.1875,18.449138641357
10.2,299.493896484375,-766964.625,-643221.3125,27.891988754272
10.25,300.148010253906,-767424.875,-643411.3125,20.770721435547
10.3,301.375885009766,-768500.4375,-643979.5,12.003074645996
10.35,298.969787597656,-767316.5,-643789.75,13.927273750305
10.4,300.557647705078,-767965.25,-643782.4375,15.057788848877
10.45,299.359405517578,-768133.5625,-644445.8125,14.793606758118
10.5,299.341766357422,-769070.1875,-645389.75,21.597358703613
10.55,299.683685302734,-768987.5625,-645165.8125,32.100406646729
10.6,300.632965087891,-769003.375,-644789.4375,23.063102722168
10.65,300.922912597656,-768686.1875,-644352.4375,15.43800163269
10.7,300.876922607422,-768699.625,-644384.875,15.493347167969
10.75,298.529479980469,-767516.9375,-644172.125,21.225183486938
10.8,299.991668701172,-768629.375,-644680.375,19.299674987793
10.85,299.548645019531,-768071.1875,-644305.25,19.917381286621
10.9,301.007110595703,-767986.3125,-643617.75,20.294015884399
10.95,300.318176269531,-767894.0625,-643810.1875,21.608184814453
11.0,301.430786132812,-768792.0,-644248.4375,20.979022979736
11.05,300.797790527344,-768286.0,-644003.9375,33.266132354736
11.1,299.834106445312,-767478.1875,-643594.3125,32.789531707764
11.15,299.227661132812,-767148.6875,-643515.375,42.271514892578
11.2,297.825164794922,-767539.875,-644486.0,30.60160446167
11.25,299.287261962891,-767446.875,-643788.9375,29.51216506958
11.3,300.597015380859,-768195.625,-643996.5,25.504753112793
11.35,298.740875244141,-767041.9375,-643609.75,28.785135269165
11.4,300.682312011719,-767516.3125,-643282.0,24.993293762207
11.45,300.607330322266,-767352.875,-643149.5,18.929069519043
11.5,298.161865234375,-767338.5,-644145.5625,21.126117706299
11.55,299.064361572266,-767201.125,-643635.25,21.670528411865
11.6,300.786468505859,-768455.625,-644178.25,26.404605865479
11.65,298.91796875,-768260.0625,-644754.6875,26.871736526489
11.7,298.760528564453,-768521.25,-645080.9375,24.176006317139
11.75,300.309356689453,-768630.125,-644549.875,27.606979370117
11.8,299.049285888672,-768347.4375,-644787.8125,33.040187835693
11.85,300.239715576172,-768107.8125,-644056.375,34.853931427002
11.9,299.197967529297,-768607.0625,-644986.0,25.785692214966
11.95,298.34814453125,-768536.6875,-645266.75,27.172700881958
12.0,301.235504150391,-768648.75,-644185.875,25.839542388916
12.05,300.996368408203,-768388.75,-644024.625,32.346946716309
12.1,300.990966796875,-768857.9375,-644496.0625,28.283708572388
12.15,299.811981201172,-768778.1875,-644903.4375,29.394786834717
12.2,298.327484130859,-769158.9375,-645897.5625,30.992919921875
12.25,299.985900878906,-770178.3125,-646231.6875,26.360321044922
12.3,296.264007568359,-769677.5,-647268.6875,29.566932678223
12.35,297.849273681641,-769543.3125,-646479.5,23.802486419678
12.4,298.958526611328,-769611.4375,-646089.3125,28.407833099365
12.45,297.782623291016,-769191.6875,-646155.4375,36.460124969482
12.5,299.844970703125,-769470.1875,-645581.8125,35.306434631348
12.55,298.659515380859,-768848.5625,-645450.0,25.528898239136
12.6,299.551391601562,-768617.8125,-644850.75,40.33129119873
12.65,301.319641113281,-768891.25,-644393.5625,30.172815322876
12.7,301.871826171875,-769620.0,-644894.1875,21.534332275391
12.75,297.763671875,-769125.9375,-646097.5,27.832862854004
12.8,299.945526123047,-769907.9375,-645978.0,36.594573974609
12.85,299.376556396484,-769683.5,-645988.6875,37.416534423828
12.9,298.688842773438,-768558.6875,-645148.0,39.257301330566
12.95,299.037506103516,-769344.0625,-645789.3125,26.327604293823
13.0,298.617553710938,-769564.25,-646183.0,26.463539123535
13.05,301.847381591797,-770043.5625,-645327.875,26.158407211304
13.1,300.784240722656,-770090.1875,-645813.75,24.500816345215
13.15,299.926330566406,-769602.9375,-645680.9375,27.242366790771
13.2,296.852264404297,-769043.4375,-646391.5625,25.944507598877
13.25,298.302459716797,-769607.75,-646356.6875,29.084548950195
13.3,299.338073730469,-769004.0,-645325.0625,40.924755096436
13.35,299.245239257812,-768403.75,-644763.1875,25.162384033203
13.4,298.810394287109,-767784.9375,-644324.0,29.23450088501
13.45,299.310333251953,-767976.1875,-644308.75,30.281002044678
13.5,300.960174560547,-769072.25,-644723.125,28.356788635254
13.55,298.200500488281,-768517.5625,-645308.625,25.060607910156
13.6,301.620452880859,-769318.25,-644696.3125,27.1852684021
13.65,299.389862060547,-768336.3125,-644636.0,30.167011260986
13.7,297.985656738281,-768747.875,-645627.75,27.157089233398
13.75,298.826263427734,-769393.9375,-645926.5,21.645259857178
13.8,299.433929443359,-768739.3125,-645020.75,30.283569335938
13.85,299.652679443359,-768843.625,-645034.6875,22.75140953064
13.9,300.060638427734,-769343.8125,-645366.3125,17.624908447266
13.95,297.908996582031,-768420.1875,-645331.75,25.837646484375
14.0,300.191314697266,-768564.875,-644533.375,29.293710708618
14.05,300.033721923828,-768194.5,-644228.125,24.897375106812
14.1,300.654937744141,-768730.0,-644507.0,27.095817565918
14.15,300.172576904297,-768934.9375,-644911.1875,32.996398925781
14.2,299.15283203125,-767944.4375,-644342.0625,24.939889907837
14.25,299.777435302734,-768844.3125,-644983.875,23.34582901001
14.3,299.900634765625,-769194.0625,-645282.6875,28.122928619385
14.35,300.911407470703,-769318.0,-644989.0,30.461200714111
14.4,299.028381347656,-769127.5,-645576.5,19.942798614502
14.45,298.332733154297,-768906.9375,-645643.375,18.195318222046
14.5,297.790191650391,-768991.375,-645952.0,19.484285354614
14.55,297.288848876953,-769295.1875,-646462.9375,23.134349822998
14.6,298.524078369141,-769108.0625,-645765.4375,21.808628082275
14.65,300.092071533203,-768953.875,-644963.375,18.274724960327
14.7,299.728057861328,-768954.3125,-645114.25,23.318635940552
14.75,300.001647949219,-768847.375,-644894.25,26.981557846069
14.8,298.290588378906,-768189.875,-644943.75,30.66272354126
14.85,299.705108642578,-768636.6875,-644806.125,31.735691070557
14.9,298.599731445312,-768035.625,-644661.75,33.04076385498
14.95,298.874664306641,-768807.6875,-645320.25,40.294597625732
15.0,299.573944091797,-769313.5625,-645537.1875,31.234901428223
15.05,300.498718261719,-768909.4375,-644750.9375,26.670839309692
15.1,301.389923095703,-769205.125,-644678.4375,33.36877822876
15.15,299.362915039062,-768731.125,-645041.9375,42.947982788086
15.2,300.469940185547,-769503.75,-645357.1875,33.72286605835
15.25,299.5185546875,-769482.25,-645728.75,25.195386886597
15.3,298.108612060547,-769577.1875,-646406.25,28.297630310059
15.35,297.014282226562,-769304.0625,-646585.25,24.529485702515
15.4,300.620300292969,-769665.875,-645457.125,28.692337036133
15.45,299.709625244141,-769055.9375,-645223.5,25.528213500977
15.5,297.917297363281,-769366.1875,-646274.3125,37.147903442383
15.55,298.454345703125,-768228.75,-644914.9375,46.657470703125
15.6,301.062194824219,-769032.3125,-644641.0,29.482290267944
15.65,300.189086914062,-769938.6875,-645908.125,25.035793304443
15.7,299.283355712891,-769003.6875,-645347.375,17.447376251221
15.75,298.806396484375,-768778.4375,-645319.1875,18.505970001221
15.8,299.719360351562,-769331.8125,-645495.375,16.990341186523
15.85,299.379089355469,-768954.8125,-645258.9375,23.501569747925
15.9,299.834075927734,-768742.5,-644858.625,36.897178649902
15.95,300.231597900391,-768276.1875,-644228.0625,30.86735534668
16.0,299.137664794922,-768250.6875,-644654.5625,31.234979629517
16.05,300.248352050781,-768334.875,-644279.875,24.836597442627
16.1,299.658050537109,-769024.0,-645212.875,36.418888092041
16.15,301.013488769531,-769635.0,-645263.8125,31.18363571167
16.2,298.4921875,-767750.25,-644420.8125,32.760776519775
16.25,299.487426757812,-768678.0,-644937.375,21.902095794678
16.3,298.815582275391,-768335.8125,-644872.75,33.174270629883
16.35,298.380676269531,-767994.0625,-644710.6875,20.74666595459
16.4,299.697662353516,-768589.625,-644762.125,29.402057647705
16.45,299.918914794922,-768154.125,-644235.1875,19.330322265625
16.5,299.744018554688,-768170.0625,-644323.375,18.391944885254
16.55,301.315673828125,-768941.9375,-644445.875,18.990327835083
16.6,299.780212402344,-768823.25,-644961.625,20.493511199951
16.65,300.026733398438,-768546.25,-644582.75,13.665336608887
16.7,297.988403320312,-768197.9375,-645076.625,18.230220794678
16.75,298.962890625,-768386.75,-644862.8125,22.029926300049
16.8,298.994049072266,-767859.4375,-644322.625,19.598026275635
16.85,299.634155273438,-767742.3125,-643941.0625,21.229911804199
16.9,300.955688476562,-767805.3125,-643458.0,17.837034225464
16.95,299.653289794922,-766975.375,-643166.1875,16.76259803772
17.0,300.382904052734,-767612.5,-643501.875,17.972024917603
17.05,300.758117675781,-768019.3125,-643753.625,23.127361297607
17.1,300.171417236328,-768279.9375,-644256.6875,24.120897293091
17.15,298.660278320312,-767625.625,-644226.75,22.738384246826
17.2,302.324035644531,-768336.3125,-643423.625,26.546369552612
17.25,300.044799804688,-768076.25,-644105.3125,25.3450050354
17.3,300.506866455078,-767609.875,-643448.0,20.806118011475
17.35,300.451202392578,-767692.4375,-643553.625,29.270093917847
17.4,300.892486572266,-768685.875,-644364.6875,30.507762908936
17.45,299.276092529297,-768136.4375,-644483.125,37.695121765137
17.5,298.949584960938,-768181.75,-644663.3125,39.642967224121
17.55,297.478485107422,-768339.4375,-645428.875,32.950458526611
17.6,299.372406005859,-769162.8125,-645469.6875,31.09349822998
17.65,300.020629882812,-768802.6875,-644841.75,17.327224731445
17.7,303.162780761719,-769554.5625,-644295.375,16.292295455933
17.75,299.507995605469,-767731.625,-643982.5,15.737952232361
17.8,301.2607421875,-767797.0,-643323.6875,18.925455093384
17.85,301.08984375,-768178.125,-643775.375,23.759338378906
17.9,302.265594482422,-768798.875,-643910.375,16.406742095947
17.95,301.521545410156,-768581.4375,-644000.375,16.685501098633
18.0,301.029174804688,-768751.3125,-644373.625,13.792984962463
18.05,299.116851806641,-768661.4375,-645073.875,17.536909103394
18.1,297.330383300781,-768024.9375,-645175.5,18.112400054932
18.15,298.632659912109,-768721.5625,-645334.125,16.876163482666
18.2,299.2451171875,-769685.8125,-646045.25,34.938716888428
18.25,299.128936767578,-769468.5625,-645876.0625,26.938743591309
18.3,298.372528076172,-769454.8125,-646174.8125,32.250854492188
18.35,299.471466064453,-769731.4375,-645997.375,38.767772674561
18.4,299.682342529297,-769515.25,-645694.0625,42.005210876465
18.45,296.636566162109,-768556.0625,-645993.3125,52.459983825684
18.5,298.026092529297,-769137.875,-646001.0,31.936721801758
18.55,297.850219726562,-768793.4375,-645729.25,30.252328872681
18.6,299.739807128906,-768761.875,-644916.9375,34.155632019043
18.65,300.350067138672,-768603.6875,-644506.625,29.313917160034
18.7,299.559265136719,-768854.0625,-645083.75,28.212017059326
18.75,299.194580078125,-769090.1875,-645470.5625,31.576385498047
18.8,298.161376953125,-768763.625,-645570.875,33.497341156006
18.85,299.333526611328,-768695.75,-645018.6875,24.063711166382
18.9,302.693542480469,-769794.25,-644728.9375,22.992267608643
18.95,297.742370605469,-768520.0625,-645500.4375,24.506771087646
19.0,298.483428955078,-768033.0,-644707.1875,23.874042510986
19.05,298.603332519531,-767992.4375,-644617.0625,29.061130523682
19.1,297.950836181641,-768506.125,-645400.375,37.120849609375
19.15,299.25537109375,-769256.625,-645611.875,34.373893737793
