end,cycle_id,cycle_length,node_ids,layer_sequence,element_sequence
LOWER,LOWER_C00076,6,LOWER:L1:24 | LOWER:L2:24 | LOWER:L3:24 | LOWER:L2:25 | LOWER:L1:25 | LOWER:P:34,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00077,6,LOWER:L1:24 | LOWER:L2:24 | LOWER:L3:24 | LOWER:L2:25 | LOWER:L1:25 | LOWER:P:36,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00078,6,LOWER:L1:24 | LOWER:L2:24 | LOWER:L3:25 | LOWER:L2:25 | LOWER:L1:25 | LOWER:P:34,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00079,6,LOWER:L1:24 | LOWER:L2:24 | LOWER:L3:25 | LOWER:L2:25 | LOWER:L1:25 | LOWER:P:36,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00080,6,LOWER:L1:26 | LOWER:L2:26 | LOWER:L3:26 | LOWER:L2:27 | LOWER:L1:27 | LOWER:P:38,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00081,6,LOWER:L1:26 | LOWER:L2:26 | LOWER:L3:26 | LOWER:L2:27 | LOWER:L1:27 | LOWER:P:40,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00082,6,LOWER:L1:26 | LOWER:L2:26 | LOWER:L3:27 | LOWER:L2:27 | LOWER:L1:27 | LOWER:P:38,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00083,6,LOWER:L1:26 | LOWER:L2:26 | LOWER:L3:27 | LOWER:L2:27 | LOWER:L1:27 | LOWER:P:40,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00084,6,LOWER:L1:28 | LOWER:L2:28 | LOWER:L3:28 | LOWER:L2:29 | LOWER:L1:29 | LOWER:P:42,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00085,6,LOWER:L1:28 | LOWER:L2:28 | LOWER:L3:28 | LOWER:L2:29 | LOWER:L1:29 | LOWER:P:44,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00086,6,LOWER:L1:28 | LOWER:L2:28 | LOWER:L3:29 | LOWER:L2:29 | LOWER:L1:29 | LOWER:P:42,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00087,6,LOWER:L1:28 | LOWER:L2:28 | LOWER:L3:29 | LOWER:L2:29 | LOWER:L1:29 | LOWER:P:44,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00088,6,LOWER:L1:4 | LOWER:L2:4 | LOWER:L3:4 | LOWER:L2:5 | LOWER:L1:5 | LOWER:P:54,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00089,6,LOWER:L1:4 | LOWER:L2:4 | LOWER:L3:4 | LOWER:L2:5 | LOWER:L1:5 | LOWER:P:56,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00090,6,LOWER:L1:4 | LOWER:L2:4 | LOWER:L3:5 | LOWER:L2:5 | LOWER:L1:5 | LOWER:P:54,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00091,6,LOWER:L1:4 | LOWER:L2:4 | LOWER:L3:5 | LOWER:L2:5 | LOWER:L1:5 | LOWER:P:56,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00092,6,LOWER:L1:6 | LOWER:L2:6 | LOWER:L3:6 | LOWER:L2:7 | LOWER:L1:7 | LOWER:P:0,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00093,6,LOWER:L1:6 | LOWER:L2:6 | LOWER:L3:6 | LOWER:L2:7 | LOWER:L1:7 | LOWER:P:58,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00094,6,LOWER:L1:6 | LOWER:L2:6 | LOWER:L3:7 | LOWER:L2:7 | LOWER:L1:7 | LOWER:P:0,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00095,6,LOWER:L1:6 | LOWER:L2:6 | LOWER:L3:7 | LOWER:L2:7 | LOWER:L1:7 | LOWER:P:58,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00096,6,LOWER:L1:8 | LOWER:L2:8 | LOWER:L3:8 | LOWER:L2:9 | LOWER:L1:9 | LOWER:P:2,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00097,6,LOWER:L1:8 | LOWER:L2:8 | LOWER:L3:8 | LOWER:L2:9 | LOWER:L1:9 | LOWER:P:4,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00098,6,LOWER:L1:8 | LOWER:L2:8 | LOWER:L3:9 | LOWER:L2:9 | LOWER:L1:9 | LOWER:P:2,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00099,6,LOWER:L1:8 | LOWER:L2:8 | LOWER:L3:9 | LOWER:L2:9 | LOWER:L1:9 | LOWER:P:4,1 | 2 | 3 | 2 | 1 | 0,NBNBNB
LOWER,LOWER_C00100,6,LOWER:L2:10 | LOWER:L3:10 | LOWER:L4:7 | LOWER:L5:6 | LOWER:L4:8 | LOWER:L3:11,2 | 3 | 4 | 5 | 4 | 3,BNBNBN
