lower_H,upper_H,hydrogen_role,lower_attached_heavy,upper_attached_heavy,pair_status,symmetry_deviation_nm,lower_x_nm,lower_y_nm,lower_z_nm,upper_x_nm,upper_y_nm,upper_z_nm,transformed_lower_x_nm,transformed_lower_y_nm,transformed_lower_z_nm,candidate_count
H4:LOWER:0078:0,H4:UPPER:0138:0,BRIDGE_PASSIVANT_H,BR4:LOWER:06:1,BR4:UPPER:06:1,UNIQUE,0.3816927953971648,4.285988507913283,4.945249703692467,1.93058042991555,4.108396732445204,4.976667042800171,8.167528475785529,3.8735368361217004,5.064224260389655,8.45538947141537,
H4:LOWER:0079:0,H4:UPPER:0139:0,BRIDGE_PASSIVANT_H,BR4:LOWER:06:2,BR4:UPPER:06:2,UNIQUE,0.35787803431378734,4.0400108437726585,5.032640187865207,1.833168521457094,3.943858542505306,4.941850332158734,8.396469869111685,3.61317962615422,5.072743945691848,8.356532372176906,
H4:LOWER:0080:0,H4:UPPER:0140:0,BRIDGE_PASSIVANT_H,BR4:LOWER:06:3,BR4:UPPER:06:3,UNIQUE,0.2831467572403071,4.018503915986965,4.955960936986108,1.5533366883170292,3.82980562953963,5.110471767870115,8.223614409646073,3.617689128826716,4.994229157096958,8.07641953303126,
H4:LOWER:0081:0,H4:UPPER:0141:0,BRIDGE_PASSIVANT_H,BR4:LOWER:06:4,BR4:UPPER:06:4,UNIQUE,0.2482238629040943,3.8324848439234644,4.872234687299404,1.734601983812216,3.6413863853258075,5.001412858285504,8.354709616529991,3.4650773042237644,4.857032361419828,8.256299931230199,
H4:LOWER:0082:0,H4:UPPER:0142:0,BRIDGE_PASSIVANT_H,BR4:LOWER:07:1,BR4:UPPER:07:1,UNIQUE,0.3843579302155262,3.752648262860715,5.087863945514332,1.8708456578207626,3.5551775820476843,5.039118320833194,8.086530491141982,3.3224653676763305,5.037484958452661,8.392428147114169,
H4:LOWER:0083:0,H4:UPPER:0143:0,BRIDGE_PASSIVANT_H,BR4:LOWER:07:2,BR4:UPPER:07:2,UNIQUE,0.294622774654575,3.578296987063236,5.066893754154253,1.6761411579156216,3.4195770240532877,5.078811873592277,8.288794674528305,3.1639406168715003,4.96504718281985,8.196543919508077,
H4:LOWER:0084:0,H4:UPPER:0144:0,BRIDGE_PASSIVANT_H,BR4:LOWER:07:3,BR4:UPPER:07:3,UNIQUE,0.37038977405414564,3.705585868744817,4.930838864202352,1.4858243678313667,3.235453859600417,4.956601481180057,8.356120172387843,3.3277585090149655,4.875060812192559,8.006807195644337,
H4:LOWER:0085:0,H4:UPPER:0145:0,BRIDGE_PASSIVANT_H,BR4:LOWER:07:4,BR4:UPPER:07:4,UNIQUE,0.3635578424280774,3.727790086212716,4.677371695621544,1.5585035333243702,3.3768148216905947,4.749840627803973,8.422287521374466,3.4258540612482995,4.640188109772387,8.079146467194274,
H4:LOWER:0086:0,H4:UPPER:0146:0,BRIDGE_PASSIVANT_H,BR4:LOWER:08:1,BR4:UPPER:08:1,UNIQUE,0.44105742800343056,3.1361674318332295,4.935005506167826,1.9197823741206574,3.0365041471823684,4.871624793901673,8.118569713830734,2.781790198346672,4.703583010529352,8.437026018693077,
H4:LOWER:0087:0,H4:UPPER:0147:0,BRIDGE_PASSIVANT_H,BR4:LOWER:08:2,BR4:UPPER:08:2,UNIQUE,0.07138056151931504,3.337531387923589,5.050590812448825,1.7896477934436785,2.983957399124855,4.902158354381478,8.35710979468946,2.939000660178051,4.875606455439583,8.308436672243278,
H4:LOWER:0088:0,H4:UPPER:0148:0,BRIDGE_PASSIVANT_H,BR4:LOWER:08:3,BR4:UPPER:08:3,UNIQUE,0.48191383177736397,3.2946031621316254,4.9309886556891795,1.5438472085964048,3.0534760426062038,4.715780561847723,8.52829113906599,2.93601946030257,4.749549184756421,8.062131753620688,
H4:LOWER:0089:0,H4:UPPER:0149:0,BRIDGE_PASSIVANT_H,BR4:LOWER:08:4,BR4:UPPER:08:4,UNIQUE,0.34321852056619745,3.4475867264647375,4.712306889264771,1.601993209855053,3.2201489282859983,4.527516560778458,8.450983580280603,3.148116805382787,4.587771521108121,8.12086289646122,
H4:LOWER:0090:0,H4:UPPER:0150:0,BRIDGE_PASSIVANT_H,BR4:LOWER:09:1,BR4:UPPER:09:1,UNIQUE,0.43210526610883326,2.6630594475612424,4.640842490407636,1.89422973896163,2.5860326191863345,4.48726790976985,8.066874347588994,2.421195036713019,4.279161774655693,8.40780743329818,
