atom,name,displacement_nm
1021,B1021,0.11054
1022,N1022,0.07377
1023,B1023,0.17329
1024,N1024,0.10994
1025,B1025,0.12578
1026,N1026,0.07058
1027,B1027,0.18745
1028,N1028,0.10698
1029,B1029,0.15595
1030,N1030,0.18279
1031,B1031,0.20720
1032,N1032,0.22198
1033,B1033,0.09934
1034,N1034,0.09661
1035,B1035,0.12551
1036,N1036,0.19622
1037,B1037,0.12385
1038,N1038,0.15155
1039,B1039,0.20538
1040,N1040,0.07204
1041,B1041,0.15782
1042,N1042,0.12874
1043,B1043,0.15990
1044,N1044,0.08553
1045,B1045,0.16056
1046,N1046,0.07066
1047,B1047,0.15334
1048,N1048,0.16732
1049,B1049,0.07347
1050,N1050,0.17014
1051,B1051,0.09956
1052,N1052,0.09866
1053,B1053,0.13258
1054,N1054,0.16778
1055,B1055,0.25886
1056,N1056,0.19948
1057,B1057,0.15367
1058,N1058,0.08005
1059,B1059,0.10414
1060,N1060,0.04972
1061,B1061,0.19672
1062,N1062,0.10275
1063,B1063,0.20619
1064,N1064,0.08700
1065,B1065,0.11439
1066,N1066,0.11991
1067,B1067,0.14788
1068,N1068,0.17305
1069,B1069,0.09975
1070,N1070,0.13573
1071,B1071,0.12462
1072,N1072,0.12504
1073,B1073,0.26488
1074,N1074,0.03262
1075,B1075,0.04386
1076,N1076,0.10890
1077,B1077,0.12352
1078,N1078,0.09713
1079,B1079,0.19344
1080,N1080,0.19000
1081,B1081,0.18101
1082,N1082,0.15389
1083,B1083,0.10158
1084,N1084,0.21099
1085,B1085,0.17859
1086,N1086,0.10163
1087,B1087,0.05930
1088,N1088,0.12438
1089,B1089,0.23781
1090,N1090,0.06342
1091,B1091,0.12423
1092,N1092,0.20369
1093,B1093,0.14727
1094,N1094,0.16300
1095,B1095,0.13057
1096,N1096,0.17363
1097,B1097,0.12459
1098,N1098,0.11988
1099,B1099,0.15477
1100,N1100,0.10732
1101,B1101,0.17221
1102,N1102,0.24754
1103,B1103,0.12532
1104,N1104,0.15608
1105,B1105,0.11841
1106,N1106,0.10356
1107,B1107,0.20234
1108,N1108,0.15952
1109,B1109,0.08370
1110,N1110,0.26079
1111,B1111,0.06688
1112,N1112,0.10557
1113,B1113,0.11483
1114,N1114,0.04809
1115,B1115,0.24213
1116,N1116,0.06188
1117,B1117,0.24473
1118,N1118,0.07006
1119,B1119,0.21917
1120,N1120,0.06497
1121,B1121,0.17505
1122,N1122,0.09469
1123,B1123,0.20940
1124,N1124,0.12707
1125,B1125,0.26703
1126,N1126,0.09497
1127,B1127,0.12142
1128,N1128,0.21937
1129,B1129,0.01985
1130,N1130,0.31307
1131,B1131,0.15274
1132,N1132,0.03022
1133,B1133,0.12801
1134,N1134,0.17235
1135,B1135,0.13685
1136,N1136,0.17683
1137,B1137,0.21089
1138,N1138,0.15021
1139,B1139,0.17608
1140,N1140,0.04675
1141,B1141,0.12216
1142,N1142,0.27213
1143,B1143,0.05604
1144,N1144,0.10976
1145,B1145,0.11466
1146,N1146,0.21271
1147,B1147,0.04735
1148,N1148,0.13179
1149,B1149,0.24884
1150,N1150,0.09690
1151,B1151,0.07989
1152,N1152,0.14281
1153,B1153,0.17011
1154,N1154,0.04174
1155,B1155,0.08360
1156,N1156,0.19997
1157,B1157,0.09870
1158,N1158,0.17911
1159,B1159,0.10122
1160,N1160,0.17127
1161,B1161,0.12068
1162,N1162,0.11122
1163,B1163,0.19617
1164,N1164,0.10663
1165,B1165,0.15307
1166,N1166,0.10112
1167,B1167,0.08430
1168,N1168,0.13005
1169,B1169,0.19455
1170,N1170,0.04758
1171,B1171,0.18364
1172,N1172,0.19242
1173,B1173,0.14665
1174,N1174,0.18339
1175,B1175,0.24264
1176,N1176,0.14677
1177,B1177,0.09787
1178,N1178,0.20191
1179,B1179,0.14724
1180,N1180,0.09813
1181,B1181,0.13018
1182,N1182,0.10663
1183,B1183,0.05511
1184,N1184,0.19150
1185,B1185,0.11143
1186,N1186,0.11946
1187,B1187,0.04977
1188,N1188,0.14596
1189,B1189,0.13186
1190,N1190,0.13538
1191,B1191,0.15970
1192,N1192,0.14609
1193,B1193,0.20843
1194,N1194,0.13074
1195,B1195,0.14213
1196,N1196,0.09843
1197,B1197,0.10608
1198,N1198,0.15195
1199,B1199,0.11529
1200,N1200,0.12879
1201,B1201,0.16063
1202,N1202,0.06165
1203,B1203,0.16269
1204,N1204,0.06508
1205,B1205,0.02619
1206,N1206,0.12267
1207,B1207,0.23037
1208,N1208,0.06958
1209,B1209,0.05679
1210,N1210,0.19354
1211,B1211,0.20300
1212,N1212,0.05250
1213,B1213,0.19255
1214,N1214,0.26714
1215,B1215,0.07399
1216,N1216,0.04739
1217,B1217,0.10937
1218,N1218,0.09768
1219,B1219,0.17568
1220,N1220,0.13768
1221,B1221,0.12579
1222,N1222,0.06531
1223,B1223,0.12799
1224,N1224,0.19130
1225,B1225,0.20548
1226,N1226,0.10412
1227,B1227,0.22126
1228,N1228,0.10658
1229,B1229,0.02124
1230,N1230,0.11833
1231,B1231,0.06395
1232,N1232,0.09087
1233,B1233,0.16954
1234,N1234,0.11101
1235,B1235,0.21039
1236,N1236,0.08004
1237,B1237,0.13881
1238,N1238,0.13106
1239,B1239,0.10118
1240,N1240,0.14977
1241,B1241,0.16621
1242,N1242,0.13745
1243,B1243,0.19494
1244,N1244,0.09677
1245,B1245,0.04704
