lag_ps,autocorrelation,autocorrelation_normalized
2.33,-1.7188885710737165e-06,-0.04483604104860001
2.34,-1.418581868753501e-06,-0.03700274466220997
2.35,-1.3921985269795855e-06,-0.03631455310943491
2.36,-1.3300244948767537e-06,-0.03469278570552564
2.37,-1.373116232140556e-06,-0.03581680440768529
2.38,-9.309899852287695e-07,-0.02428424151280396
2.39,-4.904370928897446e-07,-0.012792718503459996
2.4,-7.009712958183895e-08,-0.0018284360209324933
2.41,3.594390603393912e-07,0.009375723787482217
2.42,7.5310327542717e-07,0.01964418749366367
2.43,1.0376676808518226e-06,0.027066856756407288
2.44,1.2372705163971799e-06,0.032273361167765545
2.45,1.5826162601538189e-06,0.041281470363209095
2.46,2.021698620418553e-06,0.05273463554205972
2.47,2.5528870304506354e-06,0.06659032447823197
2.48,2.848513948096149e-06,0.07430155185950757
2.49,2.9894764529728644e-06,0.07797846306906779
2.5,2.967402038452493e-06,0.07740266695743216
2.51,2.59400407888399e-06,0.06766283476329576
2.52,1.8917321424045986e-06,0.04934454822561684
2.53,1.3312746204915202e-06,0.034725394383204246
2.54,1.0253358221587508e-06,0.026745188597183493
2.5500000000000003,7.302388455557145e-07,0.019047784368108504
2.56,4.832350099376783e-07,0.012604857060718216
2.57,1.8789896405640142e-07,0.004901216871876526
2.58,1.4161961095184574e-07,0.0036940513752775467
2.59,-1.3534600883079888e-08,-0.00035304087244650306
2.6,-2.2083890389784405e-07,-0.0057604328325404465
2.61,-3.459469751049776e-07,-0.009023791906858038
2.62,-6.551821083371728e-07,-0.01708998035013054
2.63,-7.946475822775603e-07,-0.02072784252437703
2.64,-5.847603483603199e-07,-0.015253076565806396
2.65,-4.91703040948293e-07,-0.012825739898839346
2.66,-3.008185138750585e-07,-0.007846646643217775
2.67,-2.8893703527534117e-07,-0.0075367263428679845
2.68,-3.758572941263874e-07,-0.009803982265900887
2.69,-4.878102836673981e-07,-0.012724199968808038
2.7,-6.893760111074264e-07,-0.017981905082203927
2.71,-7.766759954707183e-07,-0.020259065887345395
2.72,-9.261853462218497e-07,-0.024158915767224422
2.73,-1.145501535724715e-06,-0.02987962962887433
2.74,-1.715278024977394e-06,-0.044741862405663635
2.75,-2.1535118002931325e-06,-0.056172892822408865
2.76,-2.7436285279841715e-06,-0.07156568690544442
2.77,-3.1328894112448555e-06,-0.08171929269129721
2.78,-3.552979934192495e-06,-0.09267706869142656
2.79,-3.986775552701686e-06,-0.10399233280190438
2.8000000000000003,-4.57542156378047e-06,-0.11934676424089913
2.81,-4.969876733768206e-06,-0.1296358594684944
2.82,-5.2801764324737785e-06,-0.13772981637917456
2.83,-5.3052234228773475e-06,-0.13838315011399416
2.84,-5.2429482361063495e-06,-0.1367587441592617
2.85,-5.17967325361832e-06,-0.13510825921222955
2.86,-5.3984975892939294e-06,-0.1408161434008222
2.87,-5.446739062412066e-06,-0.14207448946546478
