end,bridge_atoms_per_attachment,seed_element,bridge_element_sequence,required_annulus_element,seed_parity,orientation,rotation_index,chirality,annulus_center_offset_nm,lateral_distance_minimum_nm,lateral_distance_mean_nm,lateral_distance_maximum_nm,bridge_envelope_minimum_nm,bridge_envelope_maximum_nm,gap_feasible,feasible_gap_minimum_nm,feasible_gap_maximum_nm,selected_gap_nm,selected_distance_minimum_nm,selected_distance_maximum_nm,maximum_envelope_violation_nm,mean_envelope_violation_nm,annulus_center_pass,mapping_geometrically_feasible
LOWER,3,N,B-N-B,N,0,-1,5,-1,9.452239303596467e-16,0.17748247220463317,0.31018729440539905,0.44136367188619285,0.11907209712355424,0.5357503498670351,True,0.05,0.30329999999999996,0.17669999999999997,0.2500417909685323,0.47543647175860615,0.0,0.0,True,True
LOWER,3,N,B-N-B,N,0,-1,6,1,7.981621904073668e-16,0.131823960425933,1.4329691299941894,2.2037861251573956,0.11907209712355424,0.5357503498670351,False,,,0.05,0.14098647107428192,2.204353251388229,1.668602901521194,0.9451757614233621,True,False
LOWER,3,N,B-N-B,N,0,-1,6,-1,9.081486434593158e-16,0.1778910370782511,0.3101536558531137,0.4411209479242165,0.11907209712355424,0.5357503498670351,True,0.05,0.304,0.177,0.25090233287083175,0.4753055601341598,0.0,0.0,True,True
LOWER,3,N,B-N-B,N,0,-1,7,1,9.72257503886256e-16,0.07302763298655117,1.4306011898114646,2.2268697618269053,0.11907209712355424,0.5357503498670351,False,,,0.0706,0.10128125189136188,2.2279836774340973,1.6922333275670622,0.9481576772655806,True,False
LOWER,3,N,B-N-B,N,0,-1,7,-1,9.381574528217236e-16,0.17767126322229568,0.3102073857218622,0.4412630269850429,0.11907209712355424,0.5357503498670351,True,0.05,0.30379999999999996,0.1769,0.25107037360555695,0.4754014809014291,0.0,0.0,True,True
LOWER,3,N,B-N-B,N,0,-1,8,1,9.06043114191681e-16,0.1782614570467655,1.470537569809544,2.3086275865989956,0.11907209712355424,0.5357503498670351,False,,,0.05,0.18515239456292834,2.30916367571203,1.7734133258449951,0.9594970015151617,True,False
LOWER,3,N,B-N-B,N,0,-1,8,-1,9.603470555545699e-16,0.17740920660191475,0.31019282865237846,0.4412457858599721,0.11907209712355424,0.5357503498670351,True,0.05,0.304,0.177,0.25043225141802233,0.47536467863611004,0.0,0.0,True,True
LOWER,3,N,B-N-B,N,0,-1,9,1,9.139057666378619e-16,0.3349493466639868,1.4692811509110442,2.324880618013517,0.11907209712355424,0.5357503498670351,False,,,0.05,0.3386606506523017,2.3254304601357103,1.7896801102686752,0.9520248858276257,True,False
LOWER,3,N,B-N-B,N,0,-1,9,-1,9.562521599501106e-16,0.17756260772194754,0.31021653059539295,0.44124459462403026,0.11907209712355424,0.5357503498670351,True,0.05,0.303,0.1765,0.25021063949777933,0.4755012085963086,0.0,0.0,True,True
LOWER,3,N,B-N-B,N,0,-1,10,1,9.067544909679867e-16,0.2514287839185236,1.4561705968899257,2.3096669656469864,0.11907209712355424,0.5357503498670351,False,,,0.05,0.256352111074507,2.310208025413417,1.774457675546382,0.9509470711510556,True,False
