calculation_type,frame,cluster,job,tracked_root,is_tracked_root,root,hole_orbital,hole_spin,particle_orbital,particle_spin,occupation
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,2,True,2,50,a,55,a,0.00610614
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,2,True,2,49,a,56,a,0.00256802
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,2,True,2,48,a,57,a,0.00248069
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,2,True,2,47,a,58,a,0.00165854
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,2,True,2,46,a,59,a,0.00160522
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,2,True,2,45,a,60,a,0.00146611
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,2,True,2,44,a,61,a,0.00138238
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,2,True,2,43,a,62,a,0.0011595
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,2,True,2,42,a,63,a,0.00114246
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,2,True,2,41,a,64,a,0.0008506
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,2,True,2,40,a,65,a,0.00072285
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,2,True,2,39,a,66,a,0.00061059
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,2,True,2,38,a,67,a,0.00045114
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,2,True,2,37,a,68,a,0.00041442
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,2,True,2,36,a,69,a,0.0003825
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,2,True,2,35,a,70,a,0.00034289
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,2,True,2,34,a,71,a,0.00030334
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,2,True,2,33,a,72,a,0.00029279
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,2,True,2,32,a,73,a,0.00028095
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,2,True,2,31,a,74,a,0.00025029
