radius_nm,lower_energy_kJ_mol,lower_energy_kBT,upper_energy_kJ_mol,upper_energy_kBT
0.246,0.024274357210275065,0.00973178036276053,0.024274357210275065,0.00973178036276053
0.247,0.02503592303717846,0.010037098081166306,0.02503592303717846,0.010037098081166306
0.248,0.025823212434806835,0.010352728581009418,0.025823212434806835,0.010352728581009418
0.249,0.0266371417296767,0.010679039224783632,0.0266371417296767,0.010679039224783632
0.25,0.02747866111831836,0.011016410953737123,0.02747866111831836,0.011016410953737123
0.251,0.028348755947485784,0.011365238801118671,0.028348755947485784,0.011365238801118671
0.252,0.029248448043196287,0.011725932425000097,0.029248448043196287,0.011725932425000097
0.253,0.03017879709045425,0.012098916661418336,0.03017879709045425,0.012098916661418336
0.254,0.031140902065580834,0.012484632098607661,0.031140902065580834,0.012484632098607661
0.255,0.032135902723152684,0.012883535673125087,0.032135902723152684,0.012883535673125087
0.256,0.03316498113961261,0.013296101288696,0.03316498113961261,0.013296101288696
0.257,0.03422936331570405,0.013722820458642732,0.03422936331570405,0.013722820458642732
0.258,0.035330320839962036,0.014164202972791123,0.035330320839962036,0.014164202972791123
0.259,0.0364691726155631,0.014620777589778223,0.0364691726155631,0.014620777589778223
0.26,0.03764728665293862,0.01509309275572505,0.03764728665293862,0.01509309275572505
0.261,0.0388660819306356,0.015581717350270278,0.0388660819306356,0.015581717350270278
0.262,0.04012703032700146,0.01608724146099785,0.04012703032700146,0.01608724146099785
0.263,0.04143165862537549,0.016610277187333943,0.04143165862537549,0.016610277187333943
0.264,0.0427815505955514,0.017151459475021686,0.0427815505955514,0.017151459475021686
0.265,0.04417834915439237,0.017711446982328648,0.04417834915439237,0.017711446982328648
0.266,0.04562375860858875,0.018290922979186046,0.04562375860858875,0.018290922979186046
0.267,0.047119546982641904,0.018890596280495723,0.047119546982641904,0.018890596280495723
0.268,0.04866754843529324,0.019511202214895513,0.04866754843529324,0.019511202214895513
0.269,0.05026966576772397,0.02015350363031623,0.05026966576772397,0.02015350363031623
0.27,0.051927873026975845,0.02081829193771345,0.051927873026975845,0.02081829193771345
0.271,0.05364421820818314,0.02150638819441357,0.05364421820818314,0.02150638819441357
0.272,0.055420826059318216,0.02221864422855828,0.055420826059318216,0.02221864422855828
