atom,name,r_ref_nm,r_cur_nm,delta_r_nm
1354,N1354,1.20768,1.21713,0.00945
1355,B1355,1.20681,1.25095,0.04414
1356,N1356,1.20772,1.25490,0.04718
1357,B1357,1.20717,1.27036,0.06318
1358,N1358,1.20815,1.27010,0.06195
1359,B1359,1.20774,1.27742,0.06969
1360,N1360,1.20774,1.27666,0.06893
1361,B1361,1.20727,1.29020,0.08293
1362,N1362,1.20727,1.29020,0.08293
1363,B1363,1.20700,1.28156,0.07456
1364,N1364,1.20832,1.29012,0.08180
1365,B1365,1.20737,1.26173,0.05437
1366,N1366,1.20876,1.26868,0.05992
1367,B1367,1.20688,1.23252,0.02564
1368,N1368,1.20830,1.23637,0.02807
1369,B1369,1.20663,1.21039,0.00376
1370,N1370,1.20750,1.21704,0.00954
1371,B1371,1.20674,1.21527,0.00853
1372,N1372,1.20769,1.21818,0.01048
1373,B1373,1.20740,1.23351,0.02611
1374,N1374,1.20740,1.23170,0.02429
1375,B1375,1.20736,1.25465,0.04729
1376,N1376,1.20736,1.24494,0.03759
1377,B1377,1.20660,1.27789,0.07129
1378,N1378,1.20786,1.27049,0.06263
1379,B1379,1.20640,1.29655,0.09015
1380,N1380,1.20727,1.29134,0.08407
1381,B1381,1.20654,1.29815,0.09162
1382,N1382,1.20795,1.30198,0.09404
1383,B1383,1.20709,1.27741,0.07032
1384,N1384,1.20846,1.28126,0.07280
1385,B1385,1.20756,1.24737,0.03982
1386,N1386,1.20851,1.25401,0.04550
1387,B1387,1.20793,1.23168,0.02375
1388,N1388,1.20893,1.22894,0.02001
1389,B1389,1.20788,1.21546,0.00758
1390,N1390,1.20888,1.20930,0.00043
1391,B1391,1.20741,1.20411,-0.00330
1392,N1392,1.20836,1.19653,-0.01183
1393,B1393,1.20772,1.19209,-0.01563
1394,N1394,1.20822,1.18440,-0.02382
1395,B1395,1.20696,1.16311,-0.04385
1396,N1396,1.20838,1.15872,-0.04965
1397,B1397,1.20671,1.12774,-0.07897
1398,N1398,1.20811,1.13101,-0.07710
1399,B1399,1.20729,1.09582,-0.11147
1400,N1400,1.20861,1.10398,-0.10463
1401,B1401,1.20671,1.08258,-0.12413
1402,N1402,1.20769,1.08372,-0.12397
1403,B1403,1.20727,1.08121,-0.12606
1404,N1404,1.20727,1.07238,-0.13488
1405,B1405,1.20681,1.08300,-0.12381
1406,N1406,1.20681,1.06873,-0.13808
1407,B1407,1.20789,1.09923,-0.10866
1408,N1408,1.20880,1.09343,-0.11538
1409,B1409,1.20699,1.13934,-0.06765
1410,N1410,1.20780,1.13925,-0.06855
1411,B1411,1.20657,1.19004,-0.01653
1412,N1412,1.20798,1.18671,-0.02127
1413,B1413,1.20727,1.23826,0.03099
1414,N1414,1.20813,1.23473,0.02660
1415,B1415,1.20755,1.25905,0.05150
1416,N1416,1.20881,1.25718,0.04837
1417,B1417,1.20736,1.27300,0.06564
1418,N1418,1.20835,1.27304,0.06469
1419,B1419,1.20740,1.28337,0.07597
1420,N1420,1.20740,1.28642,0.07901
1421,B1421,1.20674,1.29087,0.08413
1422,N1422,1.20895,1.29351,0.08455
1423,B1423,1.20750,1.28222,0.07472
1424,N1424,1.20750,1.28919,0.08169
1425,B1425,1.20688,1.25380,0.04692
