lower_H,upper_H,hydrogen_role,lower_attached_heavy,upper_attached_heavy,pair_method
H4:LOWER:0077:0,H4:UPPER:0137:0,BRIDGE_PASSIVANT_H,BR4:LOWER:05:4,BR4:UPPER:05:4,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0078:0,H4:UPPER:0138:0,BRIDGE_PASSIVANT_H,BR4:LOWER:06:1,BR4:UPPER:06:1,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0079:0,H4:UPPER:0139:0,BRIDGE_PASSIVANT_H,BR4:LOWER:06:2,BR4:UPPER:06:2,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0080:0,H4:UPPER:0140:0,BRIDGE_PASSIVANT_H,BR4:LOWER:06:3,BR4:UPPER:06:3,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0081:0,H4:UPPER:0141:0,BRIDGE_PASSIVANT_H,BR4:LOWER:06:4,BR4:UPPER:06:4,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0082:0,H4:UPPER:0142:0,BRIDGE_PASSIVANT_H,BR4:LOWER:07:1,BR4:UPPER:07:1,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0083:0,H4:UPPER:0143:0,BRIDGE_PASSIVANT_H,BR4:LOWER:07:2,BR4:UPPER:07:2,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0084:0,H4:UPPER:0144:0,BRIDGE_PASSIVANT_H,BR4:LOWER:07:3,BR4:UPPER:07:3,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0085:0,H4:UPPER:0145:0,BRIDGE_PASSIVANT_H,BR4:LOWER:07:4,BR4:UPPER:07:4,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0086:0,H4:UPPER:0146:0,BRIDGE_PASSIVANT_H,BR4:LOWER:08:1,BR4:UPPER:08:1,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0087:0,H4:UPPER:0147:0,BRIDGE_PASSIVANT_H,BR4:LOWER:08:2,BR4:UPPER:08:2,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0088:0,H4:UPPER:0148:0,BRIDGE_PASSIVANT_H,BR4:LOWER:08:3,BR4:UPPER:08:3,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0089:0,H4:UPPER:0149:0,BRIDGE_PASSIVANT_H,BR4:LOWER:08:4,BR4:UPPER:08:4,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0090:0,H4:UPPER:0150:0,BRIDGE_PASSIVANT_H,BR4:LOWER:09:1,BR4:UPPER:09:1,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0091:0,H4:UPPER:0151:0,BRIDGE_PASSIVANT_H,BR4:LOWER:09:2,BR4:UPPER:09:2,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0092:0,H4:UPPER:0152:0,BRIDGE_PASSIVANT_H,BR4:LOWER:09:3,BR4:UPPER:09:3,ATTACHED_HEAVY_PAIR_AND_ROLE
