end,mapping_id,fit_mode,seed_parity,orientation,rotation_index,chirality,linear_determinant,singular_value_minimum,singular_value_maximum,maximum_principal_strain,affine_anisotropy,annulus_center_offset_nm,optimal_axial_gap_nm,lateral_residual_mean_nm,lateral_residual_minimum_nm,lateral_residual_maximum_nm,attachment_bond_mean_nm,attachment_bond_minimum_nm,attachment_bond_maximum_nm,attachment_RMS_deviation_nm,attachment_maximum_deviation_nm,annulus_bond_count,annulus_bond_mean_nm,annulus_bond_minimum_nm,annulus_bond_maximum_nm,annulus_bond_maximum_deviation_nm,attachment_thresholds_pass,annulus_strain_thresholds_pass,annulus_center_threshold_pass,positive_axial_gap_pass,local_preoptimization_pass,similarity_scale
LOWER,LOWER:P0:O1:R2,RIGID,0,1,2,1,1.0,1.0,1.0,0.0,1.0,8.981734369710009e-16,0.0,0.31018729440539905,0.17748247220463317,0.44136367188619285,0.3101875132054848,0.17748339579739514,0.441363673942366,0.19830599997997048,0.29639067394236596,168,0.14497300000000002,0.14497299999999977,0.14497300000000019,2.220446049250313e-16,False,True,True,False,False,
LOWER,LOWER:P0:O1:R2,SIMILARITY,0,1,2,1,1.1413625143733899,1.0683456904829025,1.0683456904829027,0.06834569048290273,1.0000000000000002,1.0098726858301206e-15,0.0,0.28916957257071496,0.10812459323085723,0.4522271168745552,0.2891698388551892,0.10812610926711813,0.4522271188813347,0.20004921838723583,0.3072541188813347,168,0.15488127978637783,0.15488127978637764,0.154881279786378,0.00990827978637801,False,False,True,False,False,1.0683456904829025
LOWER,LOWER:P0:O1:R2,RIGID,0,1,2,-1,-1.0000000000000002,1.0,1.0000000000000002,2.220446049250313e-16,1.0000000000000002,8.639962245046282e-16,2e-05,1.4561705968895169,0.2514287839143909,2.3096669656463806,1.4561707103800066,0.25142878468731195,2.30966696570379,1.4754318408606062,2.16469396570379,168,0.144973,0.14497299999999985,0.14497300000000019,1.942890293094024e-16,False,True,True,True,False,
LOWER,LOWER:P0:O1:R2,SIMILARITY,0,1,2,-1,-4.551814758475137e-10,2.1334982443102988e-05,2.1334982443102998e-05,0.999978665017557,1.0000000000000004,9.41852589704239e-16,0.0,1.1925592552755495,1.1922130785948275,1.192873802783938,1.19255931464228,1.1922131037942194,1.1928738279693722,1.0475863305042021,1.0479008279693722,168,3.09299640972397e-06,3.092996409723968e-06,3.0929964097239725e-06,0.14496990700359028,False,False,True,False,False,2.133498244310299e-05
LOWER,LOWER:P0:O1:R2,AFFINE,0,1,2,0,1.1413625139182084,1.06832435550046,1.0683670254653455,0.06836702546534545,1.000039941020408,8.94731248353015e-16,0.0,0.28916956877250116,0.10814281176082494,0.4522420611439945,0.2891698350432213,0.10814432754168685,0.4522420631507077,0.20004921983463064,0.3072690631507077,168,0.15488127980181976,0.1548786740007763,0.15488402572384966,0.009911025723849665,False,False,True,False,False,
LOWER,LOWER:P0:O1:R3,RIGID,0,1,3,1,0.9999999999999999,0.9999999999999999,1.0,1.1102230246251565e-16,1.0000000000000002,9.40532050190498e-16,0.0,0.3102165305953929,0.17756260772194762,0.44124459462403065,0.3102167402961522,0.17756267641436702,0.44124470408375954,0.19836859800442289,0.2962717040837596,168,0.144973,0.14497299999999985,0.1449730000000001,1.3877787807814457e-16,False,True,True,False,False,
LOWER,LOWER:P0:O1:R3,SIMILARITY,0,1,3,1,1.1413317331697268,1.0683312843728423,1.0683312843728423,0.0683312843728423,1.0,8.782857973228471e-16,0.0,0.28921208788471253,0.10821927338019016,0.4520980151532416,0.2892123271466814,0.10821938608840513,0.4520981219851948,0.20010735075672262,0.3071251219851948,168,0.15487919128938404,0.15487919128938393,0.1548791912893842,0.00990619128938422,False,False,True,False,False,1.0683312843728425
LOWER,LOWER:P0:O1:R3,RIGID,0,1,3,-1,-0.9999999999999998,0.9999999999999999,1.0,1.1102230246251565e-16,1.0000000000000002,9.049916224324601e-16,0.0,1.4692811509110166,0.33494934666487797,2.3248806180135126,1.4692811991457548,0.3349493466649995,2.3248806869506735,1.4741349718058772,2.1799076869506737,168,0.144973,0.14497299999999982,0.14497300000000013,1.6653345369377348e-16,False,True,True,False,False,
LOWER,LOWER:P0:O1:R3,SIMILARITY,0,1,3,-1,-1.0022859317336936e-09,3.165889972399061e-05,3.165889972399062e-05,0.999968341100276,1.0000000000000002,9.418545029312646e-16,0.0,1.1925592551429736,1.192224098950987,1.1928825924314483,1.1925593145092377,1.192224124150146,1.192882617616697,1.0475863302207662,1.0479096176166969,168,4.589685669686091e-06,4.589685669686086e-06,4.589685669686094e-06,0.1449684103143303,False,False,True,False,False,3.165889972399062e-05
LOWER,LOWER:P0:O1:R3,AFFINE,0,1,3,0,1.14133173216744,1.0682996254731179,1.0683629432725659,0.06836294327256587,1.0000592697010635,9.533836228658087e-16,0.0,0.2892120867714099,0.10822767591845826,0.4521257919196917,0.28921232602304986,0.10822778861792284,0.4521258987450816,0.20010734867585372,0.30715289874508156,168,0.154879191323387,0.15487595613284322,0.1548836282981008,0.009910628298100799,False,False,True,False,False,
LOWER,LOWER:P0:O1:R4,RIGID,0,1,4,1,0.9999999999999993,0.9999999999999996,0.9999999999999999,4.440892098500626e-16,1.0000000000000004,1.0434767994534747e-15,3.0000000000000004e-05,0.31019282865237846,0.17740920660191503,0.44124578585997254,0.3101930986688631,0.17740933703086806,0.44124580390341706,0.19829915529708628,0.29627280390341704,168,0.14497299999999994,0.1449729999999998,0.14497300000000013,1.942890293094024e-16,False,True,True,True,False,
LOWER,LOWER:P0:O1:R4,SIMILARITY,0,1,4,1,1.1413635273672433,1.0683461645774008,1.0683461645774013,0.06834616457740128,1.0000000000000004,1.1856368593100378e-15,5e-05,0.2891861859074087,0.10805083512874399,0.45214337078433453,0.2891864980408119,0.1080510113124562,0.4521433832535025,0.20003422469303972,0.30717038325350254,168,0.15488134851727955,0.15488134851727936,0.15488134851727972,0.00990834851727973,False,False,True,True,False,1.0683461645774015
