frame,time_ps,site,root,family,is_bright_root,energy_eV,fosc,D2_au2,DX_raw_au,DY_raw_au,DZ_raw_au,dipole_magnitude_au,reference_frame,gauge_sign_factor,raw_cosine_to_reference,aligned_cosine_to_reference,DX_aligned_au,DY_aligned_au,DZ_aligned_au
9,45.0,PYR4,2,bright_like,True,4.08,0.510873621,5.1114,-0.22654,-2.24781,0.08616,2.2608405516533003,0,-1,-0.9999789194611062,0.9999789194611062,0.22654,2.24781,-0.08616
9,45.0,PYR5,2,alternate_like,False,3.84,0.01299225,0.1381,0.08339,-0.00448,0.36211,0.3716180835212409,0,-1,-0.36729512809389653,0.36729512809389653,-0.08339,0.00448,-0.36211
9,45.0,PYR5,1,bright_like,True,3.75,0.62317919,6.78242,-2.58992,0.25612,-0.09556,2.604307969499767,0,1,0.9996871619854947,0.9996871619854947,-2.58992,0.25612,-0.09556
10,50.0,PYR2,1,alternate_like,False,3.998,0.008701298,0.08884,0.03178,0.27346,-0.11423,0.2980603965641863,0,1,0.27595585766488456,0.27595585766488456,0.03178,0.27346,-0.11423
10,50.0,PYR2,2,bright_like,True,4.079,0.503064953,5.03358,0.23649,2.23105,0.00809,2.2435641287915082,0,1,0.9999871319408169,0.9999871319408169,0.23649,2.23105,0.00809
10,50.0,PYR3,1,alternate_like,False,3.996,0.004807113,0.0491,0.14035,-0.01408,-0.17089,0.22158519806160337,0,1,0.8562244716703948,0.8562244716703948,0.14035,-0.01408,-0.17089
10,50.0,PYR3,2,bright_like,True,4.065,0.507950168,5.09992,2.24554,-0.23206,-0.06011,2.2583002457600716,0,-1,-0.9999704711390516,0.9999704711390516,-2.24554,0.23206,0.06011
10,50.0,PYR4,1,alternate_like,False,4.02,0.013226282,0.1343,-0.04049,-0.30951,-0.19198,0.3664696440361739,0,1,0.6019950302360054,0.6019950302360054,-0.04049,-0.30951,-0.19198
10,50.0,PYR4,2,bright_like,True,4.099,0.501788253,4.99711,-0.23615,-2.21948,0.12355,2.235421660447979,0,-1,-0.9999208433579959,0.9999208433579959,0.23615,2.21948,-0.12355
10,50.0,PYR5,2,alternate_like,False,3.859,0.010302342,0.10898,-0.10204,0.01213,0.31372,0.3301211898682058,0,-1,-0.7949706897033033,0.7949706897033033,0.10204,-0.01213,-0.31372
10,50.0,PYR5,1,bright_like,True,3.791,0.663968719,7.14946,-2.65708,0.26541,-0.13761,2.673847415242687,0,1,0.9999479555368925,0.9999479555368925,-2.65708,0.26541,-0.13761
11,55.0,PYR2,1,alternate_like,False,4.008,0.014138215,0.14399,0.03762,0.3535,-0.1327,0.3794601428345275,0,1,0.31056502787587653,0.31056502787587653,0.03762,0.3535,-0.1327
11,55.0,PYR2,2,bright_like,True,4.098,0.495368741,4.93426,0.2283,2.20948,0.01874,2.221319427727584,0,1,0.9999571629749604,0.9999571629749604,0.2283,2.20948,0.01874
11,55.0,PYR3,1,alternate_like,False,3.979,0.007325384,0.07515,-0.15862,0.01852,-0.22282,0.274135003237456,0,-1,-0.280128851642776,0.280128851642776,0.15862,-0.01852,0.22282
