atom_i_1based,atom_j_1based,element_i,element_j,distance_nm,in_explicit_topology,in_geometry_graph,classification
212,271,N,B,0.1450620556865233,True,True,MATCHED
213,214,B,N,0.14500000000000002,True,True,MATCHED
214,271,N,B,0.14533409785731635,True,True,MATCHED
214,273,N,B,0.1455644187293034,True,True,MATCHED
215,216,B,N,0.14500000000000002,True,True,MATCHED
216,273,N,B,0.14484129245487978,True,True,MATCHED
216,275,N,B,0.14550257729676125,True,True,MATCHED
217,218,B,N,0.14500000000000002,True,True,MATCHED
218,275,N,B,0.14484129245487978,True,True,MATCHED
218,277,N,B,0.1455644187293034,True,True,MATCHED
219,220,B,N,0.14500000000000002,True,True,MATCHED
220,277,N,B,0.14533409785731635,True,True,MATCHED
220,279,N,B,0.1450620556865233,True,True,MATCHED
221,222,B,N,0.14500000000000002,True,True,MATCHED
222,279,N,B,0.1451171940191788,True,True,MATCHED
222,281,N,B,0.14514131045295142,True,True,MATCHED
223,224,B,N,0.14500000000000002,True,True,MATCHED
224,281,N,B,0.1449241180756329,True,True,MATCHED
224,283,N,B,0.1457875166123628,True,True,MATCHED
225,226,B,N,0.14500000000000002,True,True,MATCHED
226,283,N,B,0.14514131045295142,True,True,MATCHED
226,285,N,B,0.14511719401917844,True,True,MATCHED
227,228,B,N,0.14500000000000002,True,True,MATCHED
228,285,N,B,0.1450620556865233,True,True,MATCHED
228,287,N,B,0.14533409785731635,True,True,MATCHED
229,230,B,N,0.14500000000000002,True,True,MATCHED
230,287,N,B,0.1448378403594865,True,True,MATCHED
230,289,N,B,0.1455128860273206,True,True,MATCHED
231,232,B,N,0.14500000000000002,True,True,MATCHED
232,289,N,B,0.14489306401619093,True,True,MATCHED
232,291,N,B,0.14484129245487956,True,True,MATCHED
233,234,B,N,0.14500000000000002,True,True,MATCHED
234,291,N,B,0.1460342425597502,True,True,MATCHED
234,293,N,B,0.14533409785731655,True,True,MATCHED
235,236,B,N,0.14500000000000002,True,True,MATCHED
236,293,N,B,0.1450620556865233,True,True,MATCHED
236,295,N,B,0.1448930640161909,True,True,MATCHED
237,238,B,N,0.14500000000000002,True,True,MATCHED
238,295,N,B,0.14527560015363902,True,True,MATCHED
238,297,N,B,0.14487926007541588,True,True,MATCHED
239,240,B,N,0.14500000000000002,True,True,MATCHED
240,297,N,B,0.14574292435655314,True,True,MATCHED
240,299,N,B,0.14527560015363902,True,True,MATCHED
241,242,B,N,0.14500000000000002,True,True,MATCHED
242,301,N,B,0.14483438818181293,True,True,MATCHED
242,359,N,B,0.14456140563788109,True,True,MATCHED
243,244,B,N,0.14500000000000002,True,True,MATCHED
244,301,N,B,0.14481022063376636,True,True,MATCHED
244,303,N,B,0.145013792447477,True,True,MATCHED
245,246,B,N,0.14500000000000002,True,True,MATCHED
246,303,N,B,0.14377760604489156,True,True,MATCHED
246,305,N,B,0.145013792447477,True,True,MATCHED
247,248,B,N,0.14500000000000002,True,True,MATCHED
248,305,N,B,0.14481022063376636,True,True,MATCHED
248,307,N,B,0.14483438818181293,True,True,MATCHED
249,250,B,N,0.14500000000000002,True,True,MATCHED
250,307,N,B,0.14456140563788109,True,True,MATCHED
250,309,N,B,0.14439182802361047,True,True,MATCHED
251,252,B,N,0.14500000000000002,True,True,MATCHED
252,309,N,B,0.14477568856683093,True,True,MATCHED
252,311,N,B,0.1452446212429224,True,True,MATCHED
253,254,B,N,0.14500000000000002,True,True,MATCHED
254,311,N,B,0.1443779761598008,True,True,MATCHED
254,313,N,B,0.14477568856683093,True,True,MATCHED
255,256,B,N,0.14500000000000002,True,True,MATCHED
256,313,N,B,0.14439182802361084,True,True,MATCHED
256,315,N,B,0.14456140563788109,True,True,MATCHED
257,258,B,N,0.14500000000000002,True,True,MATCHED
258,315,N,B,0.14483438818181293,True,True,MATCHED
258,317,N,B,0.1455369368923229,True,True,MATCHED
259,260,B,N,0.14500000000000002,True,True,MATCHED
260,317,N,B,0.14433987668000817,True,True,MATCHED
260,319,N,B,0.14439182802361086,True,True,MATCHED
261,262,B,N,0.14500000000000002,True,True,MATCHED
262,319,N,B,0.14501379244747725,True,True,MATCHED
262,321,N,B,0.1443364125922496,True,True,MATCHED
263,264,B,N,0.14500000000000002,True,True,MATCHED
264,321,N,B,0.14483438818181277,True,True,MATCHED
264,323,N,B,0.14456140563788109,True,True,MATCHED
265,266,B,N,0.14500000000000002,True,True,MATCHED
266,323,N,B,0.14461673485458001,True,True,MATCHED
266,325,N,B,0.1446409347314931,True,True,MATCHED
267,268,B,N,0.14500000000000002,True,True,MATCHED
268,325,N,B,0.14528936643815327,True,True,MATCHED
268,327,N,B,0.14442298985964805,True,True,MATCHED
269,270,B,N,0.14500000000000002,True,True,MATCHED
270,327,N,B,0.1446409347314931,True,True,MATCHED
270,329,N,B,0.14461673485458038,True,True,MATCHED
271,272,B,N,0.14500000000000002,True,True,MATCHED
272,329,N,B,0.14456140563788109,True,True,MATCHED
272,331,N,B,0.14483438818181277,True,True,MATCHED
273,274,B,N,0.14500000000000002,True,True,MATCHED
274,331,N,B,0.14506550244630867,True,True,MATCHED
274,333,N,B,0.1443398766800084,True,True,MATCHED
275,276,B,N,0.14500000000000002,True,True,MATCHED
276,333,N,B,0.14500344823486094,True,True,MATCHED
276,335,N,B,0.1443398766800084,True,True,MATCHED
277,278,B,N,0.14500000000000002,True,True,MATCHED
278,335,N,B,0.14506550244630867,True,True,MATCHED
278,337,N,B,0.14483438818181277,True,True,MATCHED
279,280,B,N,0.14500000000000002,True,True,MATCHED
280,337,N,B,0.14456140563788109,True,True,MATCHED
280,339,N,B,0.14461673485458038,True,True,MATCHED
281,282,B,N,0.14500000000000002,True,True,MATCHED
