center_node,center_element,center_node_type,end,angle_index,neighbor_1,neighbor_2,angle_deg,deviation_from_120_deg
A:UPPER:-4:8,B,ANNULUS_OUTER_BOUNDARY,UPPER,2,A:UPPER:-2:8,H:UPPER:OUTER:19,106.10211375198611,-13.89788624801389
A:UPPER:-4:8,B,ANNULUS_OUTER_BOUNDARY,UPPER,3,A:UPPER:-5:7,H:UPPER:OUTER:19,133.89788624801375,13.897886248013748
A:UPPER:-7:-7,B,ANNULUS_OUTER_BOUNDARY,UPPER,1,A:UPPER:-5:-7,A:UPPER:-8:-6,119.99999999999973,-2.7000623958883807e-13
A:UPPER:-7:-7,B,ANNULUS_OUTER_BOUNDARY,UPPER,2,A:UPPER:-5:-7,H:UPPER:OUTER:25,120.00000000000024,2.4158453015843406e-13
A:UPPER:-7:-7,B,ANNULUS_OUTER_BOUNDARY,UPPER,3,A:UPPER:-8:-6,H:UPPER:OUTER:25,120.00000000000001,1.4210854715202004e-14
A:UPPER:-7:7,B,ANNULUS_OUTER_BOUNDARY,UPPER,1,A:UPPER:-5:7,A:UPPER:-8:6,119.99999999999997,-2.842170943040401e-14
A:UPPER:-7:7,B,ANNULUS_OUTER_BOUNDARY,UPPER,2,A:UPPER:-5:7,H:UPPER:OUTER:20,119.99999999999994,-5.684341886080802e-14
A:UPPER:-7:7,B,ANNULUS_OUTER_BOUNDARY,UPPER,3,A:UPPER:-8:6,H:UPPER:OUTER:20,120.0000000000001,9.947598300641403e-14
A:UPPER:10:-6,N,ANNULUS_OUTER_BOUNDARY,UPPER,1,A:UPPER:11:-5,A:UPPER:8:-6,119.99999999999982,-1.8474111129762605e-13
A:UPPER:10:-6,N,ANNULUS_OUTER_BOUNDARY,UPPER,2,A:UPPER:11:-5,S:1730,47.71221597252988,-72.28778402747011
A:UPPER:10:-6,N,ANNULUS_OUTER_BOUNDARY,UPPER,3,A:UPPER:8:-6,S:1730,167.71216740981322,47.71216740981322
A:UPPER:10:6,N,ANNULUS_OUTER_BOUNDARY,UPPER,1,A:UPPER:11:5,A:UPPER:8:6,120.00000000000014,1.4210854715202004e-13
A:UPPER:10:6,N,ANNULUS_OUTER_BOUNDARY,UPPER,2,A:UPPER:11:5,S:1736,47.7060210796331,-72.2939789203669
A:UPPER:10:6,N,ANNULUS_OUTER_BOUNDARY,UPPER,3,A:UPPER:8:6,S:1736,167.7051240734647,47.7051240734647
A:UPPER:13:-5,N,ANNULUS_OUTER_BOUNDARY,UPPER,1,A:UPPER:11:-5,A:UPPER:14:-4,119.99999999999982,-1.8474111129762605e-13
A:UPPER:13:-5,N,ANNULUS_OUTER_BOUNDARY,UPPER,2,A:UPPER:11:-5,S:1732,120.53042605908263,0.5304260590826289
A:UPPER:13:-5,N,ANNULUS_OUTER_BOUNDARY,UPPER,3,A:UPPER:14:-4,S:1732,0.5307228132825856,-119.46927718671742
A:UPPER:13:5,N,ANNULUS_OUTER_BOUNDARY,UPPER,1,A:UPPER:11:5,A:UPPER:14:4,120.00000000000011,1.1368683772161603e-13
A:UPPER:13:5,N,ANNULUS_OUTER_BOUNDARY,UPPER,2,A:UPPER:11:5,S:1734,120.53931417020229,0.5393141702022888
A:UPPER:13:5,N,ANNULUS_OUTER_BOUNDARY,UPPER,3,A:UPPER:14:4,S:1734,0.5393183408953944,-119.46068165910461
A:UPPER:14:-2,B,ANNULUS_OUTER_BOUNDARY,UPPER,1,A:UPPER:13:-1,A:UPPER:13:-3,119.99999999999979,-2.1316282072803006e-13
A:UPPER:14:-2,B,ANNULUS_OUTER_BOUNDARY,UPPER,2,A:UPPER:13:-1,H:UPPER:OUTER:29,133.89788624801406,13.89788624801406
A:UPPER:14:-2,B,ANNULUS_OUTER_BOUNDARY,UPPER,3,A:UPPER:13:-3,H:UPPER:OUTER:29,106.10211375198615,-13.897886248013847
A:UPPER:14:-4,B,ANNULUS_OUTER_BOUNDARY,UPPER,1,A:UPPER:13:-3,A:UPPER:13:-5,120.0000000000002,1.9895196601282805e-13
A:UPPER:14:-4,B,ANNULUS_OUTER_BOUNDARY,UPPER,2,A:UPPER:13:-3,H:UPPER:OUTER:28,146.32950349168485,26.329503491684846
A:UPPER:14:-4,B,ANNULUS_OUTER_BOUNDARY,UPPER,3,A:UPPER:13:-5,H:UPPER:OUTER:28,93.67049650831497,-26.32950349168503
A:UPPER:14:0,B,ANNULUS_OUTER_BOUNDARY,UPPER,1,A:UPPER:13:-1,A:UPPER:13:1,120.00000000000033,3.268496584496461e-13
A:UPPER:14:0,B,ANNULUS_OUTER_BOUNDARY,UPPER,2,A:UPPER:13:-1,H:UPPER:OUTER:15,119.99999999999991,-8.526512829121202e-14
A:UPPER:14:0,B,ANNULUS_OUTER_BOUNDARY,UPPER,3,A:UPPER:13:1,H:UPPER:OUTER:15,119.99999999999979,-2.1316282072803006e-13
A:UPPER:14:2,B,ANNULUS_OUTER_BOUNDARY,UPPER,1,A:UPPER:13:1,A:UPPER:13:3,120.00000000000017,1.7053025658242404e-13
A:UPPER:14:2,B,ANNULUS_OUTER_BOUNDARY,UPPER,2,A:UPPER:13:1,H:UPPER:OUTER:16,133.89788624801386,13.897886248013862
A:UPPER:14:2,B,ANNULUS_OUTER_BOUNDARY,UPPER,3,A:UPPER:13:3,H:UPPER:OUTER:16,106.10211375198597,-13.897886248014032
A:UPPER:14:4,B,ANNULUS_OUTER_BOUNDARY,UPPER,1,A:UPPER:13:3,A:UPPER:13:5,119.99999999999989,-1.1368683772161603e-13
A:UPPER:14:4,B,ANNULUS_OUTER_BOUNDARY,UPPER,2,A:UPPER:13:3,H:UPPER:OUTER:17,146.329503491685,26.32950349168499
A:UPPER:14:4,B,ANNULUS_OUTER_BOUNDARY,UPPER,3,A:UPPER:13:5,H:UPPER:OUTER:17,93.67049650831511,-26.32950349168489
A:UPPER:1:-9,N,ANNULUS_OUTER_BOUNDARY,UPPER,1,A:UPPER:-1:-9,A:UPPER:2:-8,119.99999999999986,-1.4210854715202004e-13
A:UPPER:1:-9,N,ANNULUS_OUTER_BOUNDARY,UPPER,2,A:UPPER:-1:-9,S:1724,0.5190403609170178,-119.48095963908298
A:UPPER:1:-9,N,ANNULUS_OUTER_BOUNDARY,UPPER,3,A:UPPER:2:-8,S:1724,120.51821011234426,0.5182101123442635
A:UPPER:1:9,N,ANNULUS_OUTER_BOUNDARY,UPPER,1,A:UPPER:-1:9,A:UPPER:2:8,120.00000000000027,2.7000623958883807e-13
A:UPPER:1:9,N,ANNULUS_OUTER_BOUNDARY,UPPER,2,A:UPPER:-1:9,S:1712,0.5446577320564225,-119.45534226794358
