end,bridge_atoms,seed_node,annulus_node,target_distance_nm,local_fixed_heavy_atoms,candidates_tested,pair_feasible,retained_feasible_candidates,best_library_distance_error_nm,best_minimum_angle_deg,best_maximum_angle_deg,best_maximum_bond_deviation_nm,best_minimum_clearance_nm,best_angle_violations,best_clash_count
LOWER,5,S:1699,A:LOWER:-7:7,0.2507185000620844,91,304,True,12,1.2669260331443777e-05,100.19837009930926,128.67757974823067,1.9469754682921447e-06,0.22243324296737263,0,0
LOWER,5,S:1701,A:LOWER:-4:8,0.3032607909498008,88,272,True,12,0.00012116040748993973,98.18566092699281,134.52928652600644,1.4132704561103937e-05,0.1926255492408662,0,0
LOWER,5,S:1703,A:LOWER:-1:9,0.4749914647569468,87,468,True,12,2.8625250053093687e-05,91.65657268652399,147.67181643079553,4.595023998715808e-06,0.20396129006163352,0,0
LOWER,5,S:1705,A:LOWER:14:4,0.47514127118609256,87,458,True,12,7.334048268969884e-05,96.50361407312786,139.45133700930063,1.166110022082778e-05,0.15629405135172644,0,0
LOWER,5,S:1707,A:LOWER:14:2,0.30255035352504484,88,532,True,12,6.964415711763206e-05,107.78176940345185,129.91365782174418,1.0260132028677704e-05,0.1759085911257172,0,0
LOWER,5,S:1709,A:LOWER:14:0,0.25091769597638536,91,343,True,12,0.0002118651746323974,100.12890676409822,128.68888223477578,3.255943586141785e-05,0.2223113673713929,0,0
UPPER,5,S:1710,A:UPPER:14:0,0.34028903822898104,89,342,True,12,1.4050992873326784e-05,97.26081387274625,132.27064650355675,1.984818757183593e-06,0.16571970892471077,0,0
UPPER,5,S:1712,A:UPPER:14:2,0.5505089399630306,92,364,True,12,1.961303298503303e-05,107.67321071237764,124.13398826469543,2.960810822016935e-06,0.1565929373768676,0,0
UPPER,5,S:1714,A:UPPER:14:4,1.217454023020363,95,4800,False,0,0.4540373705074643,52.65699718616047,149.07143237142472,0.0748961270109931,0.14417964221624333,2,0
UPPER,5,S:1710,A:UPPER:14:2,0.23314971551795124,89,473,True,12,7.241457811751895e-05,100.03326678279345,134.8690111161856,9.68657910593862e-06,0.19740681048792594,0,0
UPPER,5,S:1712,A:UPPER:14:4,0.7852251125298731,89,4800,False,0,0.025235622880678932,61.39875167940379,161.86150484547062,0.004052807889442733,0.1331030443029168,1,0
UPPER,5,S:1710,A:UPPER:14:4,0.34499851380462243,84,259,True,12,5.271465426281985e-06,104.32508435799562,130.81227427339743,7.808417287202829e-07,0.17064380179116823,0,0
UPPER,5,S:1712,A:UPPER:-1:9,1.8611765666298383,102,4800,False,0,1.0977599141169396,50.601075022329695,159.40018170236218,0.1816961505067994,0.14376780049366777,2,0
UPPER,5,S:1710,A:UPPER:-1:9,1.531303829532226,102,4800,False,0,0.7678871770193274,49.58198817800753,155.11235315624444,0.12691905084523722,0.13241401321113141,2,0
UPPER,5,S:1710,A:UPPER:-4:8,1.6508784699126995,100,4800,False,0,0.8874618173998008,30.111294379029925,156.8529209262238,0.14676628036471032,0.12785423126614456,2,0
UPPER,5,S:1710,A:UPPER:-7:7,1.7977794778216079,102,4800,False,0,1.0343628253087092,28.303792944203327,158.69185175010492,0.17116329562864321,0.14091775460606204,1,0
UPPER,5,S:1710,A:UPPER:-10:6,1.9658904861934114,101,4800,False,0,1.2024738336805127,26.483386566411564,160.47436561523884,0.1990978998944358,0.14185977010313364,1,0
UPPER,5,S:1710,A:UPPER:-13:5,2.150242493513,99,4800,False,0,1.386825841000101,24.28710961074035,162.12040313497144,0.22974563380969246,0.14214927852159617,1,0
UPPER,5,S:1710,A:UPPER:-13:-5,2.2904125262291775,80,4800,False,0,1.5269958737162788,36.37500516913341,163.2000180860099,0.25305631080092983,0.13767171222366903,1,0
UPPER,5,S:1710,A:UPPER:-10:-6,2.147477942839923,92,4800,False,0,1.3840612903270242,40.15315053721687,162.09773654903933,0.2292859450823513,0.14315481943763037,1,0
UPPER,5,S:1710,A:UPPER:-7:-7,2.0256940820455727,98,4800,False,0,1.262277429532674,46.429867848595066,161.03997346097486,0.20903851807728105,0.14296590150434016,1,0
UPPER,5,S:1710,A:UPPER:-4:-8,1.9290709000601625,101,4800,False,0,1.1690814104109681,47.3239051083552,160.66649433679032,0.19171990498700345,0.14073011320519008,1,0
UPPER,5,S:1710,A:UPPER:-1:-9,1.8615304416681968,102,4800,False,0,1.0981137891552981,50.28411197952339,159.40400636070004,0.18175494969475978,0.1444264124307257,2,0
