frame,site,S1_energy_eV,S1_fosc,S2_energy_eV,S2_fosc,S1_S2_gap_meV,bright_root,alternate_root,expected_bright_root,mapping_preserved,bright_energy_eV,bright_fosc,alternate_energy_eV,alternate_fosc,bright_fraction_of_S1_S2_fosc,source_output
15,PYR5,3.797,0.617289556,3.861,0.048610659,64.00000000000006,1,2,1,True,3.797,0.617289556,3.861,0.048610659,0.927000085140384,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame015_PYR5_embedding/frame015_PYR5_embedding.out
16,PYR2,4.005,0.007980509,4.095,0.484549816,89.99999999999986,2,1,2,True,4.095,0.484549816,4.005,0.007980509,0.9837969184943078,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame016_PYR2_embedding/frame016_PYR2_embedding.out
16,PYR3,3.979,0.004160358,4.073,0.500972655,94.00000000000031,2,1,2,True,4.073,0.500972655,3.979,0.004160358,0.9917638366669176,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame016_PYR3_embedding/frame016_PYR3_embedding.out
16,PYR4,4.021,0.00075086,4.088,0.514035631,67.00000000000017,2,1,2,True,4.088,0.514035631,4.021,0.00075086,0.9985414147163392,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame016_PYR4_embedding/frame016_PYR4_embedding.out
16,PYR5,3.787,0.64087199,3.848,0.027434139,60.99999999999994,1,2,1,True,3.787,0.64087199,3.848,0.027434139,0.9589497420275791,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame016_PYR5_embedding/frame016_PYR5_embedding.out
17,PYR2,3.997,0.003950877,4.09,0.503383394,92.99999999999997,2,1,2,True,4.09,0.503383394,3.997,0.003950877,0.9922124775994091,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame017_PYR2_embedding/frame017_PYR2_embedding.out
17,PYR3,4.014,0.015689894,4.091,0.499303464,76.99999999999996,2,1,2,True,4.091,0.499303464,4.014,0.015689894,0.9695337934824394,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame017_PYR3_embedding/frame017_PYR3_embedding.out
17,PYR4,4.023,0.004235391,4.095,0.516236756,72.00000000000006,2,1,2,True,4.095,0.516236756,4.023,0.004235391,0.9918624060395684,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame017_PYR4_embedding/frame017_PYR4_embedding.out
17,PYR5,3.756,0.658947702,3.815,0.01916748,59.00000000000016,1,2,1,True,3.756,0.658947702,3.815,0.01916748,0.9717341824681341,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame017_PYR5_embedding/frame017_PYR5_embedding.out
18,PYR2,4.011,0.004740677,4.087,0.501314575,75.99999999999963,2,1,2,True,4.087,0.501314575,4.011,0.004740677,0.9906320960383985,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame018_PYR2_embedding/frame018_PYR2_embedding.out
18,PYR3,4.017,0.003591347,4.089,0.514666779,72.00000000000006,2,1,2,True,4.089,0.514666779,4.017,0.003591347,0.993070350815879,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame018_PYR3_embedding/frame018_PYR3_embedding.out
18,PYR4,4.022,0.005227546,4.088,0.513302479,65.99999999999983,2,1,2,True,4.088,0.513302479,4.022,0.005227546,0.9899185278615256,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame018_PYR4_embedding/frame018_PYR4_embedding.out
18,PYR5,3.753,0.647780357,3.835,0.007279731,81.99999999999986,1,2,1,True,3.753,0.647780357,3.835,0.007279731,0.9888869263547622,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame018_PYR5_embedding/frame018_PYR5_embedding.out
19,PYR2,3.998,0.005387942,4.085,0.505899823,86.99999999999974,2,1,2,True,4.085,0.505899823,3.998,0.005387942,0.9894620165612606,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame019_PYR2_embedding/frame019_PYR2_embedding.out
19,PYR3,4.009,0.002384253,4.079,0.506260518,69.9999999999994,2,1,2,True,4.079,0.506260518,4.009,0.002384253,0.9953125380699136,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame019_PYR3_embedding/frame019_PYR3_embedding.out
19,PYR4,4.0,0.005415159,4.088,0.509308271,88.00000000000009,2,1,2,True,4.088,0.509308271,4.0,0.005415159,0.9894794783287794,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame019_PYR4_embedding/frame019_PYR4_embedding.out
19,PYR5,3.781,0.649181293,3.851,0.018740564,69.99999999999984,1,2,1,True,3.781,0.649181293,3.851,0.018740564,0.9719419812308971,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame019_PYR5_embedding/frame019_PYR5_embedding.out
20,PYR2,4.01,0.010873752,4.078,0.476937983,68.00000000000051,2,1,2,True,4.078,0.476937983,4.01,0.010873752,0.977709121737303,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame020_PYR2_embedding/frame020_PYR2_embedding.out
20,PYR3,4.0,0.005212785,4.066,0.499580956,65.99999999999983,2,1,2,True,4.066,0.499580956,4.0,0.005212785,0.9896734357488793,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame020_PYR3_embedding/frame020_PYR3_embedding.out
20,PYR4,4.016,0.006844006,4.083,0.521661364,67.00000000000017,2,1,2,True,4.083,0.521661364,4.016,0.006844006,0.9870502621383014,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame020_PYR4_embedding/frame020_PYR4_embedding.out
20,PYR5,3.768,0.670424221,3.848,0.009116058,80.00000000000007,1,2,1,True,3.768,0.670424221,3.848,0.009116058,0.9865849629790672,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame020_PYR5_embedding/frame020_PYR5_embedding.out
