requirement_class,requirement_id,term_definition,occurrence_count,source_id,coverage_status,exact_or_analogous,transferability_status,QM_reference_required,notes
ANGLE,ANGLE_0046,N|ANNULUS_OUTER_BOUNDARY -- B|ANNULUS_INTERIOR -- N|ANNULUS_OUTER_BOUNDARY,24,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0047,N|HEXAGONAL_EDGE_COMPLETION_SEED -- B|PARENT_HBN -- N|HEXAGONAL_EDGE_COMPLETION_SEED,30,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0048,N|HEXAGONAL_EDGE_COMPLETION_SEED -- B|PARENT_HBN -- N|PARENT_HBN,60,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0049,N|PARENT_HBN -- B|HEXAGONAL_EDGE_COMPLETION_SEED -- N|PARENT_HBN,30,,UNASSESSED,,UNASSESSED,UNASSESSED,
ANGLE,ANGLE_0050,N|PARENT_HBN -- B|PARENT_HBN -- N|PARENT_HBN,2430,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0001,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- N|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- H|BRIDGE_PASSIVANT_H,60,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0002,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- N|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,30,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0003,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- N|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- N|ANNULUS_OUTER_BOUNDARY,15,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0004,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- N|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- N|HEXAGONAL_EDGE_COMPLETION_SEED,15,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0005,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- N|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- B|ANNULUS_OUTER_BOUNDARY -- N|ANNULUS_INTERIOR,24,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0006,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- N|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- B|ANNULUS_OUTER_BOUNDARY -- N|ANNULUS_OUTER_BOUNDARY,6,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0007,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- N|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- B|HEXAGONAL_EDGE_COMPLETION_SEED -- N|PARENT_HBN,30,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0008,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- N|ANNULUS_OUTER_BOUNDARY -- B|ANNULUS_INTERIOR -- N|ANNULUS_INTERIOR,24,,UNASSESSED,,UNASSESSED,UNASSESSED,
