dataset,frame,time_ps,pyrene,cutoff_nm,waterO_count
frozen,55,27.5,3,0.5,22
frozen,55,27.5,4,0.35,6
frozen,55,27.5,4,0.5,26
frozen,56,28.0,1,0.35,5
frozen,56,28.0,1,0.5,24
frozen,56,28.0,2,0.35,3
frozen,56,28.0,2,0.5,25
frozen,56,28.0,3,0.35,6
frozen,56,28.0,3,0.5,25
frozen,56,28.0,4,0.35,7
frozen,56,28.0,4,0.5,28
frozen,57,28.5,1,0.35,4
frozen,57,28.5,1,0.5,23
frozen,57,28.5,2,0.35,3
frozen,57,28.5,2,0.5,27
frozen,57,28.5,3,0.35,3
frozen,57,28.5,3,0.5,22
frozen,57,28.5,4,0.35,7
frozen,57,28.5,4,0.5,31
frozen,58,29.0,1,0.35,5
frozen,58,29.0,1,0.5,20
frozen,58,29.0,2,0.35,5
frozen,58,29.0,2,0.5,25
frozen,58,29.0,3,0.35,5
frozen,58,29.0,3,0.5,23
frozen,58,29.0,4,0.35,5
frozen,58,29.0,4,0.5,27
frozen,59,29.5,1,0.35,5
frozen,59,29.5,1,0.5,17
frozen,59,29.5,2,0.35,5
frozen,59,29.5,2,0.5,25
frozen,59,29.5,3,0.35,6
frozen,59,29.5,3,0.5,27
frozen,59,29.5,4,0.35,5
frozen,59,29.5,4,0.5,23
frozen,60,30.0,1,0.35,4
frozen,60,30.0,1,0.5,22
frozen,60,30.0,2,0.35,3
frozen,60,30.0,2,0.5,24
frozen,60,30.0,3,0.35,4
frozen,60,30.0,3,0.5,28
frozen,60,30.0,4,0.35,10
frozen,60,30.0,4,0.5,28
frozen,61,30.5,1,0.35,4
frozen,61,30.5,1,0.5,25
frozen,61,30.5,2,0.35,7
frozen,61,30.5,2,0.5,25
frozen,61,30.5,3,0.35,4
frozen,61,30.5,3,0.5,24
frozen,61,30.5,4,0.35,3
frozen,61,30.5,4,0.5,25
frozen,62,31.0,1,0.35,4
frozen,62,31.0,1,0.5,22
frozen,62,31.0,2,0.35,3
frozen,62,31.0,2,0.5,24
frozen,62,31.0,3,0.35,7
frozen,62,31.0,3,0.5,24
frozen,62,31.0,4,0.35,3
frozen,62,31.0,4,0.5,24
frozen,63,31.5,1,0.35,4
frozen,63,31.5,1,0.5,20
frozen,63,31.5,2,0.35,5
frozen,63,31.5,2,0.5,23
frozen,63,31.5,3,0.35,4
frozen,63,31.5,3,0.5,25
frozen,63,31.5,4,0.35,5
frozen,63,31.5,4,0.5,21
frozen,64,32.0,1,0.35,5
frozen,64,32.0,1,0.5,24
frozen,64,32.0,2,0.35,4
frozen,64,32.0,2,0.5,23
frozen,64,32.0,3,0.35,5
frozen,64,32.0,3,0.5,20
frozen,64,32.0,4,0.35,3
frozen,64,32.0,4,0.5,23
frozen,65,32.5,1,0.35,3
frozen,65,32.5,1,0.5,25
frozen,65,32.5,2,0.35,5
frozen,65,32.5,2,0.5,25
frozen,65,32.5,3,0.35,4
frozen,65,32.5,3,0.5,18
frozen,65,32.5,4,0.35,3
frozen,65,32.5,4,0.5,27
frozen,66,33.0,1,0.35,4
frozen,66,33.0,1,0.5,29
frozen,66,33.0,2,0.35,5
frozen,66,33.0,2,0.5,24
frozen,66,33.0,3,0.35,2
frozen,66,33.0,3,0.5,19
frozen,66,33.0,4,0.35,6
frozen,66,33.0,4,0.5,28
frozen,67,33.5,1,0.35,8
frozen,67,33.5,1,0.5,27
frozen,67,33.5,2,0.35,4
frozen,67,33.5,2,0.5,23
frozen,67,33.5,3,0.35,5
frozen,67,33.5,3,0.5,22
frozen,67,33.5,4,0.35,4
frozen,67,33.5,4,0.5,30
frozen,68,34.0,1,0.35,5
frozen,68,34.0,1,0.5,29
frozen,68,34.0,2,0.35,6
frozen,68,34.0,2,0.5,23
frozen,68,34.0,3,0.35,3
frozen,68,34.0,3,0.5,22
frozen,68,34.0,4,0.35,7
frozen,68,34.0,4,0.5,28
frozen,69,34.5,1,0.35,4
frozen,69,34.5,1,0.5,26
frozen,69,34.5,2,0.35,4
frozen,69,34.5,2,0.5,26
frozen,69,34.5,3,0.35,6
frozen,69,34.5,3,0.5,22
frozen,69,34.5,4,0.35,6
frozen,69,34.5,4,0.5,30
frozen,70,35.0,1,0.35,5
frozen,70,35.0,1,0.5,28
frozen,70,35.0,2,0.35,4
frozen,70,35.0,2,0.5,27
frozen,70,35.0,3,0.35,3
frozen,70,35.0,3,0.5,24
frozen,70,35.0,4,0.35,7
frozen,70,35.0,4,0.5,27
frozen,71,35.5,1,0.35,4
frozen,71,35.5,1,0.5,23
frozen,71,35.5,2,0.35,6
frozen,71,35.5,2,0.5,27
frozen,71,35.5,3,0.35,8
frozen,71,35.5,3,0.5,23
frozen,71,35.5,4,0.35,3
frozen,71,35.5,4,0.5,27
frozen,72,36.0,1,0.35,3
frozen,72,36.0,1,0.5,26
frozen,72,36.0,2,0.35,5
frozen,72,36.0,2,0.5,27
frozen,72,36.0,3,0.35,4
frozen,72,36.0,3,0.5,23
frozen,72,36.0,4,0.35,7
frozen,72,36.0,4,0.5,29
frozen,73,36.5,1,0.35,7
frozen,73,36.5,1,0.5,26
frozen,73,36.5,2,0.35,4
frozen,73,36.5,2,0.5,21
frozen,73,36.5,3,0.35,4
frozen,73,36.5,3,0.5,20
frozen,73,36.5,4,0.35,3
frozen,73,36.5,4,0.5,28
frozen,74,37.0,1,0.35,6
frozen,74,37.0,1,0.5,31
