node_id,element,node_type,end,x_nm,y_nm,z_nm,coordinates_generated_by,energy_minimized,MD_relaxed
A:LOWER:11:-1,N,ANNULUS_INTERIOR,LOWER,2.9002125653055755,3.570326350148006,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:11:-3,N,ANNULUS_INTERIOR,LOWER,2.822613043857081,3.8091355343473676,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:11:-5,N,ANNULUS_INTERIOR,LOWER,2.745013522408587,4.047944718546729,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:11:1,N,ANNULUS_INTERIOR,LOWER,2.9778120867540694,3.331517165948644,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:11:3,N,ANNULUS_INTERIOR,LOWER,3.0554116082025633,3.092707981749282,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:11:5,N,ANNULUS_INTERIOR,LOWER,3.1330111296510577,2.8538987975499204,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:13:-1,B,ANNULUS_INTERIOR,LOWER,2.762336018523119,3.5255242455507316,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:13:-3,B,ANNULUS_INTERIOR,LOWER,2.684736497074625,3.7643334297500934,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:13:-5,B,ANNULUS_OUTER_BOUNDARY,LOWER,2.6071369756261307,4.003142613949455,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:13:1,B,ANNULUS_INTERIOR,LOWER,2.839935539971613,3.2867150613513694,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:13:3,B,ANNULUS_INTERIOR,LOWER,2.917535061420107,3.047905877152008,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:13:5,B,ANNULUS_OUTER_BOUNDARY,LOWER,2.995134582868601,2.809096692952646,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:14:-2,N,ANNULUS_OUTER_BOUNDARY,LOWER,2.654597984407644,3.6225277853517754,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:14:-4,N,ANNULUS_OUTER_BOUNDARY,LOWER,2.57699846295915,3.8613369695511373,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:14:0,N,ANNULUS_OUTER_BOUNDARY,LOWER,2.732197505856138,3.3837186011524136,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:14:2,N,ANNULUS_OUTER_BOUNDARY,LOWER,2.809797027304632,3.144909416953052,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
A:LOWER:14:4,N,ANNULUS_OUTER_BOUNDARY,LOWER,2.8873965487531263,2.9061002327536896,1.9271156454345866,STATIC_ANALYTIC_EMBEDDING,False,False
