node_id,element,node_type,end,source_index_0based,coordinates_assigned,formal_charge_assigned,force_field_type_assigned,circumferential_index,lattice_x,lattice_y,radius_proxy_nm,angle_turns,attached_to
P:301,N,PARENT_HBN,PARENT,301,False,False,False,,,,,,
P:302,B,PARENT_HBN,PARENT,302,False,False,False,,,,,,
P:303,N,PARENT_HBN,PARENT,303,False,False,False,,,,,,
P:304,B,PARENT_HBN,PARENT,304,False,False,False,,,,,,
P:305,N,PARENT_HBN,PARENT,305,False,False,False,,,,,,
P:306,B,PARENT_HBN,PARENT,306,False,False,False,,,,,,
P:307,N,PARENT_HBN,PARENT,307,False,False,False,,,,,,
P:308,B,PARENT_HBN,PARENT,308,False,False,False,,,,,,
P:309,N,PARENT_HBN,PARENT,309,False,False,False,,,,,,
P:310,B,PARENT_HBN,PARENT,310,False,False,False,,,,,,
P:311,N,PARENT_HBN,PARENT,311,False,False,False,,,,,,
P:312,B,PARENT_HBN,PARENT,312,False,False,False,,,,,,
P:313,N,PARENT_HBN,PARENT,313,False,False,False,,,,,,
P:314,B,PARENT_HBN,PARENT,314,False,False,False,,,,,,
P:315,N,PARENT_HBN,PARENT,315,False,False,False,,,,,,
P:316,B,PARENT_HBN,PARENT,316,False,False,False,,,,,,
P:317,N,PARENT_HBN,PARENT,317,False,False,False,,,,,,
P:318,B,PARENT_HBN,PARENT,318,False,False,False,,,,,,
P:319,N,PARENT_HBN,PARENT,319,False,False,False,,,,,,
P:320,B,PARENT_HBN,PARENT,320,False,False,False,,,,,,
P:321,N,PARENT_HBN,PARENT,321,False,False,False,,,,,,
P:322,B,PARENT_HBN,PARENT,322,False,False,False,,,,,,
P:323,N,PARENT_HBN,PARENT,323,False,False,False,,,,,,
P:324,B,PARENT_HBN,PARENT,324,False,False,False,,,,,,
P:325,N,PARENT_HBN,PARENT,325,False,False,False,,,,,,
P:326,B,PARENT_HBN,PARENT,326,False,False,False,,,,,,
P:327,N,PARENT_HBN,PARENT,327,False,False,False,,,,,,
P:328,B,PARENT_HBN,PARENT,328,False,False,False,,,,,,
P:329,N,PARENT_HBN,PARENT,329,False,False,False,,,,,,
P:330,B,PARENT_HBN,PARENT,330,False,False,False,,,,,,
P:331,N,PARENT_HBN,PARENT,331,False,False,False,,,,,,
P:332,B,PARENT_HBN,PARENT,332,False,False,False,,,,,,
P:333,N,PARENT_HBN,PARENT,333,False,False,False,,,,,,
P:334,B,PARENT_HBN,PARENT,334,False,False,False,,,,,,
P:335,N,PARENT_HBN,PARENT,335,False,False,False,,,,,,
P:336,B,PARENT_HBN,PARENT,336,False,False,False,,,,,,
P:337,N,PARENT_HBN,PARENT,337,False,False,False,,,,,,
P:338,B,PARENT_HBN,PARENT,338,False,False,False,,,,,,
P:339,N,PARENT_HBN,PARENT,339,False,False,False,,,,,,
P:340,B,PARENT_HBN,PARENT,340,False,False,False,,,,,,
P:341,N,PARENT_HBN,PARENT,341,False,False,False,,,,,,
P:342,B,PARENT_HBN,PARENT,342,False,False,False,,,,,,
P:343,N,PARENT_HBN,PARENT,343,False,False,False,,,,,,
P:344,B,PARENT_HBN,PARENT,344,False,False,False,,,,,,
P:345,N,PARENT_HBN,PARENT,345,False,False,False,,,,,,
P:346,B,PARENT_HBN,PARENT,346,False,False,False,,,,,,
P:347,N,PARENT_HBN,PARENT,347,False,False,False,,,,,,
P:348,B,PARENT_HBN,PARENT,348,False,False,False,,,,,,
P:349,N,PARENT_HBN,PARENT,349,False,False,False,,,,,,
P:350,B,PARENT_HBN,PARENT,350,False,False,False,,,,,,
P:351,N,PARENT_HBN,PARENT,351,False,False,False,,,,,,
P:352,B,PARENT_HBN,PARENT,352,False,False,False,,,,,,
P:353,N,PARENT_HBN,PARENT,353,False,False,False,,,,,,
P:354,B,PARENT_HBN,PARENT,354,False,False,False,,,,,,
P:355,N,PARENT_HBN,PARENT,355,False,False,False,,,,,,
P:356,B,PARENT_HBN,PARENT,356,False,False,False,,,,,,
P:357,N,PARENT_HBN,PARENT,357,False,False,False,,,,,,
P:358,B,PARENT_HBN,PARENT,358,False,False,False,,,,,,
P:359,N,PARENT_HBN,PARENT,359,False,False,False,,,,,,
P:360,B,PARENT_HBN,PARENT,360,False,False,False,,,,,,
P:361,N,PARENT_HBN,PARENT,361,False,False,False,,,,,,
P:362,B,PARENT_HBN,PARENT,362,False,False,False,,,,,,
P:363,N,PARENT_HBN,PARENT,363,False,False,False,,,,,,
P:364,B,PARENT_HBN,PARENT,364,False,False,False,,,,,,
P:365,N,PARENT_HBN,PARENT,365,False,False,False,,,,,,
P:366,B,PARENT_HBN,PARENT,366,False,False,False,,,,,,
P:367,N,PARENT_HBN,PARENT,367,False,False,False,,,,,,
P:368,B,PARENT_HBN,PARENT,368,False,False,False,,,,,,
P:369,N,PARENT_HBN,PARENT,369,False,False,False,,,,,,
P:370,B,PARENT_HBN,PARENT,370,False,False,False,,,,,,
P:371,N,PARENT_HBN,PARENT,371,False,False,False,,,,,,
P:372,B,PARENT_HBN,PARENT,372,False,False,False,,,,,,
P:373,N,PARENT_HBN,PARENT,373,False,False,False,,,,,,
P:374,B,PARENT_HBN,PARENT,374,False,False,False,,,,,,
P:375,N,PARENT_HBN,PARENT,375,False,False,False,,,,,,
P:376,B,PARENT_HBN,PARENT,376,False,False,False,,,,,,
P:377,N,PARENT_HBN,PARENT,377,False,False,False,,,,,,
P:378,B,PARENT_HBN,PARENT,378,False,False,False,,,,,,
P:379,N,PARENT_HBN,PARENT,379,False,False,False,,,,,,
P:380,B,PARENT_HBN,PARENT,380,False,False,False,,,,,,
P:381,N,PARENT_HBN,PARENT,381,False,False,False,,,,,,
P:382,B,PARENT_HBN,PARENT,382,False,False,False,,,,,,
P:383,N,PARENT_HBN,PARENT,383,False,False,False,,,,,,
P:384,B,PARENT_HBN,PARENT,384,False,False,False,,,,,,
P:385,N,PARENT_HBN,PARENT,385,False,False,False,,,,,,
P:386,B,PARENT_HBN,PARENT,386,False,False,False,,,,,,
P:387,N,PARENT_HBN,PARENT,387,False,False,False,,,,,,
P:388,B,PARENT_HBN,PARENT,388,False,False,False,,,,,,
P:389,N,PARENT_HBN,PARENT,389,False,False,False,,,,,,
P:390,B,PARENT_HBN,PARENT,390,False,False,False,,,,,,
P:391,N,PARENT_HBN,PARENT,391,False,False,False,,,,,,
P:392,B,PARENT_HBN,PARENT,392,False,False,False,,,,,,
P:393,N,PARENT_HBN,PARENT,393,False,False,False,,,,,,
P:394,B,PARENT_HBN,PARENT,394,False,False,False,,,,,,
P:395,N,PARENT_HBN,PARENT,395,False,False,False,,,,,,
P:396,B,PARENT_HBN,PARENT,396,False,False,False,,,,,,
P:397,N,PARENT_HBN,PARENT,397,False,False,False,,,,,,
P:398,B,PARENT_HBN,PARENT,398,False,False,False,,,,,,
P:399,N,PARENT_HBN,PARENT,399,False,False,False,,,,,,
P:400,B,PARENT_HBN,PARENT,400,False,False,False,,,,,,
