atom,name,r_ref_nm,r_cur_nm,delta_r_nm
1556,N1556,1.20143,1.20283,0.00140
1557,B1557,1.20547,1.24465,0.03918
1558,N1558,1.20268,1.24639,0.04371
1559,B1559,1.20445,1.28715,0.08270
1560,N1560,1.20230,1.27840,0.07610
1561,B1561,1.20027,1.31216,0.11189
1562,N1562,1.19987,1.30887,0.10901
1563,B1563,1.20053,1.30091,0.10038
1564,N1564,1.20053,1.30263,0.10210
1565,B1565,1.20127,1.26686,0.06559
1566,N1566,1.20027,1.27847,0.07820
1567,B1567,1.20043,1.21156,0.01113
1568,N1568,1.19945,1.22560,0.02615
1569,B1569,1.20100,1.16299,-0.03801
1570,N1570,1.20100,1.16146,-0.03954
1571,B1571,1.19951,1.12302,-0.07649
1572,N1572,1.20090,1.12262,-0.07828
1573,B1573,1.19990,1.10144,-0.09847
1574,N1574,1.20131,1.11283,-0.08848
1575,B1575,1.20016,1.06507,-0.13509
1576,N1576,1.20103,1.07147,-0.12956
1577,B1577,1.19983,1.04147,-0.15836
1578,N1578,1.19983,1.04236,-0.15746
1579,B1579,1.20082,1.02607,-0.17474
1580,N1580,1.20082,1.02466,-0.17615
1581,B1581,1.20087,1.02373,-0.17714
1582,N1582,1.20087,1.01279,-0.18807
1583,B1583,1.20028,1.02228,-0.17800
1584,N1584,1.20028,1.02627,-0.17401
1585,B1585,1.20040,1.04882,-0.15158
1586,N1586,1.20126,1.05961,-0.14165
1587,B1587,1.19947,1.09651,-0.10296
1588,N1588,1.20089,1.10354,-0.09735
1589,B1589,1.20047,1.15207,-0.04840
1590,N1590,1.20128,1.15093,-0.05035
1591,B1591,1.20011,1.21712,0.01701
1592,N1592,1.20011,1.21802,0.01791
1593,B1593,1.20089,1.27636,0.07547
1594,N1594,1.20089,1.28680,0.08591
1595,B1595,1.20074,1.33574,0.13500
1596,N1596,1.20074,1.34774,0.14700
1597,B1597,1.20099,1.36318,0.16219
1598,N1598,1.20099,1.36982,0.16883
1599,B1599,1.20070,1.35862,0.15792
1600,N1600,1.20030,1.38369,0.18339
1601,B1601,1.20016,1.35326,0.15310
1602,N1602,1.20156,1.37954,0.17798
1603,B1603,1.19982,1.33019,0.13037
1604,N1604,1.20049,1.35144,0.15095
1605,B1605,1.20030,1.31268,0.11237
1606,N1606,1.20030,1.32407,0.12377
1607,B1607,1.20042,1.29684,0.09643
1608,N1608,1.20042,1.30084,0.10042
1609,B1609,1.20034,1.25286,0.05253
1610,N1610,1.20034,1.26693,0.06659
1611,B1611,1.20029,1.21475,0.01446
1612,N1612,1.20029,1.23686,0.03657
1613,B1613,1.20027,1.20072,0.00045
1614,N1614,1.20027,1.21847,0.01820
1615,B1615,1.20057,1.22230,0.02173
1616,N1616,1.20057,1.23253,0.03196
1617,B1617,1.20018,1.26975,0.06957
1618,N1618,1.20159,1.28061,0.07903
1619,B1619,1.20059,1.29413,0.09354
1620,N1620,1.20140,1.29985,0.09845
1621,B1621,1.20534,1.31787,0.11252
1622,N1622,1.23571,1.35357,0.11786
1623,B1623,1.20594,1.30842,0.10247
1624,N1624,1.23510,1.36631,0.13121
1625,B1625,1.20589,1.26961,0.06371
1626,N1626,1.23505,1.32323,0.08818
1627,B1627,1.20520,1.19882,-0.00638
1628,N1628,1.23556,1.22068,-0.01488
1629,B1629,1.20549,1.13143,-0.07406
1630,N1630,1.23464,1.11957,-0.11507
1631,B1631,1.20481,1.13206,-0.07275
1632,N1632,1.23595,1.16544,-0.07051
1633,B1633,1.20531,1.09365,-0.11166
1634,N1634,1.23612,1.09857,-0.13755
1635,B1635,1.20506,1.05153,-0.15353
1636,N1636,1.23460,1.05680,-0.17780
1637,B1637,1.20553,1.04157,-0.16396
1638,N1638,1.23633,1.06681,-0.16952
1639,B1639,1.20527,1.00887,-0.19640
1640,N1640,1.23627,1.01613,-0.22014
1641,B1641,1.20563,1.02380,-0.18182
1642,N1642,1.23643,1.05390,-0.18252
1643,B1643,1.20566,1.05178,-0.15388
1644,N1644,1.23612,1.08899,-0.14713
1645,B1645,1.20559,1.08785,-0.11774
1646,N1646,1.23640,1.11585,-0.12054
1647,B1647,1.20583,1.13208,-0.07375
1648,N1648,1.23489,1.16038,-0.07451
1649,B1649,1.20503,1.19150,-0.01353
1650,N1650,1.23592,1.22369,-0.01223
1651,B1651,1.20565,1.25104,0.04539
1652,N1652,1.23601,1.25849,0.02248
