edge_id,end,edge_type,source_node,target_node,source_element,target_element,length_nm,target_length_nm,deviation_nm,absolute_deviation_nm
E:103,PARENT,PARENT_BN,P:68,P:69,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:104,PARENT,PARENT_BN,P:69,P:126,N,B,0.14551288602732038,0.144973,0.0005398860273203854,0.0005398860273203854
E:105,PARENT,PARENT_BN,P:69,P:128,N,B,0.14531001341958535,0.144973,0.00033701341958536357,0.00033701341958536357
E:106,PARENT,PARENT_BN,P:70,P:71,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:107,PARENT,PARENT_BN,P:71,P:128,N,B,0.14533409785731655,0.144973,0.00036109785731655575,0.00036109785731655575
E:108,PARENT,PARENT_BN,P:71,P:130,N,B,0.1450620556865233,0.144973,8.905568652331497e-05,8.905568652331497e-05
E:109,PARENT,PARENT_BN,P:72,P:73,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:110,PARENT,PARENT_BN,P:73,P:130,N,B,0.14489306401619054,0.144973,-7.993598380945377e-05,7.993598380945377e-05
E:111,PARENT,PARENT_BN,P:73,P:132,N,B,0.14527560015363902,0.144973,0.00030260015363903214,0.00030260015363903214
E:112,PARENT,PARENT_BN,P:74,P:75,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:113,PARENT,PARENT_BN,P:75,P:132,N,B,0.14574292435655314,0.144973,0.0007699243565531533,0.0007699243565531533
E:114,PARENT,PARENT_BN,P:75,P:134,N,B,0.14487926007541588,0.144973,-9.373992458411307e-05,9.373992458411307e-05
E:115,PARENT,PARENT_BN,P:76,P:77,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:116,PARENT,PARENT_BN,P:77,P:134,N,B,0.14527560015363902,0.144973,0.00030260015363903214,0.00030260015363903214
E:117,PARENT,PARENT_BN,P:77,P:136,N,B,0.1448930640161909,0.144973,-7.993598380909295e-05,7.993598380909295e-05
E:118,PARENT,PARENT_BN,P:78,P:79,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:119,PARENT,PARENT_BN,P:79,P:136,N,B,0.1450620556865233,0.144973,8.905568652331497e-05,8.905568652331497e-05
E:120,PARENT,PARENT_BN,P:79,P:138,N,B,0.14533409785731655,0.144973,0.00036109785731655575,0.00036109785731655575
E:121,PARENT,PARENT_BN,P:80,P:81,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:122,PARENT,PARENT_BN,P:81,P:138,N,B,0.1460342425597502,0.144973,0.0010612425597502084,0.0010612425597502084
E:123,PARENT,PARENT_BN,P:81,P:140,N,B,0.14484129245487956,0.144973,-0.0001317075451204297,0.0001317075451204297
E:124,PARENT,PARENT_BN,P:82,P:83,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:125,PARENT,PARENT_BN,P:83,P:140,N,B,0.14489306401619093,0.144973,-7.993598380906519e-05,7.993598380906519e-05
E:126,PARENT,PARENT_BN,P:83,P:142,N,B,0.1455128860273206,0.144973,0.0005398860273206074,0.0005398860273206074
E:127,PARENT,PARENT_BN,P:84,P:85,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:128,PARENT,PARENT_BN,P:85,P:142,N,B,0.1448378403594865,0.144973,-0.00013515964051349916,0.00013515964051349916
E:129,PARENT,PARENT_BN,P:85,P:144,N,B,0.14533409785731635,0.144973,0.00036109785731636146,0.00036109785731636146
E:130,PARENT,PARENT_BN,P:86,P:87,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:131,PARENT,PARENT_BN,P:87,P:144,N,B,0.1450620556865233,0.144973,8.905568652331497e-05,8.905568652331497e-05
E:132,PARENT,PARENT_BN,P:87,P:146,N,B,0.14511719401917844,0.144973,0.00014419401917845076,0.00014419401917845076
E:133,PARENT,PARENT_BN,P:88,P:89,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
