time_fs,trace_real,trace_imag,min_density_eigenvalue,hermiticity_error,population_sum,population_error,coherence_l1,purity,PYR2,PYR3,PYR4,PYR5
7670.0,1.0000000000000022,0.0,-1.9861045701856486e-08,0.0,1.0000000000000022,2.220446049250313e-15,2.2515782158688817,0.999999840103315,0.00946829862373665,0.45681467919172397,0.30830781618237535,0.22540920600216627
7680.0,1.0000000000000022,0.0,-1.9888040171061598e-08,0.0,1.0000000000000022,2.220446049250313e-15,1.5125733730071826,0.9999998398819221,0.008091068474382287,0.574825495774499,0.009754353701159218,0.4073290820499618
7690.0,1.0000000000000024,0.0,-1.990123549679774e-08,0.0,1.0000000000000024,2.4424906541753444e-15,2.0892473621727445,0.9999998397721259,0.006481631603970163,0.523001232681758,0.1512069664872293,0.31931016922704486
7700.0,1.0000000000000022,0.0,-1.993401408831485e-08,0.0,1.0000000000000022,2.220446049250313e-15,1.8838125077955108,0.9999998395101681,0.005223702276579687,0.3410214109665953,0.5722765778912224,0.08147830886560475
7710.0,1.0000000000000024,0.0,-1.995008849061393e-08,0.0,1.0000000000000024,2.4424906541753444e-15,1.454431990677693,0.9999998394055568,0.004544711708026069,0.1582800082823099,0.7926029036118718,0.04457237639779467
7720.0,1.0000000000000024,0.0,-1.9987779343723858e-08,0.0,1.0000000000000024,2.4424906541753444e-15,1.8357357212425296,0.9999998391047148,0.004464074705768076,0.06977510848037888,0.5607052073914883,0.36505560942236714
7730.0,1.0000000000000024,0.0,-2.0020755170449303e-08,0.0,1.0000000000000024,2.4424906541753444e-15,1.5146416857400828,0.9999998388152658,0.00490494722585893,0.0626853562570044,0.14131835398594084,0.7910913425311983
7740.0,1.0000000000000024,0.0,-2.003466903900309e-08,0.0,1.0000000000000024,2.4424906541753444e-15,0.9665824195406398,0.9999998387046005,0.005553309267716439,0.0668460140017759,0.012721497273994865,0.9148791794565153
7750.0,1.0000000000000024,0.0,-2.005526986489041e-08,0.0,1.0000000000000024,2.4424906541753444e-15,1.7907820843508413,0.9999998385377439,0.005768711426248564,0.0601347606721266,0.3202401547503483,0.6138563731512791
7760.0,1.0000000000000024,0.0,-2.0094217859317834e-08,0.0,1.0000000000000022,2.220446049250313e-15,1.75208916890394,0.9999998382708395,0.004944938835460933,0.10006988169844618,0.7107541666466141,0.18423101281948118
7770.0,1.0000000000000024,0.0,-2.011943150715803e-08,0.0,1.0000000000000024,2.4424906541753444e-15,1.3613966092062986,0.9999998380246826,0.0031685805443847554,0.24319073443702038,0.7370714950809245,0.016569189937672806
7780.0,1.0000000000000024,0.0,-2.013971143827514e-08,0.0,1.0000000000000024,2.4424906541753444e-15,2.030312718842433,0.99999983788631,0.0014781033185596309,0.4489194125092951,0.36930608188549857,0.1802964022866492
7790.0,1.0000000000000027,0.0,-2.0163635550955503e-08,0.0,1.0000000000000027,2.6645352591003757e-15,1.5251003653416833,0.9999998376674128,0.0012460141871326526,0.5877465609580433,0.028416581922117615,0.382590842932709
7800.0,1.0000000000000022,0.0,-2.0173749005378982e-08,0.0,1.0000000000000024,2.4424906541753444e-15,1.9042156809188178,0.9999998375797079,0.003095675814687195,0.5564351203739832,0.10406034257559899,0.33640886123573294
7810.0,1.0000000000000022,0.0,-2.020503082604076e-08,0.0,1.0000000000000022,2.220446049250313e-15,2.0074274497359883,0.999999837360861,0.006368990700457952,0.37879612868162515,0.5088102797728051,0.10602460084511404
7820.0,1.0000000000000022,0.0,-2.0219050981966953e-08,0.0,1.0000000000000022,2.220446049250313e-15,1.4945370900422446,0.9999998372155926,0.0097214801149724,0.18210498041490744,0.7787183177905167,0.029455221679605657
7830.0,1.0000000000000024,0.0,-2.0251614770421482e-08,0.0,1.0000000000000022,2.220446049250313e-15,1.9490409294217739,0.9999998369676104,0.012297780057222265,0.07490483842335441,0.604682054530294,0.3081153269891317
7840.0,1.0000000000000024,0.0,-2.0284435039285697e-08,0.0,1.0000000000000024,2.4424906541753444e-15,1.7358686194847206,0.999999836690427,0.014311453862169463,0.05867605664300306,0.18614926142705138,0.7408632280677786
7850.0,1.0000000000000024,0.0,-2.0300463502660216e-08,0.0,1.0000000000000027,2.6645352591003757e-15,0.9235805914897446,0.9999998365631965,0.016443188495074403,0.06337385831666197,0.0023959452153598363,0.9177870079729064
7860.0,1.0000000000000029,0.0,-2.0318698710234414e-08,0.0,1.0000000000000027,2.6645352591003757e-15,1.8847025003137619,0.9999998364207062,0.018709960248126614,0.054794852696504935,0.2635172744266379,0.6629779126287333
7870.0,1.0000000000000027,0.0,-2.0351511117835742e-08,0.0,1.0000000000000027,2.6645352591003757e-15,1.973579271182798,0.9999998361514503,0.020040653552422544,0.08264271682822044,0.669879087489652,0.22743754212970765
7880.0,1.0000000000000027,0.0,-2.0382451232283296e-08,0.0,1.0000000000000027,2.6645352591003757e-15,1.5125997558324649,0.9999998359096625,0.01908085409916317,0.211546592363601,0.7554819290963571,0.013890624440881296
7890.0,1.0000000000000027,0.0,-2.0397488109215804e-08,0.0,1.0000000000000027,2.6645352591003757e-15,2.2433690023364283,0.9999998357834716,0.015473314212927376,0.41755399456925196,0.4220153623649201,0.14495732885290333
7900.0,1.0000000000000027,0.0,-2.0428270559957966e-08,0.0,1.0000000000000027,2.6645352591003757e-15,1.8551159924687823,0.9999998355294987,0.010354081195210892,0.5774442133252279,0.05189224664588892,0.360309458833675
7910.0,1.0000000000000027,0.0,-2.0438363473935177e-08,0.0,1.0000000000000027,2.6645352591003757e-15,1.8535814155423358,0.9999998354483474,0.005581417232762669,0.5747278583796214,0.07049605610640036,0.3491946682812183
7920.0,1.0000000000000027,0.0,-2.04692473396847e-08,0.0,1.0000000000000027,2.6645352591003757e-15,1.9750279377588633,0.9999998352268586,0.0024427802437349223,0.4119307291191043,0.4586355919771465,0.12699089866001692
7930.0,1.0000000000000024,0.0,-2.0483590787466465e-08,0.0,1.0000000000000024,2.4424906541753444e-15,1.2519253836351052,0.999999835082401,0.0010042126862133546,0.20743182436064891,0.7736218992314122,0.017942063721727967
7940.0,1.0000000000000022,0.0,-2.0509402108201426e-08,0.0,1.0000000000000024,2.4424906541753444e-15,1.6564980172507824,0.999999834889464,0.0005257772578696633,0.0808405354708503,0.6554240792539522,0.26320960801733023
7950.0,1.0000000000000022,0.0,-2.0541628038634357e-08,0.0,1.0000000000000022,2.220446049250313e-15,1.4851343387006506,0.999999834632144,0.00032850494440268103,0.05175003994260577,0.23892748992059376,0.7089939651924001
7960.0,1.0000000000000024,0.0,-2.0560429939377036e-08,0.0,1.0000000000000024,2.4424906541753444e-15,0.5394849444716872,0.9999998344695055,0.00023597503906694432,0.05657952622086581,0.0002722563166246351,0.9429122424234451
7970.0,1.0000000000000022,0.0,-2.0575578353455374e-08,0.0,1.0000000000000022,2.220446049250313e-15,1.4498264190511208,0.9999998343616154,0.00036336806010241874,0.05180220196433278,0.21257050757021043,0.7352639224053565
7980.0,1.0000000000000022,0.0,-2.0607790706444084e-08,0.0,1.0000000000000022,2.220446049250313e-15,1.6799336684878292,0.9999998340818763,0.0007484065134619398,0.07575150821709341,0.6334342615530267,0.29006582371642015
7990.0,1.0000000000000022,0.0,-2.064058196691738e-08,0.0,1.0000000000000022,2.220446049250313e-15,1.282818713496511,0.9999998338199122,0.0013229882800426748,0.19449412521772919,0.781904734544688,0.02227815195754229
8000.0,1.000000000000002,0.0,-2.0656505443616677e-08,0.0,1.000000000000002,1.9984014443252818e-15,1.9263801708286714,0.9999998337144995,0.0021439600247543365,0.39700290356782536,0.488289625907162,0.11256351050026032
8010.0,1.0000000000000022,0.0,-2.068814375238655e-08,0.0,1.0000000000000022,2.220446049250313e-15,1.8644430957412417,0.9999998334568151,0.0034336973191146205,0.568816561097587,0.08817075050156394,0.33957899108173667
8020.0,1.0000000000000022,0.0,-2.070057419700569e-08,0.0,1.0000000000000022,2.220446049250313e-15,1.6998767150693457,0.9999998333491171,0.005278786994606368,0.5864862220681687,0.03871988623567356,0.3695151047015536
8030.0,1.000000000000002,0.0,-2.0726737805476478e-08,0.0,1.000000000000002,1.9984014443252818e-15,2.154843042366833,0.9999998331318953,0.00737214360351631,0.4359963230818608,0.3961046985974462,0.16052683471717868
8040.0,1.000000000000002,0.0,-2.0747178518607507e-08,0.0,1.000000000000002,1.9984014443252818e-15,1.4069132253984662,0.999999832959216,0.00921729148160674,0.22661099571311133,0.7515206650498822,0.012651047755401762
8050.0,1.0000000000000018,0.0,-2.077326207117497e-08,0.0,1.0000000000000018,1.7763568394002505e-15,1.835909806344687,0.9999998327507038,0.010638255723520954,0.08494925166028804,0.6987486952863209,0.2056637973298719
8060.0,1.0000000000000018,0.0,-2.0807125012969834e-08,0.0,1.0000000000000018,1.7763568394002505e-15,1.7893518880891168,0.9999998324932708,0.011960316124967988,0.0447148522993066,0.29833549846752383,0.6449893331082033
8070.0,1.0000000000000018,0.0,-2.0829734301458834e-08,0.0,1.0000000000000018,1.7763568394002505e-15,0.925290572600195,0.999999832306127,0.013514360358788485,0.04777803737196514,0.007715214302470536,0.9309923879667775
8080.0,1.0000000000000016,0.0,-2.084187736336943e-08,0.0,1.0000000000000016,1.5543122344752192e-15,1.6012567292061013,0.9999998322243567,0.014935945117451837,0.04326685160786579,0.1577208595796022,0.7840763436950817
8090.0,1.0000000000000018,0.0,-2.0871162994943965e-08,0.0,1.0000000000000018,1.7763568394002505e-15,1.9555623940257396,0.9999998320081394,0.01512853108886421,0.06115680001939393,0.5746274908385329,0.34908717805321066
8100.0,1.0000000000000018,0.0,-2.090520387291348e-08,0.0,1.0000000000000018,1.7763568394002505e-15,1.5627218995006613,0.9999998317226956,0.013163634093915131,0.17113640374388364,0.7798503273636394,0.03584963479856364
8110.0,1.0000000000000018,0.0,-2.0918981843782724e-08,0.0,1.0000000000000018,1.7763568394002505e-15,1.9597782685288552,0.9999998316031389,0.009346210419398137,0.37560621857061405,0.5381798459974222,0.07686772501256743
8120.0,1.0000000000000018,0.0,-2.0945905542235937e-08,0.0,1.0000000000000018,1.7763568394002505e-15,1.9946398702359573,0.9999998313620211,0.0053311469639579995,0.5674843069410519,0.12681888768099864,0.3003656584139934
8130.0,1.0000000000000018,0.0,-2.0959504507188107e-08,0.0,1.0000000000000018,1.7763568394002505e-15,1.4818557250418163,0.9999998312611555,0.0030142680799497648,0.6133430579425218,0.0174802465974384,0.36616242738009197
8140.0,1.0000000000000018,0.0,-2.097988891645672e-08,0.0,1.0000000000000018,1.7763568394002505e-15,2.07729339803455,0.9999998310955722,0.0031411644400618543,0.4791602001251437,0.33585390625115985,0.18184472918363648
8150.0,1.0000000000000018,0.0,-2.100105063168768e-08,0.0,1.000000000000002,1.9984014443252818e-15,1.4009748142852503,0.9999998309209454,0.004904284605107391,0.2633672602582235,0.7175145445474814,0.014213910589189561
8160.0,1.000000000000002,0.0,-2.102211580939856e-08,0.0,1.000000000000002,1.9984014443252818e-15,1.758296081985702,0.9999998307809662,0.006852852977399358,0.1013001431126713,0.7252905747753337,0.16655642913459764
8170.0,1.0000000000000018,0.0,-2.1058517241508143e-08,0.0,1.0000000000000018,1.7763568394002505e-15,1.7780713653713,0.9999998304946947,0.00817685837715006,0.045009526422764394,0.3501477177514719,0.5966658974486154
8180.0,1.0000000000000018,0.0,-2.1079602245563798e-08,0.0,1.0000000000000018,1.7763568394002505e-15,1.0078217721375031,0.9999998302914737,0.009137034278367566,0.04504298162841803,0.02188648196475182,0.9239335021284644
8190.0,1.0000000000000016,0.0,-2.108891599418957e-08,0.0,1.0000000000000018,1.7763568394002505e-15,1.4351596327594995,0.999999830207452,0.010357315140218365,0.042121319075110575,0.11712285412777236,0.8303985116569004
8200.0,1.0000000000000018,0.0,-2.1119280740421627e-08,0.0,1.0000000000000018,1.7763568394002505e-15,1.902879777255015,0.9999998300083851,0.011850416194713723,0.05297467286714271,0.5277538241656256,0.40742108677251976
8210.0,1.0000000000000018,0.0,-2.1151789293409012e-08,0.0,1.0000000000000018,1.7763568394002505e-15,1.6212255563133118,0.9999998297053151,0.012822268120470515,0.1466986364981415,0.7842069670080729,0.05627212837331684
8220.0,1.0000000000000018,0.0,-2.1167467860046874e-08,0.0,1.0000000000000018,1.7763568394002505e-15,1.8836673872284724,0.99999982957398,0.01239766985831828,0.3402221959359861,0.5928354845803965,0.05454464962530084
8230.0,1.0000000000000016,0.0,-2.1197763430742862e-08,0.0,1.0000000000000013,1.3322676295501878e-15,2.1636520334483516,0.999999829376726,0.010454033652775079,0.5403949143462514,0.17249160642301548,0.2766594455779595
