model,frame,snapshot_time_ps,initial_state,target_state,population
point_dipole,17,85.0,PYR4_bright,PYR5_bright,3.054306997084327e-05
point_dipole,18,90.0,PYR4_bright,PYR2_bright,0.32691456526678353
point_dipole,18,90.0,PYR4_bright,PYR3_bright,0.22969719246237957
point_dipole,18,90.0,PYR4_bright,PYR4_bright,0.4433629103472354
point_dipole,18,90.0,PYR4_bright,PYR5_bright,2.5331923602499506e-05
point_dipole,19,95.0,PYR4_bright,PYR2_bright,0.0017249116903342865
point_dipole,19,95.0,PYR4_bright,PYR3_bright,0.032794777200175304
point_dipole,19,95.0,PYR4_bright,PYR4_bright,0.9654404960510531
point_dipole,19,95.0,PYR4_bright,PYR5_bright,3.981505843817655e-05
point_dipole,20,100.0,PYR4_bright,PYR2_bright,0.0019706136155797777
point_dipole,20,100.0,PYR4_bright,PYR3_bright,0.00993219319443845
point_dipole,20,100.0,PYR4_bright,PYR4_bright,0.9880572059266163
point_dipole,20,100.0,PYR4_bright,PYR5_bright,3.998726336546343e-05
point_dipole,0,0.0,PYR5_bright,PYR2_bright,2.845949546356679e-07
point_dipole,0,0.0,PYR5_bright,PYR3_bright,3.121428946532556e-06
point_dipole,0,0.0,PYR5_bright,PYR4_bright,3.8741990248613943e-05
point_dipole,0,0.0,PYR5_bright,PYR5_bright,0.9999578519858514
point_dipole,1,5.0,PYR5_bright,PYR2_bright,1.5973242232230743e-07
point_dipole,1,5.0,PYR5_bright,PYR3_bright,2.2000978367767513e-06
point_dipole,1,5.0,PYR5_bright,PYR4_bright,3.6055713411625124e-05
point_dipole,1,5.0,PYR5_bright,PYR5_bright,0.9999615844563291
point_dipole,2,10.0,PYR5_bright,PYR2_bright,2.32531473804627e-07
point_dipole,2,10.0,PYR5_bright,PYR3_bright,4.032131872105345e-06
point_dipole,2,10.0,PYR5_bright,PYR4_bright,3.4680169471700325e-05
point_dipole,2,10.0,PYR5_bright,PYR5_bright,0.9999610551671829
point_dipole,3,15.0,PYR5_bright,PYR2_bright,7.636208171324353e-08
point_dipole,3,15.0,PYR5_bright,PYR3_bright,1.9875601841554333e-06
point_dipole,3,15.0,PYR5_bright,PYR4_bright,2.8674013919247255e-05
point_dipole,3,15.0,PYR5_bright,PYR5_bright,0.9999692620638152
point_dipole,4,20.0,PYR5_bright,PYR2_bright,7.712039801177658e-08
point_dipole,4,20.0,PYR5_bright,PYR3_bright,1.307994771176495e-06
point_dipole,4,20.0,PYR5_bright,PYR4_bright,3.729797354421997e-05
point_dipole,4,20.0,PYR5_bright,PYR5_bright,0.9999613169112894
point_dipole,5,25.0,PYR5_bright,PYR2_bright,1.3958865787010003e-07
point_dipole,5,25.0,PYR5_bright,PYR3_bright,3.0474356724834488e-06
point_dipole,5,25.0,PYR5_bright,PYR4_bright,4.238027430189508e-05
point_dipole,5,25.0,PYR5_bright,PYR5_bright,0.9999544327013671
point_dipole,6,30.0,PYR5_bright,PYR2_bright,3.297061528288945e-07
point_dipole,6,30.0,PYR5_bright,PYR3_bright,2.1825481032901253e-06
point_dipole,6,30.0,PYR5_bright,PYR4_bright,3.720548592999486e-05
point_dipole,6,30.0,PYR5_bright,PYR5_bright,0.9999602822598138
point_dipole,7,35.0,PYR5_bright,PYR2_bright,8.849338416304813e-08
point_dipole,7,35.0,PYR5_bright,PYR3_bright,2.777705872676004e-06
point_dipole,7,35.0,PYR5_bright,PYR4_bright,4.181751804822721e-05
point_dipole,7,35.0,PYR5_bright,PYR5_bright,0.9999553162826961
point_dipole,8,40.0,PYR5_bright,PYR2_bright,1.4957240315371858e-07
point_dipole,8,40.0,PYR5_bright,PYR3_bright,2.9367277082951994e-06
point_dipole,8,40.0,PYR5_bright,PYR4_bright,4.15852871700672e-05
point_dipole,8,40.0,PYR5_bright,PYR5_bright,0.999955328412719
point_dipole,9,45.0,PYR5_bright,PYR2_bright,8.799972736163038e-08
point_dipole,9,45.0,PYR5_bright,PYR3_bright,4.666074981717408e-06
point_dipole,9,45.0,PYR5_bright,PYR4_bright,3.0626693127251545e-05
point_dipole,9,45.0,PYR5_bright,PYR5_bright,0.9999646192321646
point_dipole,10,50.0,PYR5_bright,PYR2_bright,1.325363483801387e-07
point_dipole,10,50.0,PYR5_bright,PYR3_bright,2.7798982449667194e-06
point_dipole,10,50.0,PYR5_bright,PYR4_bright,4.1059559551203015e-05
point_dipole,10,50.0,PYR5_bright,PYR5_bright,0.9999560280058543
point_dipole,11,55.0,PYR5_bright,PYR2_bright,8.082776063328094e-08
point_dipole,11,55.0,PYR5_bright,PYR3_bright,3.002592347597041e-06
point_dipole,11,55.0,PYR5_bright,PYR4_bright,4.34605929001939e-05
point_dipole,11,55.0,PYR5_bright,PYR5_bright,0.9999534559869925
point_dipole,12,60.0,PYR5_bright,PYR2_bright,3.7813269466365555e-07
point_dipole,12,60.0,PYR5_bright,PYR3_bright,2.606718111925612e-06
point_dipole,12,60.0,PYR5_bright,PYR4_bright,3.9755184853436514e-05
point_dipole,12,60.0,PYR5_bright,PYR5_bright,0.9999572599643419
