time_ps,temperature_K,potential_kJ_mol,total_energy_kJ_mol,CAP_SOL_LJ_kJ_mol
10.8,298.605712890625,-764276.375,-641004.3125,20.156337738037
10.85,299.595275878906,-764384.0625,-640703.5,28.468318939209
10.9,299.276611328125,-764590.875,-641041.875,17.214900970459
10.95,299.447998046875,-765029.0,-641409.25,17.808626174927
11.0,299.519378662109,-764515.4375,-640866.1875,17.294494628906
11.05,299.95166015625,-764521.6875,-640694.0,18.571847915649
11.1,300.685760498047,-764280.125,-640149.375,25.388944625854
11.15,301.231475830078,-764306.8125,-639950.75,19.395519256592
11.2,301.585388183594,-764277.3125,-639775.125,21.035659790039
11.25,300.381042480469,-763436.875,-639431.875,29.136766433716
11.3,301.302093505859,-763853.9375,-639468.75,25.211875915527
11.35,300.091430664062,-763805.9375,-639920.5,26.026477813721
11.4,300.109344482422,-764401.5,-640508.6875,27.427471160889
11.45,300.877319335938,-764901.5625,-640691.75,22.687871932983
11.5,299.833404541016,-764929.25,-641150.375,18.74885559082
11.55,299.609222412109,-765226.0625,-641539.75,32.514507293701
11.6,300.027648925781,-765250.8125,-641391.75,34.154769897461
11.65,299.433807373047,-765299.0,-641685.0625,18.364761352539
11.7,300.863983154297,-765257.9375,-641053.625,20.154357910156
11.75,298.779113769531,-764441.25,-641097.625,19.46068572998
11.8,299.432647705078,-763985.0,-640371.5625,16.813358306885
11.85,301.152282714844,-764763.3125,-640439.9375,18.335021972656
11.9,300.177551269531,-765383.125,-641462.1875,16.539936065674
11.95,299.752288818359,-764996.5,-641251.125,14.6001329422
12.0,299.61572265625,-763951.0,-640262.0,11.975437164307
12.05,301.880920410156,-764751.9375,-640127.75,12.276113510132
12.1,300.596466064453,-765040.3125,-640946.4375,15.573714256287
12.15,300.392852783203,-765293.4375,-641283.625,16.68235206604
12.2,302.389862060547,-766413.0625,-641578.8125,8.351680755615
12.25,301.394165039062,-765114.625,-640691.4375,9.347218513489
12.3,299.769165039062,-763888.25,-640135.875,11.766429901123
12.35,300.216613769531,-763889.1875,-639952.125,14.282863616943
12.4,300.046875,-762965.8125,-639098.8125,13.029923439026
12.45,301.170867919922,-763002.75,-638671.75,13.137832641602
12.5,302.061798095703,-763634.875,-638936.0625,11.903541564941
12.55,302.387237548828,-764301.375,-639468.1875,13.07256603241
12.6,300.037139892578,-763807.125,-639944.125,15.830333709717
12.65,299.724670410156,-763661.875,-639927.875,23.004568099976
12.7,300.302917480469,-763700.375,-639727.6875,28.334976196289
12.75,297.338897705078,-763607.0625,-640858.0,26.424201965332
12.8,297.518829345703,-763661.375,-640838.0,22.305400848389
12.85,296.682495117188,-763061.875,-640583.75,16.308773040771
12.9,298.277099609375,-763526.375,-640390.0,14.10729598999
12.95,298.816101074219,-763349.0,-639990.0625,12.31374168396
13.0,299.187774658203,-763050.8125,-639538.4375,12.513389587402
13.05,300.614166259766,-763620.125,-639518.9375,14.625720977783
13.1,302.820495605469,-764501.5625,-639489.5,17.834827423096
13.15,301.181274414062,-763610.375,-639275.0625,21.008281707764
13.2,300.338958740234,-762963.375,-638975.75,23.238025665283
13.25,298.407318115234,-762676.1875,-639486.0,18.977170944214
13.3,301.665954589844,-763278.25,-638742.8125,18.706155776978
13.35,302.163360595703,-763315.0,-638574.25,14.730989456177
13.4,300.679138183594,-762988.5,-638860.5,11.161148071289
13.45,303.107971191406,-764101.875,-638971.1875,10.243218421936
13.5,303.215850830078,-763880.375,-638705.125,10.227606773376
13.55,300.131652832031,-763403.125,-639501.125,11.29461479187
13.6,299.610992431641,-762197.25,-638510.1875,13.372067451477
13.65,300.338775634766,-762728.0625,-638740.5625,20.689693450928
13.7,299.522674560547,-762818.25,-639167.625,14.453514099121
13.75,302.577087402344,-763772.5,-638860.9375,16.623622894287
13.8,300.756805419922,-764119.5625,-639959.5,16.403686523438
13.85,301.936767578125,-764663.0,-640015.8125,17.452911376953
13.9,298.5498046875,-763438.625,-640189.625,19.81361579895
13.95,300.563049316406,-763832.0625,-639751.9375,22.159069061279
14.0,300.419464111328,-764072.375,-640051.5625,28.908948898315
14.05,302.141845703125,-764725.6875,-639993.8125,17.706357955933
14.1,301.851104736328,-763756.1875,-639144.3125,15.513360977173
14.15,301.465179443359,-764010.0,-639557.5,26.380840301514
14.2,299.579193115234,-763811.1875,-640137.25,21.80838394165
14.25,300.812194824219,-764607.3125,-640424.375,15.911782264709
14.3,300.070739746094,-764478.6875,-640601.8125,22.026224136353
14.35,298.690063476562,-764386.0,-641079.125,14.654348373413
14.4,298.704040527344,-764025.25,-640712.625,14.426923751831
14.45,299.524291992188,-765171.625,-641520.375,13.212635040283
