hydrogen_node,end,hydrogen_role,attached_heavy_node,direction_x,direction_y,direction_z,local_angle_violations,local_heavy_clashes,minimum_heavy_clearance_nm,heavy_neighbor_angle_1_deg,heavy_neighbor_angle_2_deg
H:LOWER:ANNULUS_OUTER_PASSIVANT_H:0015,LOWER,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:-14:-2,-3.912981788700685e-06,0.9999999999923443,-0.0,0,0,0.15868568791652152,120.0000000000001,120.00000000000014
H:LOWER:ANNULUS_OUTER_PASSIVANT_H:0016,LOWER,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:-14:-4,-3.912981793918722e-06,0.9999999999923443,-0.0,0,0,0.18327399857900387,120.00000000000034,120.00000000000004
H:LOWER:ANNULUS_OUTER_PASSIVANT_H:0017,LOWER,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:-14:0,-3.912981794187231e-06,0.9999999999923443,-2.0679545258499405e-26,0,0,0.1868408510616693,119.99999999999997,119.99999999999976
H:LOWER:ANNULUS_OUTER_PASSIVANT_H:0018,LOWER,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:-14:2,-3.912981791365237e-06,0.9999999999923443,-0.0,0,0,0.12843075723601508,120.00000000000007,119.99999999999986
H:LOWER:ANNULUS_OUTER_PASSIVANT_H:0019,LOWER,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:-14:4,-3.912981792142425e-06,0.9999999999923443,-0.0,0,0,0.18330516711056744,119.99999999999966,119.99999999999976
H:LOWER:ANNULUS_OUTER_PASSIVANT_H:0020,LOWER,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:10:-6,0.866027360268705,-0.49999661125453515,-0.0,0,0,0.1383195893975127,119.99999999999994,119.99999999999984
H:LOWER:ANNULUS_OUTER_PASSIVANT_H:0021,LOWER,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:10:6,-0.8660234472869138,-0.5000033887378064,-0.0,0,0,0.17286239042234877,120.00000000000004,119.99999999999984
H:LOWER:ANNULUS_OUTER_PASSIVANT_H:0022,LOWER,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:13:-5,0.8660273602687044,-0.49999661125453626,-0.0,0,0,0.18325131789001456,119.99999999999999,119.99999999999994
H:LOWER:ANNULUS_OUTER_PASSIVANT_H:0023,LOWER,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:13:5,-0.8660234472869129,-0.5000033887378081,-0.0,0,0,0.18330541065011607,120.00000000000011,119.99999999999997
H:LOWER:ANNULUS_OUTER_PASSIVANT_H:0024,LOWER,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:1:-9,0.8660273602687044,-0.49999661125453626,-0.0,0,0,0.18314241521176322,119.99999999999999,119.99999999999994
H:LOWER:ANNULUS_OUTER_PASSIVANT_H:0025,LOWER,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:1:9,-0.8660234472869126,-0.5000033887378088,-0.0,0,0,0.18297132437244093,120.00000000000004,120.00000000000011
H:LOWER:ANNULUS_OUTER_PASSIVANT_H:0026,LOWER,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:4:-8,0.8660273602687056,-0.499996611254534,-0.0,0,0,0.15707413132095102,119.99999999999994,119.99999999999969
H:LOWER:ANNULUS_OUTER_PASSIVANT_H:0027,LOWER,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:4:8,-0.8660234472869123,-0.5000033887378091,-0.0,0,0,0.15795400345826563,120.00000000000011,120.00000000000011
H:LOWER:ANNULUS_OUTER_PASSIVANT_H:0028,LOWER,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:7:-7,0.866027360268705,-0.49999661125453526,1.0339656027108209e-26,0,0,0.18743848409158842,119.99999999999984,119.99999999999994
H:LOWER:ANNULUS_OUTER_PASSIVANT_H:0029,LOWER,ANNULUS_OUTER_PASSIVANT_H,A:LOWER:7:7,-0.866023447286912,-0.5000033887378096,1.0339811496630182e-26,0,0,0.18707054351898067,119.99999999999997,119.99999999999994
H:LOWER:BRIDGE_PASSIVANT_H:0042,LOWER,BRIDGE_PASSIVANT_H,BR:LOWER:00:1,0.885356641042923,-0.04273075356284132,-0.4629445980472659,0,0,0.18289203759024594,120.50685592738172,120.5068559273816
H:LOWER:BRIDGE_PASSIVANT_H:0043,LOWER,BRIDGE_PASSIVANT_H,BR:LOWER:00:2,0.08400810356106027,-0.8998120613880503,-0.4281131774620608,0,0,0.21463560724299782,120.50992292653841,120.50992292653866
H:LOWER:BRIDGE_PASSIVANT_H:0044,LOWER,BRIDGE_PASSIVANT_H,BR:LOWER:00:3,-0.8467737152090904,-0.5298152485574404,0.04764533163922769,0,0,0.14262581295368074,120.50685584532548,120.50685584532567
H:LOWER:BRIDGE_PASSIVANT_H:0045,LOWER,BRIDGE_PASSIVANT_H,BR:LOWER:01:1,0.1888203865202587,-0.2859758947375767,-0.9394491201035757,0,0,0.1495133114326404,115.9964904859397,115.99649048594009
H:LOWER:BRIDGE_PASSIVANT_H:0046,LOWER,BRIDGE_PASSIVANT_H,BR:LOWER:01:2,-0.32887996197389713,0.837579616696571,0.4362319982606427,0,0,0.18873040800279736,115.99658215113838,115.99658215113885
H:LOWER:BRIDGE_PASSIVANT_H:0047,LOWER,BRIDGE_PASSIVANT_H,BR:LOWER:01:3,-0.5234259536180654,-0.24065954503235798,0.8173788928421367,0,0,0.128439708451648,115.9964904969261,115.99649049692636
H:LOWER:BRIDGE_PASSIVANT_H:0048,LOWER,BRIDGE_PASSIVANT_H,BR:LOWER:02:1,0.24269446100606262,-0.030814367947219586,-0.9696132596685083,0,0,0.09532708222025348,111.48635329381516,104.58116493606047
H:LOWER:BRIDGE_PASSIVANT_H:0049,LOWER,BRIDGE_PASSIVANT_H,BR:LOWER:02:2,-0.6778083886816186,0.02831337953614476,0.7346932290228829,0,0,0.2059588280461367,112.50290057493523,112.50290057493507
H:LOWER:BRIDGE_PASSIVANT_H:0050,LOWER,BRIDGE_PASSIVANT_H,BR:LOWER:02:3,-0.02341827344136644,0.6493783000158935,0.7601048664082436,0,0,0.11787041826252907,112.50279675318336,112.5027967531833
H:LOWER:BRIDGE_PASSIVANT_H:0051,LOWER,BRIDGE_PASSIVANT_H,BR:LOWER:03:1,0.47956932535466656,-0.7466819686133646,-0.4609547699357722,0,0,0.18273325817483313,120.50488913603843,120.50488913603849
H:LOWER:BRIDGE_PASSIVANT_H:0052,LOWER,BRIDGE_PASSIVANT_H,BR:LOWER:03:2,0.8220717240376652,0.37559478224219506,-0.4279329855131279,0,0,0.21464413151427197,120.50707568344616,120.50707568344599
H:LOWER:BRIDGE_PASSIVANT_H:0053,LOWER,BRIDGE_PASSIVANT_H,BR:LOWER:03:3,0.03630752616031495,0.9982948903209118,0.04570640549503591,0,0,0.18337907958587354,120.50488909431388,120.50488909431347
