end,end_local_index,source_R1_cap_index_zero_based,source_R1_cap_index_one_based,x_nm,y_nm,z_nm,radial_distance_from_axis_nm,axial_coordinate_nm
lower,106,124,125,2.658,4.297,1.8,1.1999264372891885,-3.2087252746914947
lower,107,125,126,2.658,3.097,1.8,1.200270620808201,-3.2087252746914947
lower,108,126,127,3.697,2.497,1.8,1.2003442611323123,-3.2087252746914947
lower,109,127,128,4.91,3.597,1.8,1.2168003211469325,-3.2087252746914947
lower,110,128,129,4.91,3.797,1.8,1.2167437432884742,-3.2087252746914947
lower,111,129,130,2.485,3.797,1.8,1.2164332139333256,-3.2087252746914947
lower,112,130,131,2.485,3.597,1.8,1.216489806234228,-3.2087252746914947
lower,113,131,132,4.217,2.597,1.8,1.2168810634680876,-3.2087252746914947
lower,114,132,133,4.39,2.697,1.8,1.2167417897795114,-3.2087252746914947
lower,115,133,134,4.39,4.697,1.8,1.2161758655225614,-3.2087252746914947
lower,116,134,135,4.217,4.797,1.8,1.2162586035869574,-3.2087252746914947
lower,117,135,136,3.178,4.797,1.8,1.2161255127971835,-3.2087252746914947
lower,118,136,137,3.005,4.697,1.8,1.2159984385300782,-3.2087252746914947
lower,119,137,138,3.005,2.697,1.8,1.216564445322929,-3.2087252746914947
lower,120,138,139,3.178,2.597,1.8,1.2167480407644555,-3.2087252746914947
lower,121,139,140,4.563,2.797,1.8,1.2489914504769333,-3.2087252746914947
lower,122,140,141,4.91,3.397,1.8,1.2492960843030398,-3.2087252746914947
lower,123,141,142,4.91,3.997,1.8,1.2491307586157738,-3.2087252746914947
lower,124,142,143,4.563,4.597,1.8,1.2484952867190997,-3.2087252746914947
lower,125,143,144,2.831,4.597,1.8,1.2489727100951893,-3.2087252746914947
lower,126,144,145,2.485,3.997,1.8,1.248828282530681,-3.2087252746914947
lower,127,145,146,2.485,3.397,1.8,1.2489936482558346,-3.2087252746914947
lower,128,146,147,2.831,2.797,1.8,1.2494686842683127,-3.2087252746914947
lower,129,147,148,4.044,2.497,1.8,1.2493984401537401,-3.2087252746914947
lower,130,148,149,4.044,4.897,1.8,1.2487370602809231,-3.2087252746914947
lower,131,149,150,3.351,4.897,1.8,1.2486506009468137,-3.2087252746914947
lower,132,150,151,3.351,2.497,1.8,1.2493120265907938,-3.2087252746914947
lower,133,151,152,3.871,2.397,1.8,1.3118884868349039,-3.2087252746914947
lower,134,152,153,4.737,2.897,1.8,1.3120346852539924,-3.2087252746914947
lower,135,153,154,4.91,3.197,1.8,1.3118225455321835,-3.2087252746914947
lower,136,154,155,4.91,4.197,1.8,1.311560127256234,-3.2087252746914947
lower,137,155,156,4.737,4.497,1.8,1.3116148587205407,-3.2087252746914947
lower,138,156,157,3.871,4.997,1.8,1.3112061243903592,-3.2087252746914947
lower,139,157,158,3.524,4.997,1.8,1.3111648956609019,-3.2087252746914947
lower,140,158,159,2.658,4.497,1.8,1.3113679003978616,-3.2087252746914947
lower,141,159,160,2.485,4.197,1.8,1.311272052068868,-3.2087252746914947
lower,142,160,161,2.485,3.197,1.8,1.3115345279843185,-3.2087252746914947
lower,143,161,162,2.658,2.897,1.8,1.3117878059682269,-3.2087252746914947
lower,144,162,163,3.524,2.397,1.8,1.31184727955073,-3.2087252746914947
upper,1,182,183,3.871,3.197,8.218,0.5296231330327766,3.2092747253085054
upper,2,183,184,4.044,3.297,8.218,0.5295712637710616,3.2092747253085054
upper,3,184,185,4.217,3.597,8.218,0.5292552305542901,3.2092747253085054
upper,4,185,186,4.217,3.797,8.218,0.5291251405456416,3.2092747253085054
upper,5,186,187,4.044,4.097,8.218,0.5290510226486294,3.2092747253085054
upper,6,187,188,3.871,4.197,8.218,0.5289728154501943,3.2092747253085054
upper,7,188,189,3.524,4.197,8.218,0.5288706103197482,3.2092747253085054
upper,8,189,190,3.351,4.097,8.218,0.528846917445264,3.2092747253085054
upper,9,190,191,3.178,3.797,8.218,0.5288191434076136,3.2092747253085054
upper,10,191,192,3.178,3.597,8.218,0.5289493086733283,3.2092747253085054
upper,11,192,193,3.351,3.297,8.218,0.5293673591541858,3.2092747253085054
upper,12,193,194,3.524,3.197,8.218,0.5295210534229322,3.2092747253085054
upper,13,194,195,4.217,3.397,8.218,0.6002072840117026,3.2092747253085054
upper,14,195,196,4.217,3.997,8.218,0.599863092418441,3.2092747253085054
upper,15,196,197,3.697,4.297,8.218,0.5996558870123831,3.2092747253085054
upper,16,197,198,3.178,3.997,8.218,0.5995931968616157,3.2092747253085054
upper,17,198,199,3.178,3.397,8.218,0.5999375432973185,3.2092747253085054
upper,18,199,200,3.697,3.097,8.218,0.6003443104572468,3.2092747253085054
upper,19,200,201,4.044,3.097,8.218,0.6932412337157313,3.2092747253085054
upper,20,201,202,4.39,3.697,8.218,0.6926558737480684,3.2092747253085054
upper,21,202,203,4.044,4.297,8.218,0.6926451471380782,3.2092747253085054
upper,22,203,204,3.351,4.297,8.218,0.6924892615627535,3.2092747253085054
upper,23,204,205,3.005,3.697,8.218,0.6923442973447076,3.2092747253085054
upper,24,205,206,3.351,3.097,8.218,0.6930854822094505,3.2092747253085054
upper,25,206,207,3.871,2.997,8.218,0.7215527338698705,3.2092747253085054
upper,26,207,208,4.217,3.197,8.218,0.7213781730079822,3.2092747253085054
upper,27,208,209,4.39,3.497,8.218,0.7210477405479682,3.2092747253085054
upper,28,209,210,4.39,3.897,8.218,0.7208567643617352,3.2092747253085054
upper,29,210,211,4.217,4.197,8.218,0.7209008565220224,3.2092747253085054
upper,30,211,212,3.871,4.397,8.218,0.7208845641111175,3.2092747253085054
upper,31,212,213,3.524,4.397,8.218,0.7208095710715512,3.2092747253085054
upper,32,213,214,3.178,4.197,8.218,0.720676291417376,3.2092747253085054
upper,33,214,215,3.005,3.897,8.218,0.7205573824159371,3.2092747253085054
upper,34,215,216,3.005,3.497,8.218,0.7207484379291895,3.2092747253085054
upper,35,216,217,3.178,3.197,8.218,0.7211537565382652,3.2092747253085054
upper,36,217,218,3.524,2.997,8.218,0.7214778102823135,3.2092747253085054
upper,37,218,219,4.39,3.297,8.218,0.8000297049866083,3.2092747253085054
upper,38,219,220,4.39,4.097,8.218,0.7996854319133498,3.2092747253085054
upper,39,220,221,3.697,4.497,8.218,0.7996558623038903,3.2092747253085054
upper,40,221,222,3.005,4.097,8.218,0.7994155719289421,3.2092747253085054
upper,41,222,223,3.005,3.297,8.218,0.7997599611689725,3.2092747253085054
upper,42,223,224,3.697,2.897,8.218,0.8003442857983164,3.2092747253085054
upper,43,224,225,4.044,2.897,8.218,0.872193265758994,3.2092747253085054
upper,44,225,226,4.217,2.997,8.218,0.8720803593728987,3.2092747253085054
upper,45,226,227,4.563,3.597,8.218,0.8714521814293399,3.2092747253085054
upper,46,227,228,4.563,3.797,8.218,0.8713731805640598,3.2092747253085054
upper,47,228,229,4.217,4.397,8.218,0.8715276015265128,3.2092747253085054
upper,48,229,230,4.044,4.497,8.218,0.871561595724766,3.2092747253085054
upper,49,230,231,3.351,4.497,8.218,0.8714377158857068,3.2092747253085054
upper,50,231,232,3.178,4.397,8.218,0.8713418573094449,3.2092747253085054
upper,51,232,233,2.831,3.797,8.218,0.872057090682164,3.2092747253085054
upper,52,233,234,2.831,3.597,8.218,0.8721360295966849,3.2092747253085054
upper,53,234,235,3.178,2.997,8.218,0.8718947329126845,3.2092747253085054
upper,54,235,236,3.351,2.897,8.218,0.8720694756503846,3.2092747253085054
upper,55,236,237,3.871,2.797,8.218,0.9169384016752236,3.2092747253085054
upper,56,237,238,4.563,3.397,8.218,0.9162786635241404,3.2092747253085054
upper,57,238,239,4.563,3.997,8.218,0.9160532381334042,3.2092747253085054
upper,58,239,240,3.871,4.597,8.218,0.9162624460611962,3.2092747253085054
upper,59,240,241,3.524,4.597,8.218,0.9162034452220338,3.2092747253085054
upper,60,241,242,2.831,3.997,8.218,0.9167038151428246,3.2092747253085054
upper,61,242,243,2.831,3.397,8.218,0.916929080590369,3.2092747253085054
upper,62,243,244,3.524,2.797,8.218,0.9168794443335456,3.2092747253085054
upper,63,244,245,4.39,3.097,8.218,0.916616175709653,3.2092747253085054
upper,64,245,246,4.39,4.297,8.218,0.9161654355534323,3.2092747253085054
upper,65,246,247,3.005,4.297,8.218,0.915929894659437,3.2092747253085054
upper,66,247,248,3.005,3.097,8.218,0.9163807506711532,3.2092747253085054
upper,67,248,249,4.563,3.197,8.218,0.9998521260372529,3.2092747253085054
upper,68,249,250,4.563,4.197,8.218,0.9995078040631127,3.2092747253085054
upper,69,250,251,3.697,4.697,8.218,0.9996558474821967,3.2092747253085054
upper,70,251,252,2.831,4.197,8.218,1.00010409457505,3.2092747253085054
upper,71,252,253,2.831,3.197,8.218,1.0004482113252686,3.2092747253085054
upper,72,253,254,3.697,2.697,8.218,1.0003442709995627,3.2092747253085054
upper,73,254,255,4.217,2.797,8.218,1.0395488626878457,3.2092747253085054
upper,74,255,256,4.737,3.697,8.218,1.0396558452021627,3.2092747253085054
upper,75,256,257,4.217,4.597,8.218,1.0389526820365433,3.2092747253085054
upper,76,257,258,3.178,4.597,8.218,1.0387968750375811,3.2092747253085054
upper,77,258,259,2.658,3.697,8.218,1.0393442687773935,3.2092747253085054
upper,78,259,260,3.178,2.797,8.218,1.039393145057495,3.2092747253085054
upper,79,260,261,4.044,2.697,8.218,1.0587061809335812,3.2092747253085054
upper,80,261,262,4.39,2.897,8.218,1.0584530685317226,3.2092747253085054
upper,81,262,263,4.737,3.497,8.218,1.0587832456053756,3.2092747253085054
upper,82,263,264,4.737,3.897,8.218,1.0586531971100797,3.2092747253085054
upper,83,264,265,4.39,4.497,8.218,1.057932616281009,3.2092747253085054
upper,84,265,266,4.044,4.697,8.218,1.0580557312498575,3.2092747253085054
upper,85,266,267,3.351,4.697,8.218,1.057953688946954,3.2092747253085054
upper,86,267,268,3.005,4.497,8.218,1.057728645361946,3.2092747253085054
upper,87,268,269,2.658,3.897,8.218,1.0583472135026315,3.2092747253085054
upper,88,269,270,2.658,3.497,8.218,1.058477299592223,3.2092747253085054
upper,89,270,271,3.005,2.897,8.218,1.0582491979265831,3.2092747253085054
upper,90,271,272,3.351,2.697,8.218,1.0586042013296406,3.2092747253085054
upper,91,272,273,3.871,2.597,8.218,1.1139630681393093,3.2092747253085054
upper,92,273,274,4.563,2.997,8.218,1.1134819076450433,3.2092747253085054
upper,93,274,275,4.737,3.297,8.218,1.1140734472584304,3.2092747253085054
upper,94,275,276,4.737,4.097,8.218,1.113826246341755,3.2092747253085054
upper,95,276,277,4.563,4.397,8.218,1.113049040101754,3.2092747253085054
upper,96,277,278,3.871,4.797,8.218,1.1132830661383541,3.2092747253085054
upper,97,278,279,3.524,4.797,8.218,1.1132345073366585,3.2092747253085054
upper,98,279,280,2.831,4.397,8.218,1.1135845344086595,3.2092747253085054
upper,99,280,281,2.658,4.097,8.218,1.1135354236023007,3.2092747253085054
