atom,name,r_ref_nm,r_cur_nm,delta_r_nm
1555,B1555,1.20589,1.28659,0.08070
1556,N1556,1.20366,1.28375,0.08009
1557,B1557,1.20547,1.28506,0.07959
1558,N1558,1.20408,1.27873,0.07466
1559,B1559,1.20445,1.24052,0.03606
1560,N1560,1.20371,1.24193,0.03822
1561,B1561,1.20210,1.19631,-0.00579
1562,N1562,1.19987,1.20093,0.00107
1563,B1563,1.20248,1.18096,-0.02152
1564,N1564,1.19955,1.19456,-0.00499
1565,B1565,1.20227,1.18574,-0.01653
1566,N1566,1.20027,1.18893,-0.01133
1567,B1567,1.20162,1.15452,-0.04709
1568,N1568,1.19945,1.16844,-0.03101
1569,B1569,1.20191,1.12745,-0.07446
1570,N1570,1.20008,1.12680,-0.07329
1571,B1571,1.20171,1.09354,-0.10817
1572,N1572,1.19951,1.09545,-0.10405
1573,B1573,1.20198,1.06604,-0.13595
1574,N1574,1.20057,1.06885,-0.13172
1575,B1575,1.20239,1.04823,-0.15416
1576,N1576,1.20016,1.06040,-0.13976
1577,B1577,1.20204,1.06045,-0.14158
1578,N1578,1.19887,1.06524,-0.13363
1579,B1579,1.20281,1.08000,-0.12280
1580,N1580,1.19982,1.09198,-0.10784
1581,B1581,1.20285,1.08435,-0.11850
1582,N1582,1.19987,1.10045,-0.09942
1583,B1583,1.20218,1.08453,-0.11765
1584,N1584,1.19997,1.09512,-0.10485
1585,B1585,1.20263,1.13007,-0.07256
1586,N1586,1.20040,1.14188,-0.05852
1587,B1587,1.20089,1.19761,-0.00328
1588,N1588,1.19947,1.19827,-0.00121
1589,B1589,1.20187,1.22664,0.02477
1590,N1590,1.20047,1.22626,0.02579
1591,B1591,1.20234,1.26766,0.06532
1592,N1592,1.19919,1.27650,0.07731
1593,B1593,1.20305,1.29823,0.09518
1594,N1594,1.19991,1.30243,0.10252
1595,B1595,1.20274,1.33048,0.12774
1596,N1596,1.19974,1.34559,0.14585
1597,B1597,1.20315,1.35608,0.15293
1598,N1598,1.20001,1.36748,0.16747
1599,B1599,1.20162,1.36391,0.16229
1600,N1600,1.19938,1.36654,0.16715
1601,B1601,1.20237,1.36170,0.15933
1602,N1602,1.20016,1.36988,0.16972
1603,B1603,1.20124,1.34881,0.14758
1604,N1604,1.20049,1.35378,0.15329
1605,B1605,1.20167,1.30196,0.10029
1606,N1606,1.20030,1.30440,0.10410
1607,B1607,1.20263,1.27590,0.07327
1608,N1608,1.19947,1.27088,0.07141
1609,B1609,1.20233,1.26327,0.06094
1610,N1610,1.19934,1.26409,0.06474
1611,B1611,1.20228,1.25938,0.05710
1612,N1612,1.19929,1.27937,0.08007
1613,B1613,1.20248,1.27613,0.07364
1614,N1614,1.19932,1.28174,0.08241
1615,B1615,1.20144,1.28870,0.08726
1616,N1616,1.20057,1.29458,0.09401
1617,B1617,1.20159,1.26892,0.06733
1618,N1618,1.20018,1.27951,0.07933
1619,B1619,1.20199,1.22284,0.02085
1620,N1620,1.20059,1.23776,0.03717
1621,B1621,1.20218,1.21101,0.00882
1622,N1622,1.22401,1.28234,0.05833
1623,B1623,1.20285,1.20222,-0.00064
1624,N1624,1.22395,1.22933,0.00538
1625,B1625,1.20281,1.19227,-0.01054
1626,N1626,1.22400,1.22828,0.00427
1627,B1627,1.20204,1.16144,-0.04060
1628,N1628,1.22417,1.21801,-0.00616
1629,B1629,1.20239,1.11190,-0.09049
1630,N1630,1.22298,1.12936,-0.09362
1631,B1631,1.20198,1.09437,-0.10761
1632,N1632,1.22465,1.13733,-0.08732
1633,B1633,1.20230,1.07810,-0.12420
1634,N1634,1.22450,1.14818,-0.07632
1635,B1635,1.20191,1.07632,-0.12559
1636,N1636,1.22293,1.13856,-0.08437
1637,B1637,1.20239,1.08357,-0.11882
1638,N1638,1.22494,1.10443,-0.12052
1639,B1639,1.20227,1.10329,-0.09898
1640,N1640,1.22427,1.16529,-0.05897
1641,B1641,1.20269,1.10838,-0.09431
1642,N1642,1.22504,1.16604,-0.05900
1643,B1643,1.20251,1.12994,-0.07257
1644,N1644,1.22403,1.16268,-0.06135
1645,B1645,1.20280,1.18554,-0.01725
1646,N1646,1.22419,1.23397,0.00978
1647,B1647,1.20233,1.20905,0.00672
1648,N1648,1.22285,1.22856,0.00572
1649,B1649,1.20230,1.26044,0.05814
1650,N1650,1.22339,1.30723,0.08384
1651,B1651,1.20248,1.30042,0.09794
1652,N1652,1.22462,1.33696,0.11234
1653,B1653,1.20228,1.32600,0.12372
1654,N1654,1.22437,1.35612,0.13175
1655,B1655,1.20233,1.38394,0.18161
1656,N1656,1.22353,1.47025,0.24672
1657,B1657,1.20263,1.37093,0.16830
1658,N1658,1.22476,1.38543,0.16066
1659,B1659,1.20217,1.38517,0.18300
1660,N1660,1.22362,1.43748,0.21386
1661,B1661,1.20190,1.37777,0.17587
1662,N1662,1.22316,1.44742,0.22426
1663,B1663,1.20237,1.34514,0.14277
1664,N1664,1.22317,1.40126,0.17808
1665,B1665,1.20253,1.28048,0.07795
1666,N1666,1.22446,1.28584,0.06138
1667,B1667,1.20315,1.27229,0.06913
1668,N1668,1.22355,1.30185,0.07830
1669,B1669,1.20274,1.28374,0.08100
1670,N1670,1.22274,1.32912,0.10638
1671,B1671,1.20305,1.29359,0.09054
1672,N1672,1.22443,1.34059,0.11617
1673,B1673,1.20234,1.30398,0.10164
1674,N1674,1.22427,1.34349,0.11922
1675,B1675,1.20187,1.29449,0.09262
1676,N1676,1.22349,1.33185,0.10837
1677,B1677,1.20230,1.27639,0.07409
1678,N1678,1.22497,1.33598,0.11101
1679,B1679,1.20263,1.22626,0.02363
1680,N1680,1.22322,1.25929,0.03607
