atom_id_i,atom_id_j,type_i,type_j,distance_A
12626,12914,2,1,3.389800000000001
3189,3477,2,1,3.3898999999999972
16798,17086,1,2,3.389799999999994
7077,7365,1,2,3.389900000000001
13231,13519,1,2,3.389800000000001
11249,11537,2,1,3.389800000000001
15137,15425,1,2,3.389800000000008
5700,5988,2,1,3.389800000000001
9872,10160,1,2,3.389900000000001
2391,2679,2,1,3.3898999999999972
13760,14048,2,1,3.3898999999999972
8211,8499,1,2,3.3898399999999995
10451,10739,2,1,3.389800000000001
1014,1302,1,2,3.389799999999994
16271,16559,2,1,3.389799999999994
4902,5190,1,2,3.389800000000001
9074,9362,1,2,3.38983
1593,1881,2,1,3.389799999999994
12962,13250,1,2,3.389800000000001
3525,3813,1,2,3.389800000000001
5765,6053,1,2,3.389800000000001
7413,7701,2,1,3.389800000000001
216,504,2,1,3.389799999999994
11585,11873,1,2,3.3898999999999972
4104,4392,2,1,3.3898999999999972
15473,15761,2,1,3.389799999999994
13825,14113,1,2,3.389799999999994
6036,6324,1,2,3.389800000000001
13491,13779,2,1,3.389800000000001
8276,8564,2,1,3.3898399999999995
12164,12452,2,1,3.389800000000001
2727,3015,1,2,3.389800000000008
16336,16624,2,1,3.389799999999994
6615,6903,2,1,3.389800000000001
10787,11075,1,2,3.389900000000001
14675,14963,2,1,3.3898999999999972
1350,1638,2,1,3.3899000000000115
8805,9093,1,2,3.3898399999999995
5238,5526,2,1,3.3898999999999972
16865,17153,1,2,3.389799999999994
13298,13586,2,1,3.389800000000001
1929,2217,1,2,3.389800000000008
9989,10277,1,2,3.389900000000001
552,840,2,1,3.3899000000000115
4440,4728,2,1,3.389800000000001
12179,12467,2,1,3.389800000000001
8612,8900,2,1,3.38982
2458,2746,2,1,3.3898999999999972
12500,12788,2,1,3.389800000000001
16067,16355,1,2,3.389799999999994
6630,6918,1,2,3.3897999999999975
16672,16960,2,1,3.3899000000000115
10518,10806,2,1,3.389800000000001
14690,14978,1,2,3.389799999999994
4969,5257,1,2,3.389800000000001
3642,3930,2,1,3.389800000000001
7814,8102,1,2,3.38983
13029,13317,2,1,3.389800000000001
1660,1948,2,1,3.389799999999994
5832,6120,2,1,3.389800000000001
2265,2553,1,2,3.389799999999994
9720,10008,1,2,3.389800000000001
283,571,2,1,3.389799999999994
13892,14180,2,1,3.389799999999994
8343,8631,2,1,3.3898399999999995
862,1150,1,2,3.389799999999994
5034,5322,2,1,3.389800000000001
1467,1755,2,1,3.389799999999994
16403,16691,2,1,3.389799999999994
