component_index,n_atoms,n_edges,is_tree,n_B,n_N,n_degree_1,n_degree_2,n_degree_other,minimum_atom_id,maximum_atom_id,center_x_A,center_y_A,center_z_A,center_r_A,center_phi_rad,minimum_z_A,maximum_z_A,z_span_A
74,60,59,True,30,30,2,58,0,74,17066,86.33689999999997,7.553499999999989,5.447494307494102e-15,86.66669293252163,0.08726646266901303,-100.0,100.0,200.0
75,60,59,True,30,30,2,58,0,75,17067,85.35000000000004,15.049499999999991,5.447494307494102e-15,86.6666599693908,0.17453283652732654,-100.0,100.0,200.0
76,60,59,True,30,30,2,58,0,76,17068,83.71360000000003,22.431000000000022,5.447494307494102e-15,86.6666982523276,0.2617994823613733,-100.0,100.0,200.0
77,60,59,True,30,30,2,58,0,77,17069,81.43999999999998,29.641699999999965,5.447494307494102e-15,86.66662551922738,0.34906546138068706,-100.0,100.0,200.0
78,60,59,True,30,30,2,58,0,78,17070,78.54669999999994,36.6269,5.447494307494102e-15,86.66668266698565,0.43633202298568785,-100.0,100.0,200.0
79,60,59,True,30,30,2,58,0,79,17071,75.05549999999998,43.33329999999996,5.447494307494102e-15,86.66661969374364,0.523598644403753,-100.0,100.0,200.0
80,60,59,True,30,30,2,58,0,80,17072,70.99319999999992,49.71000000000003,5.447494307494102e-15,86.66670956163036,0.6108654858184555,-100.0,100.0,200.0
81,60,59,True,30,30,2,58,0,81,17073,66.39049999999999,55.708299999999916,5.447494307494102e-15,86.66667859760169,0.6981321952174028,-100.0,100.0,200.0
82,60,59,True,30,30,2,58,0,82,17074,61.2826,61.2826,5.447494307494102e-15,86.66668405748544,0.7853981633974483,-100.0,100.0,200.0
83,60,59,True,30,30,2,58,0,83,17075,55.708299999999916,66.39049999999999,5.447494307494102e-15,86.66667859760169,0.8726641315774938,-100.0,100.0,200.0
84,60,59,True,30,30,2,58,0,84,17076,49.71000000000003,70.99319999999992,5.447494307494102e-15,86.66670956163036,0.9599308409764411,-100.0,100.0,200.0
85,60,59,True,30,30,2,58,0,85,17077,43.33329999999996,75.05549999999998,5.447494307494102e-15,86.66661969374364,1.0471976823911435,-100.0,100.0,200.0
