component_index,atom_id,atom_type,element,degree,x_A,y_A,z_A
5,4901,2,N,2,65.7785,23.9414,-42.3729
5,5189,1,B,2,65.7785,23.9414,-38.9831
5,5477,2,N,2,65.7785,23.9414,-35.5932
5,5765,1,B,2,65.7785,23.9414,-32.2034
5,6053,2,N,2,65.7785,23.9414,-28.8136
5,6341,1,B,2,65.7785,23.9414,-25.4237
5,6629,2,N,2,65.7785,23.9414,-22.0339
5,6917,1,B,2,65.7785,23.9414,-18.6441
5,7205,2,N,2,65.7785,23.9414,-15.2542
5,7493,1,B,2,65.7785,23.9414,-11.8644
5,7781,2,N,2,65.7785,23.9414,-8.47458
5,8069,1,B,2,65.7785,23.9414,-5.08475
5,8357,2,N,2,65.7785,23.9414,-1.69491
5,8645,1,B,2,65.7785,23.9414,1.69491
5,8933,2,N,2,65.7785,23.9414,5.08475
5,9221,1,B,2,65.7785,23.9414,8.47458
5,9509,2,N,2,65.7785,23.9414,11.8644
5,9797,1,B,2,65.7785,23.9414,15.2542
5,10085,2,N,2,65.7785,23.9414,18.6441
5,10373,1,B,2,65.7785,23.9414,22.0339
5,10661,2,N,2,65.7785,23.9414,25.4237
5,10949,1,B,2,65.7785,23.9414,28.8136
5,11237,2,N,2,65.7785,23.9414,32.2034
5,11525,1,B,2,65.7785,23.9414,35.5932
5,11813,2,N,2,65.7785,23.9414,38.9831
5,12101,1,B,2,65.7785,23.9414,42.3729
5,12389,2,N,2,65.7785,23.9414,45.7627
5,12677,1,B,2,65.7785,23.9414,49.1525
5,12965,2,N,2,65.7785,23.9414,52.5424
5,13253,1,B,2,65.7785,23.9414,55.9322
5,13541,2,N,2,65.7785,23.9414,59.322
5,13829,1,B,2,65.7785,23.9414,62.7119
5,14117,2,N,2,65.7785,23.9414,66.1017
5,14405,1,B,2,65.7785,23.9414,69.4915
5,14693,2,N,2,65.7785,23.9414,72.8814
5,14981,1,B,2,65.7785,23.9414,76.2712
5,15269,2,N,2,65.7785,23.9414,79.661
5,15557,1,B,2,65.7785,23.9414,83.0508
5,15845,2,N,2,65.7785,23.9414,86.4407
5,16133,1,B,2,65.7785,23.9414,89.8305
5,16421,2,N,2,65.7785,23.9414,93.2203
5,16709,1,B,2,65.7785,23.9414,96.6102
5,16997,2,N,1,65.7785,23.9414,100.0
6,6,2,N,1,63.4415,29.5833,-100.0
6,294,1,B,2,63.4415,29.5833,-96.6102
6,582,2,N,2,63.4415,29.5833,-93.2203
6,870,1,B,2,63.4415,29.5833,-89.8305
6,1158,2,N,2,63.4415,29.5833,-86.4407
6,1446,1,B,2,63.4415,29.5833,-83.0508
6,1734,2,N,2,63.4415,29.5833,-79.661
6,2022,1,B,2,63.4415,29.5833,-76.2712
6,2310,2,N,2,63.4415,29.5833,-72.8814
6,2598,1,B,2,63.4415,29.5833,-69.4915
6,2886,2,N,2,63.4415,29.5833,-66.1017
6,3174,1,B,2,63.4415,29.5833,-62.7119
