offset_from_cap_plane_nm,lower_centerline_energy_kJ_mol,lower_centerline_energy_kBT,upper_centerline_energy_kJ_mol,upper_centerline_energy_kBT
-0.236,7.458963402041889e-05,2.9903569818036056e-05,7.458963402041939e-05,2.9903569818036256e-05
-0.23399999999999999,7.578884340553855e-05,3.0384342274494994e-05,7.578884340553896e-05,3.0384342274495156e-05
-0.23199999999999998,7.70004902369667e-05,3.087010100081473e-05,7.700049023696699e-05,3.087010100081484e-05
-0.22999999999999998,7.822448277676965e-05,3.136080921853749e-05,7.822448277676976e-05,3.1360809218537534e-05
-0.22799999999999998,7.946072092840153e-05,3.1856426798172265e-05,7.94607209284021e-05,3.1856426798172495e-05
-0.22599999999999998,8.070909607563051e-05,3.235691019461906e-05,8.070909607563089e-05,3.235691019461922e-05
-0.22399999999999998,8.196949092465085e-05,3.286221238387039e-05,8.196949092465108e-05,3.2862212383870485e-05
-0.22199999999999998,8.324177934968227e-05,3.337228280111082e-05,8.324177934968297e-05,3.33722828011111e-05
-0.21999999999999997,8.452582624236026e-05,3.388706728033641e-05,8.452582624236083e-05,3.388706728033664e-05
-0.21799999999999997,8.582148736522868e-05,3.44065079956187e-05,8.582148736522908e-05,3.440650799561886e-05
-0.21599999999999997,8.712860920964886e-05,3.493054340413939e-05,8.71286092096497e-05,3.4930543404139726e-05
-0.21399999999999997,8.844702885844523e-05,3.5459108191123866e-05,8.844702885844538e-05,3.545910819112393e-05
-0.21199999999999997,8.977657385361166e-05,3.5992133216803654e-05,8.977657385361226e-05,3.599213321680389e-05
-0.20999999999999996,9.111706206940394e-05,3.6529545465538184e-05,9.111706206940375e-05,3.652954546553811e-05
-0.20799999999999996,9.24683015911506e-05,3.707126799722911e-05,9.246830159115087e-05,3.707126799722922e-05
-0.20599999999999996,9.383009060011347e-05,3.7617219901159994e-05,9.38300906001142e-05,3.7617219901160285e-05
-0.20399999999999996,9.520221726473351e-05,3.81673162523959e-05,9.520221726473351e-05,3.81673162523959e-05
-0.20199999999999996,9.658445963859804e-05,3.872146807087769e-05,9.658445963859842e-05,3.872146807087784e-05
-0.19999999999999996,9.797658556546633e-05,3.927958228334597e-05,9.79765855654673e-05,3.9279582283346365e-05
-0.19799999999999995,9.937835259169263e-05,3.984156168823089e-05,9.937835259169276e-05,3.984156168823095e-05
-0.19599999999999995,0.00010078950788638121,4.040730492364159e-05,0.00010078950788638182,4.040730492364183e-05
-0.19399999999999995,0.00010220978816961289,4.097670643859167e-05,0.00010220978816961399,4.097670643859211e-05
-0.19199999999999995,0.00010363891964907513,4.154965646759373e-05,0.00010363891964907544,4.154965646759385e-05
-0.18999999999999995,0.00010507661796542985,4.212604100875688e-05,0.00010507661796543071,4.2126041008757225e-05
-0.18799999999999994,0.00010652258814674742,4.2705741805518947e-05,0.00010652258814674742,4.2705741805518947e-05
-0.18599999999999994,0.00010797652457233191,4.3288636332143787e-05,0.00010797652457233248,4.328863633214401e-05
-0.18399999999999994,0.00010943811094626059,4.387459778311299e-05,0.00010943811094626161,4.3874597783113395e-05
-0.182,0.00011090702028095046,4.4463495066537635e-05,0.00011090702028095058,4.446349506653768e-05
-0.18,0.00011238291489106384,4.505519280171497e-05,0.00011238291489106447,4.505519280171523e-05
-0.178,0.00011386544639805446,4.5649551320950985e-05,0.0001138654463980543,4.5649551320950924e-05
-0.176,0.00011535425574564936,4.62464266757672e-05,0.0001153542557456497,4.624642667576733e-05
-0.174,0.00011684897322655238,4.684567064760632e-05,0.00011684897322655321,4.684567064760665e-05
-0.172,0.000118349218520647,4.744713076314808e-05,0.000118349218520647,4.744713076314808e-05
-0.16999999999999998,0.00011985460074496532,4.8050650314342154e-05,0.00011985460074496583,4.805065031434235e-05
-0.16799999999999998,0.0001213647185156771,4.8656068383260076e-05,0.0001213647185156781,4.8656068383260476e-05
